Directorio;Secuencia_p;Orden;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Clase;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Area;Fex_c_2011
216248;2;1;70;8;48;1; ;1;1;2;8;1; ;2;2;4; ;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;4000000;1;80;80;1921;19;05;05;691,978183698591
216248;2;3;70;8;48;1; ;2;2;2;4;1; ;3;2;4; ;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;1;700000;1;95;85;4530;45;05;05;691,978183698591
216250;2;1;70;3;48;1; ;2;2;2;52;1; ;2;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;38;53;5521;55;05;05;754,817337295506
216265;2;1;70;1;48;1; ;1;1;2;8;1; ;9;1; ;.;3; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;5000000;1;58;58;8050;80;05;05;880,820615886583
216273;2;2;70;6;48;1; ;1;1;2;6;1; ;9;1; ;.;1; ;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;1;408000;1;39;97;5211;52;05;05;651,142258772517
216273;2;3;70;48;48;1; ;1;1;2;6;1; ;8;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2500000;1;45;97;1810;18;05;05;651,142258772517
216280;2;2;70;4;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;95; ; ; ;05;05;930,983460164986
216288;2;2;70;1;48;1; ;1;1;2;1;1; ;3;2;8; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;408000;1;1224000;1;45;45;5233;52;05;05;640,466949313069
216288;2;3;70;5;48;1; ;1;1;2;8;1; ;3;2;8; ;2; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1632000;1;45;45;5234;52;05;05;640,466949313069
216293;2;1;70;1;50;4; ;1;1;2;1;4; ;1;1; ;.;1; ;1; ;.; ;1; ; ; ; ; ; ; ; ;1;500000;1;3500000;1;98;98;6031;60;05;05;847,254804355181
216297;2;2;70;8;35;1; ;1;1;2;8;1; ;9;1; ;.;4; ;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;1;3300000;1;12;12;8011;80;05;05;586,84401332268
