Directorio;Secuencia_p;Orden;Regis;P7495;P7500;P7500s1;P7500s2;P7500s3a1;P7500s2a1;P7500s1a1;P7500s3;P7505;P7510s3;P7510s4;P7510s6;P7510s2a1;P7510s4a1;P7510s6a1;P7510s5a1;P7510s3a1;P7510s1a1;P7510s5;P7510s1;P7510s2;Clase;Dpto;Area;Fex_c_2011
216227;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;763,812248265247
216227;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;763,812248265247
216227;2;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;763,812248265247
216227;2;5;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;763,812248265247
216228;2;1;95;2; ; ; ; ; ; ; ;1;2;2;2;7000000; ; ; ; ; ;2;2;1;1;05;05;797,647560691471
216228;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;797,647560691471
216228;2;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;797,647560691471
216229;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;856,463410121151
216229;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;856,463410121151
216230;2;1;95;2; ; ; ; ; ; ; ;1;2;2;2;2000000; ; ; ; ; ;2;2;1;1;05;05;1106,88360063232
216230;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1106,88360063232
216231;2;1;95;1; ;1;1; ;408000;260000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;747,422208925302
216231;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;747,422208925302
216231;2;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;747,422208925302
216232;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;950,929882878171
216233;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;920,370658193305
216233;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;920,370658193305
216234;2;1;95;1; ;1;1; ;408000;200000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;831,213372222874
216234;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;831,213372222874
216236;2;1;95;1; ;2;1; ;408000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;613,806013819906
216236;2;2;95;1; ;2;1; ;408000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;613,806013819906
216236;2;3;95;1; ;2;1; ;408000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;613,806013819906
216236;2;4;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;613,806013819906
216236;2;5;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;613,806013819906
216236;2;6;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;613,806013819906
216238;2;1;95;1; ;2;1; ;408000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;881,438723989043
216238;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;881,438723989043
216239;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;680,234779763905
216240;2;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;48900; ; ; ;2;2;2;1;05;05;831,213372222874
216240;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;831,213372222874
216241;2;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;48900; ; ; ;2;2;2;1;05;05;628,133443114204
216241;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;628,133443114204
216241;2;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;628,133443114204
216242;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;607,858530511103
216242;2;2;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;48900; ; ; ;2;2;2;1;05;05;607,858530511103
216242;2;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;607,858530511103
216244;2;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;98; ; ; ;2;2;2;1;05;05;813,57067923742
216244;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;813,57067923742
216244;2;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;813,57067923742
216245;2;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;48900; ; ; ;2;2;2;1;05;05;796,420667067213
216245;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;796,420667067213
216245;2;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;796,420667067213
216245;2;4;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;796,420667067213
216246;2;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;61920; ; ; ;2;2;2;1;05;05;628,133443114204
216246;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;628,133443114204
216246;2;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;628,133443114204
216247;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;669,559470304457
216248;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;691,978183698591
216248;2;2;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;48900; ; ; ;2;2;2;1;05;05;691,978183698591
216248;2;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;691,978183698591
216248;2;4;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;691,978183698591
216248;2;5;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;691,978183698591
216248;2;6;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;691,978183698591
216249;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1099,87946963979
216249;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1099,87946963979
216249;2;3;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;455700; ; ; ;2;2;2;1;05;05;1099,87946963979
216249;2;4;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1099,87946963979
216249;2;5;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1099,87946963979
216250;2;1;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;3120000;2;1;2;1;05;05;754,817337295506
216251;2;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;66000; ; ; ;2;2;2;1;05;05;928,625964577724
216251;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;928,625964577724
216251;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;928,625964577724
216251;3;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;928,625964577724
216252;2;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;48900; ; ; ;2;2;2;1;05;05;836,18849751805
216252;2;2;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;48900; ; ; ;2;2;2;1;05;05;836,18849751805
216253;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;607,858530511103
216253;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;607,858530511103
216253;2;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;607,858530511103
