DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;FT;DPTO;AREA;fex_c_2011
2332481;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;13;13;354,875658308861
2332481;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;13;13;354,875658308861
2332482;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;13;13;340,377861374553
2332482;1;2;1;50;1;1; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;05;1;13;13;340,377861374553
2332482;1;3;1;50;1; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;13;13;340,377861374553
2332482;1;4;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;13;13;340,377861374553
2332483;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;13;13;359,966317950762
2332484;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;13;13;329,716766572054
2332484;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;13;13;329,716766572054
2332485;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;13;13;324,626106930153
2332485;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;13;13;324,626106930153
2332485;1;3;1;50;1; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;13;13;324,626106930153
2337915;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;13;13;332,206640332226
2337915;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;13;13;332,206640332226
2337916;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;13;13;304,268123503843
2337916;1;2;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;13;13;304,268123503843
2337916;1;4;1;50;1;1; ;4;2; ;2;2;2;1; ; ; ; ; ; ; ;1;05;1;13;13;304,268123503843
2337916;1;5;1;50;1; ; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;13;13;304,268123503843
2337918;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;13;13;349,740764901298
2337918;1;2;1;50;1;2; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;05;1;13;13;349,740764901298
2337918;1;3;1;50;1; ; ;1;6;DILIGENCIAS PERSONALES;2;2;2;2;1;13;NO TIENE CEDULA DE CIUDADANIA; ; ; ; ; ;05;1;13;13;349,740764901298
2337918;1;4;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;13;13;349,740764901298
2337918;1;5;1;50;1; ; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;13;13;349,740764901298
2337918;1;6;1;50;1; ; ;6;3; ;2;2;2;2;1;12; ; ; ; ; ; ;05;1;13;13;349,740764901298
2338072;1;1;1;50;1; ; ;1;2; ;1; ; ; ; ; ; ; ; ; ; ; ;05;1;05;05;1103,24476324082
2338072;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;05;1103,24476324082
2338072;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;05;1103,24476324082
2338072;1;6;1;50;1; ; ;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;05;1103,24476324082
2338072;1;7;1;50;1;1; ;7;6;BUSCANDO OPCIONES DE ESTUDIO;2;2;2;1; ; ; ; ; ; ; ;1;05;1;05;05;1103,24476324082
2338073;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;05;887,171577497596
2338073;1;2;1;50;1; ; ;2;3; ;2;2;2;2;1;7; ;1;1; ;5;1;05;1;05;05;887,171577497596
2338074;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;05;770,531012829801
2338074;1;2;1;50;1; ; ;2;3; ;2;2;2;2;1;12; ; ; ; ; ; ;05;1;05;05;770,531012829801
2338074;1;3;1;50;1; ; ;3;3; ;2;2;2;2;1;13;POR FALTA DE DOCUMENTO DE IDENTIDAD; ; ; ; ; ;05;1;05;05;770,531012829801
2338074;1;4;1;50;1; ; ;4;6;HACERLE MANTENIMIENTO AL VEHICULO (AUTOCONSUMO);2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;05;770,531012829801
2338075;1;1;1;50;1;1; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;05;1;05;05;1047,16662428447
2338076;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;05;815,368895298882
2338076;1;2;1;50;1;3; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;05;1;05;05;815,368895298882
2338076;1;4;1;50;1; ; ;1;3; ;2;2;2;2;1;12; ; ; ; ; ; ;05;1;05;05;815,368895298882
2338077;1;1;1;50;1; ; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;05;835,589716400745
2338077;1;2;1;50;1; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;05;835,589716400745
2338077;1;3;1;50;1; ; ;3;2; ;1; ; ; ; ; ; ; ; ; ; ; ;05;1;05;05;835,589716400745
