DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;AREA;fex_c_2011
2332481;1;1;1;2;1;3;2;3;4;4; ; ; ;80000; ;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;2;2;1;1;2;2; ;3;1;1;5;1;1;2;2;1;2;1;3; ;01;1;05;13;1;13;354,875658308861
2332482;1;2;2;1;1;1;1;1;3;1; ; ;35000000;300000; ;2;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;4;1;1;1;2;1;1;1;1;1;1;3;1;01;1;05;13;1;13;340,377861374553
2332483;1;1;1;1;1;1;1;1;3;3; ; ; ; ;50000;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;2;1;4;1;1;1;1;1;1;3;1;01;1;05;13;1;13;359,966317950762
2332484;1;2;2;1;1;1;1;3;3;1; ; ;50000000;350000; ;2;2;1;2;1;2;2;2;1;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;2; ;4;1;2;1;2;1;1;1;1;1;1;3;1;01;1;05;13;1;13;329,716766572054
2332485;1;2;2;1;1;1;1;1;3;1; ; ;30000000;200000; ;2;2;1;2;2;2;2;2;1;1;2;2;2;2;2;1;1;2;1;2;2;1;1;2;2; ;6;1;2;1;4;1;1;1;1;1;1;3;1;01;1;05;13;1;13;324,626106930153
2337915;1;4;3;1;1;1;1;1;3;1; ; ;99;99; ;2;2;1;1;2;2;2;2;1;1;2;2;2;2;2;1;1;1;1;1;2;1;1;2;2; ;2;1;2;1;4;1;1;1;1;1;3;3;1;01;1;05;13;1;13;332,206640332226
2337916;1;4;3;1;1;1;1;1;3;2; ;98;99;400000; ;1;2;1;1;1;1;2;2;1;1;2;1;2;2;2;1;1;1;1;1;2;1;3;2;2; ;5;1;1;1;4;1;1;1;1;1;3;3;1;01;1;05;13;1;13;304,268123503843
2337918;1;4;3;1;1;1;1;1;3;1; ; ;30000000;200000; ;2;2;1;1;1;2;2;2;1;1;2;1;2;2;2;1;1;1;1;1;2;1;3;2;2; ;7;1;1;1;4;1;1;1;1;1;1;3;1;01;1;05;13;1;13;349,740764901298
2338072;1;4;3;1;1;1;1;1;4;3; ; ; ; ;280000;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;7;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;05;1;05;1103,24476324082
2338073;1;3;2;1;1;1;1;1;4;3; ; ; ; ;300000;1;2;1;2;2;1;2;2;2;1;2;2;2;2;2;2;1;1;1;2;1;2; ;2;2; ;4;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;05;1;05;887,171577497596
2338074;1;4;3;1;1;1;1;1;4;4; ; ; ;200000; ;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;2;2;2; ;4;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;05;1;05;770,531012829801
