DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;DPTO;ORDEN;fex_c_2011
1106517;1;3;1;2;1;4;1;1;3;4; ; ; ;50000; ;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;1;1;2;1;1;2;2;1;1; ;2;01;2;08;1;2863,69508675468
1106519;1;2;1;2;1;4;1;5;5;1; ; ;2000000;50000; ;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;2;2;2;1;1; ;2;01;2;08;1;5532,25871852397
1106520;1;3;2;5;1;4;1;5;3;1; ; ;5000000;40000; ;2;2;2;2;2;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;1;1;2;1;1;2;2;1;1; ;2;01;2;08;1;4864,15945575849
1106521;1;3;2;2;1;3;1;1;3;1; ; ;10000000;100000; ;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;1;1;2;1;1;2;2;1;1; ;2;01;2;08;1;4906,29859456251
1106522;1;3;2;2;1;1;1;1;3;3; ; ; ; ;30000;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;1;2;1;1;1;4;2;01;2;08;1;4889,69853354831
1106529;1;3;1;4;1;4;5;5;5;1; ; ;100000000;100000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;08;1;4589,93073937452
1106530;1;3;1;4;1;4;4;5;5;4; ; ; ;100000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;08;1;4191,91017554172
1106531;1;3;1;4;1;4;3;5;5;4; ; ; ;120000; ;2;2;2;2;1;1;2;2;2;2;1;2;1;2;2;1;1;1;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;08;1;4589,93073937452
1106533;1;2;1;2;1;4;3;5;5;4; ; ; ;80000; ;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;08;1;5123,74440322409
1106574;1;3;2;6; ;1;1;1;3;1; ; ;12000000;150000; ;2;2;2;2;1;2;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;1;1;2;1;1;2;2;1;1; ;2;01;2;08;1;3806,02306590413
1106575;1;3;3;6; ;4;1;5;5;1; ; ;10000000;100000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;2;2;2;1;1; ;2;01;2;08;1;6107,55063843177
1106576;1;4;2;1;1;4;1;1;3;1; ; ;15000000;150000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;4;1;1;1;2;1;1; ;2;01;2;08;1;2869,56647627068
1106577;1;3;1;4;1;3;1;1;3;1; ; ;5000000;30000; ;2;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;2;1;2;2;1;1;1;2;1;1;2;2;1;1; ;2;01;2;08;1;3017,50486366397
1106578;1;3;2;2;1;4;10;1;3;4; ; ; ;50000; ;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;1;1;1;2;1;1;2;2;2;1; ; ;01;2;08;1;5414,04397497559
1106596;1;4;3;4;1;4;4;5;5;1; ; ;15000000;100000; ;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;08;1;4033,78415547823
1106597;1;2;1;6; ;4;4;5;5;4; ; ; ;60000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;08;1;4589,93073937452
1106598;1;3;1;6; ;4;9;5;5;4; ; ; ;80000; ;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;08;1;4589,93073937452
1106599;1;2;1;4;1;4;6;5;5;4; ; ; ;100000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2; ; ; ;01;2;08;1;2733,07668142848
1106874;1;3;3;1;1;1;1;1;1;1; ; ;98;150000; ;1;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;2;1;2; ;1;01;2;25;1;666,879821113952
1106875;1;1;1;2;2;4;6;1;4;4; ; ; ;800000; ;1;2;2;2;2;1;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2;1;3;1;3;1;2;2;2;2;2; ; ;01;2;25;1;945,111360661167
1106877;1;3;2;2;2;4;6;1;4;4; ; ; ;250000; ;1;2;2;2;2;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2; ; ;01;2;25;1;884,66350237577
1106878;1;2;1;2;2;4;6;1;4;4; ; ; ;200000; ;1;2;2;2;1;1;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;3;1;2;2;2;2;2; ; ;01;2;25;1;742,266108975864
1106879;1;3;2;2;1;4;4;1;4;4; ; ; ;200000; ;2;2;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;1;1;4;1;2;2;2;2;2; ; ;01;2;25;1;722,918846748747
1106880;1;3;2;2;1;4;4;1;4;4; ; ; ;200000; ;2;2;2;1;1;1;1;2;1;1;1;2;2;2;2;2;2;1;1;2;2;1;1;1;2;1;2;2;2;2;2; ; ;01;2;25;1;985,609265035292
1106881;1;3;2;5;1;4;4;1;4;4; ; ; ;200000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2; ; ;01;2;25;1;985,609265035292
1106882;1;2;1;5;1;4;4;1;4;4; ; ; ;200000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;3;1;2;2;2;2;2; ; ;01;2;25;1;894,638479331406
1106920;1;1;1;2;1;1;1;1;4;3; ; ; ; ;50000;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;5;2;1;2;2;2;1;1; ;1;01;2;25;1;945,111360661167
1106921;1;2;1;2;1;4;6;1;4;4; ; ; ;70000; ;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;4;1;2;2;2;2;1; ; ;01;2;25;1;901,201664032395
1106923;1;3;2;2;1;4;6;1;4;4; ; ; ;120000; ;1;2;2;2;1;1;1;2;2;2;1;1;1;1;2;2;2;2;1;2;2;1;1;1;4;1;2;1;2;2;1; ; ;01;2;25;1;560,234805250749
1106924;1;2;2;2;1;4;6;1;5;4; ; ; ;20000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;8;4;2;2;2;2;2; ; ; ;01;2;25;1;1033,82278290076
1106925;1;3;2;2;1;4;4;1;4;4; ; ; ;200000; ;2;2;2;2;2;1;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;25;1;907,764848733384
1106926;1;3;2;2;1;4;2;1;4;3; ; ; ; ;60000;2;2;2;2;2;2;1;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;25;1;1168,22404572995
1106927;1;2;2;2;1;4;2;1;4;4; ; ; ;80000; ;2;2;2;2;2;2;1;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;1;1;4;1;2;2;2;2;1; ; ;01;2;25;1;1106,64297336881
1106928;1;3;1;2;1;4;4;1;4;4; ; ; ;200000; ;2;2;2;2;1;1;1;2;2;1;1;2;1;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;25;1;905,978927996783
1106963;1;2;1;2;1;5;1;1;4;4; ; ; ;50000; ;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;5;2;1;2;2;2;1;2; ;1;01;2;25;1;691,793227646103
1106964;1;3;1;2;1;4;1;1;4;3; ; ; ; ;80000;2;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;1;2;1;2;1;1;1;2;1;2;2;2;1;2; ;1;01;2;25;1;917,087119028164
1106965;1;3;2;3;1;4;2;1;4;4; ; ; ;80000; ;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;25;1;1143,72908548828
1106966;1;2;1;2;1;4;2;6; ;1; ; ;30000000;150000; ;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;25;1;917,087119028164
1106967;1;3;2;2;1;4;4;3;4;4; ; ; ;150000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;2;2; ; ;01;2;25;1;894,638479331406
1106969;1;2;2;2;1;4;4;1;4;4; ; ; ;100000; ;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;2;2; ; ;01;2;25;1;1163,67903939956
1106970;1;3;2;2;1;4;4;1;1;4; ; ; ;100000; ;2;2;2;2;2;1;1;2;2;2;1;1;2;2;2;2;2;1;2;2;2;1;1;3;4;1;2;2;2;2;2; ; ;01;2;25;1;729,69507436912
