DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;FT;DPTO;AREA;fex_c_2011
1097552;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1025,47172775035
1097552;1;2;1;50;1; ; ;2;4; ;2;2;2;2;1;6; ;1;2; ; ; ;1;05;05;1025,47172775035
1097552;1;3;1;50;1; ; ;3;6;PASEAR;1; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1025,47172775035
1097553;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1150,39491209898
1097553;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1150,39491209898
1097554;1;1;1;50;1; ; ;2;6;LEER Y VER TV;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1241,47419120898
1097554;1;2;1;50;1; ; ;2;4; ;2;1; ; ; ; ; ; ; ; ; ; ;1;05;05;1241,47419120898
1097554;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1241,47419120898
1097554;1;4;1;50;1; ; ;4;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1241,47419120898
1097554;1;6;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1241,47419120898
1097555;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1143,89660804321
1097555;1;2;1;50;1; ; ;1;6;ENFERMO;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1143,89660804321
1097555;1;3;1;50;1; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1143,89660804321
1097556;1;1;1;50;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;843,691345475262
1097558;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;944,995209983078
1097558;1;2;1;50;1; ; ;2;4; ;2;2;1; ; ; ; ; ; ; ; ; ;1;05;05;944,995209983078
1097558;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;944,995209983078
1097558;1;4;1;50;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;944,995209983078
1097559;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;582,668629359009
1097559;1;2;1;50;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;582,668629359009
1097559;1;3;1;50;1; ; ;3;6;VER TV;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;582,668629359009
1097559;1;4;1;50;1; ; ;4;4; ;2;2;1; ; ; ; ; ; ; ; ; ;1;05;05;582,668629359009
1097559;1;5;1;50;1; ; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;582,668629359009
1097560;1;1;1;50;1; ; ;4;6;ENFERMA;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;826,157684813834
1097560;1;2;1;50;1; ; ;2;4; ;2;2;2;2;1;9; ; ; ; ; ; ;1;05;05;826,157684813834
1097560;1;3;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;826,157684813834
1097560;1;4;1;50;1; ; ;4;4; ;2;2;2;2;1;6; ;2; ;2; ; ;1;05;05;826,157684813834
1097560;1;5;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;826,157684813834
1097561;1;1;1;50;1; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1191,28880351768
1097562;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1096,37755015994
1097562;1;2;1;50;1; ; ;2;6;CUIDANDO A  LA  MAMA  ENFERMA;1; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1096,37755015994
1097562;1;3;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1096,37755015994
1097563;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1219,86564920988
1097563;1;2;1;50;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1219,86564920988
1097563;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1219,86564920988
1097563;1;4;1;50;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1219,86564920988
1097564;1;1;1;50;1; ; ;1;3; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1026,90681304904
1097565;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1150,39491209898
1097565;1;2;1;50;1;1; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;05;1150,39491209898
1097566;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1150,39491209898
1097566;1;2;1;50;1; ; ;1;6;PASEANDO;1; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1150,39491209898
1097567;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1047,69506104103
1097567;1;2;1;50;1;1; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;05;1047,69506104103
1097567;1;3;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1047,69506104103
1097568;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;935,385415876843
1097568;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;935,385415876843
1097568;1;3;1;50;1; ; ;3;3; ;2;2;2;2;1;8; ;1;1; ;4;1;1;05;05;935,385415876843
1097569;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1140,99772292069
1097569;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1140,99772292069
1097569;1;3;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1140,99772292069
1097570;1;1;1;50;1;1; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;05;1113,43951680988
1097570;1;2;1;50;1; ; ;2;4; ;2;2;2;2;1;4; ;2; ;1;1;1;1;05;05;1113,43951680988
1097570;1;3;1;50;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1113,43951680988
1097570;1;4;1;50;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1113,43951680988
1097572;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1096,37755015994
1097572;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1096,37755015994
1097572;1;3;1;50;1; ; ;2;3; ;2;2;2;2;1;12; ; ; ; ; ; ;1;05;05;1096,37755015994
1097573;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;857,951713462195
1097573;1;2;1;50;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;05;857,951713462195
1097573;1;3;1;50;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;857,951713462195
1097573;1;5;1;50;1; ; ;5;6;IR  A  LA  3A EDAD;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;857,951713462195
1097574;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;993,677699101991
1097574;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;993,677699101991
1097574;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;993,677699101991
1097574;1;4;1;50;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;993,677699101991
1097575;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;876,717480057108
1097575;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;876,717480057108
1097577;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1010,73966575193
1097577;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1010,73966575193
1097577;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1010,73966575193
1097577;1;4;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1010,73966575193
1097577;1;5;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1010,73966575193
1097578;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1156,92279210404
1097580;1;1;1;50;1; ; ;1;6;LEYENDO;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1202,18889126836
1097580;1;2;1;50;1;1; ;2;3; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;05;1202,18889126836
1097580;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1202,18889126836
1097580;1;4;1;50;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1202,18889126836
1097581;1;1;1;50;1; ; ;1;6;DESCANSANDO   EN   SU  HOGAR;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1267,38470709315
1097581;1;2;1;50;1; ; ;2;4; ;2;2;2;2;1;7; ;2; ;2; ; ;1;05;05;1267,38470709315
1097581;1;3;1;50;1; ; ;3;6;VACACIONES;1; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1267,38470709315
1097581;1;4;1;50;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1267,38470709315
1097582;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;991,657295697536
1097582;1;2;1;50;1; ; ;2;4; ;2;2;1; ; ; ; ; ; ; ; ; ;1;05;05;991,657295697536
1097582;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;991,657295697536
1097583;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1237,16969397358
1097583;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1237,16969397358
1097583;1;3;1;50;1;1; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;05;1237,16969397358
1097584;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1013,60897492517
1097584;1;2;1;50;1; ; ;2;4; ;2;2;2;2;1;7; ;2; ;2; ; ;1;05;05;1013,60897492517
1097584;1;3;1;50;1; ; ;3;3; ;2;2;2;2;1;12; ; ; ; ; ; ;1;05;05;1013,60897492517
1097584;1;5;1;50;1;2; ;5;6;DE   VIAJE;2;2;2;1; ; ; ; ; ; ; ;1;1;05;05;1013,60897492517
1097584;1;6;1;50;1; ; ;5;6;DE   VIAJE;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1013,60897492517
1097586;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1243,69757397864
1097586;1;2;1;50;1; ; ;2;6;ASISTIO   A  TODOS  LOS  EVENTOS  DE  SEMANA   SANTA;2;1; ; ; ; ; ; ; ; ; ; ;1;05;05;1243,69757397864
1097587;1;1;1;50;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1043,96877969898
1097587;1;2;1;50;1; ; ;1;6;DESCANSAR;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1043,96877969898
1097588;1;1;1;50;1; ; ;1;6;EN   EL  HOGAR   DESCANSANDO;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1214,97593663219
1097588;1;2;1;50;1; ; ;2;6;ESTUVO   EN  LAS   ACTIVIDADES   DE  SEMANA  SANTA;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1214,97593663219
1097588;1;3;1;50;1; ; ;3;6;DE   VIAJE;2;1; ; ; ; ; ; ; ; ; ; ;1;05;05;1214,97593663219
1097589;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1295,49155314802
1097589;1;2;1;50;1; ; ;2;4; ;2;2;2;2;1;7; ;2; ;2; ; ;1;05;05;1295,49155314802
1097589;1;3;1;50;1; ; ;2;6;EN   EL  HOGAR DESCANSANDO;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1295,49155314802
1097589;1;5;1;50;1; ; ;5;6;DESCANSANDO   EN  SU  HOGAR;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1295,49155314802
1097590;1;1;1;50;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;811,897316826902
1097590;1;2;1;50;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;05;811,897316826902
1097591;1;1;1;50;1; ; ;1;6;REZANDO;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;989,402777815881
1097591;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;989,402777815881
1097592;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1120,2094749287
1097593;1;1;1;50;1; ; ;1;6;REZANDO;2;1; ; ; ; ; ; ; ; ; ; ;1;05;05;1128,1715788083
1097593;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1128,1715788083
1097594;1;1;1;50;1; ; ;1;6;REZANDO;2;1; ; ; ; ; ; ; ; ; ; ;1;05;05;863,661720046991
1097594;1;2;1;50;1; ; ;2;6;PASEANDO;2;2;2;2;1;7; ;2; ;2; ; ;1;05;05;863,661720046991
1097594;1;3;1;50;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;863,661720046991
1097594;1;4;1;50;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;863,661720046991
1097595;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1156,92279210404
1097596;1;1;1;50;1; ; ;1;3; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;05;828,034990938196
1097596;1;2;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;828,034990938196
1097597;1;1;1;50;1; ; ;1;6;DESCANZAR;2;1; ; ; ; ; ; ; ; ; ; ;1;05;05;1150,39491209898
1097597;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1150,39491209898
1097599;1;1;1;50;1; ; ;1;6;PINTAR   SU   VIVIENDA;1; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1025,47172775035
1097599;1;2;1;50;1; ; ;2;6;PINTAR SU   VIVIENDA;1; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1025,47172775035
1097599;1;3;1;50;1; ; ;2;3; ;2;2;2;2;1;12; ; ; ; ; ; ;1;05;05;1025,47172775035
1097600;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;993,677699101991
1097600;1;2;1;50;1; ; ;2;6;DESCANSANDO;1; ; ; ; ; ; ; ; ; ; ; ;1;05;05;993,677699101991
1097600;1;3;1;50;1; ; ;3;6;DESCANSANDO;2;2;2;2;1;12; ; ; ; ; ; ;1;05;05;993,677699101991
1097600;1;4;1;50;1; ; ;4;6;DE  VACACIONES;1; ; ; ; ; ; ; ; ; ; ; ;1;05;05;993,677699101991
1097601;1;1;1;50;1; ; ;1;6;DESCANSAR;1; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1074,15421686926
1097601;1;2;1;50;1; ; ;2;6;ACTIVIDADES  RELIGIOSAS;1; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1074,15421686926
1097601;1;3;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1074,15421686926
1097602;1;1;1;50;1; ; ;1;6;DESCANSANDO;2;1; ; ; ; ; ; ; ; ; ; ;1;05;05;1150,39491209898
1097602;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1150,39491209898
1097603;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1128,1715788083
1097603;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1128,1715788083
1097604;1;1;1;50;1; ; ;1;6;VER   TELEVISION;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;976,376593755057
1097604;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;976,376593755057
1097604;1;3;1;50;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;976,376593755057
1097604;1;4;1;50;1; ; ;4;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;976,376593755057
1097605;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1128,1715788083
1097605;1;2;1;50;1;1; ;2;6;ACTIVIDADES  RELIGIOSAS;2;2;2;1; ; ; ; ; ; ; ;1;1;05;05;1128,1715788083
1097606;1;1;1;50;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1143,89660804321
1097606;1;2;1;50;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1143,89660804321
1097606;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1143,89660804321
1097608;1;1;1;50;1; ; ;1;4; ;2;2;2;2;1;8; ;2; ;2; ; ;1;05;05;952,689460640541
1097608;1;2;1;50;1; ; ;2;6;VACACIONES;2;1; ; ; ; ; ; ; ; ; ; ;1;05;05;952,689460640541
1097609;1;1;1;50;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;865,91467876594
1097610;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1150,39491209898
1097610;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1150,39491209898
1097611;1;1;1;50;1; ; ;1;6;PASEANDO;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;857,133840041933
1097611;1;2;1;50;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;857,133840041933
1097611;1;3;1;50;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;857,133840041933
1097611;1;4;1;50;1; ; ;4;6;VACACIONES;2;1; ; ; ; ; ; ; ; ; ; ;1;05;05;857,133840041933
1097611;1;5;1;50;1; ; ;5;6;VACACIONES;2;1; ; ; ; ; ; ; ; ; ; ;1;05;05;857,133840041933
1097612;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1025,47172775035
1097612;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1025,47172775035
1097612;1;3;1;50;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1025,47172775035
1097613;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1128,1715788083
1097613;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1128,1715788083
1097614;1;1;1;50;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1084,13966357009
1097614;1;2;1;50;1; ; ;2;6;DORMIR;2;2;2;2;1;13;no tiene recursos para las diligencias; ; ; ; ; ;1;05;05;1084,13966357009
1097614;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1084,13966357009
1097614;1;4;1;50;1; ; ;4;6;OPERADA;2;2;2;2;1;11; ; ; ; ; ; ;1;05;05;1084,13966357009
1097615;1;1;1;50;1;2; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;05;1096,37755015994
1097615;1;2;1;50;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1096,37755015994
1097615;1;3;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;1096,37755015994
1097616;1;1;1;50;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;05;863,661720046991
1097616;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;863,661720046991
1097616;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;863,661720046991
1097616;1;4;1;50;1;1; ;4;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;05;863,661720046991
1097617;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;632,591817971983
1097617;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;632,591817971983
1097618;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;531,047736397636
