DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;fex_c_2011
1106576;1;1;1;70;2;12;48;4; ;2;36;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;08;2869,56647627068
1106578;1;1;1;70;2;8;48;1; ;2;8;1; ;6;1; ; ; ; ;1; ; ; ; ; ; ;2; ;2;83;97;28;1;1;2811;08;5414,04397497559
1106877;1;4;1;70;2;7;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;1; ;25;884,66350237577
1106927;1;3;1;70;2;3;48;1; ;2;104;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;99;55;1;1;5521;25;1106,64297336881
1106965;1;3;1;70;2;12;30;1; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;25;1143,72908548828
1106970;1;3;1;70;2;1;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;1; ;25;729,69507436912
1107269;1;1;1;70;2;2;40;8; ;2;2;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;73;62;01;1;1;0118;15;867,842343380598
1107272;1;2;1;70;2;8;40;1; ;2;8;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;10;1;1;1010;15;504,05265772879
1107273;1;1;1;70;2;4;40;1; ;2;8;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;71;71;10;1;1;1010;15;620,033852258686
1107293;1;3;1;70;2;100;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;2; ;15;714,921524573596
1107303;1;3;1;70;2;24;40;1; ;2;24;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;89;89;26;1;2;2695;15;978,644497223832
1107331;2;2;2;70;2;8;40;4; ;2;8;4; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;80;1;1;8041;15;546,050780210755
1107334;1;2;1;70;2;12;48;3; ;2;20;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;15;521,374264163385
1107336;1;3;1;70;2;4;48;1; ;2;4;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;71;71;10;1;1;1010;15;799,339174741259
1107351;1;1;1;70;2;8;48;1; ;2;8;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;15;799,339174741259
1107351;1;3;1;70;2;16;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;15;799,339174741259
1107354;1;2;1;70;2;12;48;8; ;2;12;8; ;4;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;62;62;01;1;1;0117;15;790,902719335408
1107360;1;2;1;70;2;12;48;1; ;2;12;1; ;4;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;89;89;26;1;1;2695;15;661,851791157581
1107375;1;2;1;70;2;24;48;1; ;2;32;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5211;15;625,584743784202
1107386;1;1;1;70;2;6;48;3; ;2;6;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;15;595,357336211316
1107399;1;3;1;70;2;12;40;1; ;2;12;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;85;85;45;1;1;4542;15;1184,22799743446
1107399;1;5;1;70;2;8;48;1; ;2;8;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;83;83;28;1;1;2811;15;1184,22799743446
1107400;1;2;1;70;2;72;48;1; ;2;72;1; ;8;2; ; ; ; ; ; ; ;1; ; ; ;2; ;2;55;81;36;1;2;3611;15;1168,70723282041
1107402;1;4;1;70;2;12;40;1; ;2;12;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;81;79;18;1;1;1810;15;984,59514525991
1107404;1;1;1;70;2;8;25;8; ;2;8;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;1;0116;15;961,014438864542
1107406;1;3;1;70;2;16;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;62; ; ;1;2; ;15;1216,76395275224
1107430;1;1;1;70;2;1;30;8; ;2;1;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;98;2;62;99;75;1;1;7512;15;736,46849799022
1107466;1;5;1;70;2;4;50;1; ;2;7;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;350000;2;95;95;45;1;1;4521;68;4828,26431396052
1107476;1;5;1;70;2;24;48;1; ;2;48;8; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;62;01;1;2;0118;15;1103,96227012229
1107480;1;3;1;70;2;3;48;1; ;2;4;1; ;2;7; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;79;79;50;1;1;5020;15;1003,48964797691
1107483;1;3;1;70;2;40;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;95; ; ;1;2; ;15;1410,96714447604
1107573;1;2;1;70;2;12;40;3; ;2;320;1; ;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;54;45;52;1;1;5221;15;958,08796934147
1107574;1;3;1;70;2;12;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;15;1098,66389371188
1107581;1;2;1;70;2;8;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;1; ;15;945,672517288084
1107621;1;3;1;70;2;4;40;1; ;2;32;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;39;55;1;1;5511;68;4729,42450835385
1107869;1;3;1;70;2;4;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;18;403,430881695791
1107871;1;3;1;70;2;2;40;3; ;2;2;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;18;302,491209685242
1107871;1;4;1;70;2;2;40;3; ;2;3;3; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;18;302,491209685242
1107889;1;1;1;70;2;3;40;1; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;60;61;01;1;1;0140;18;313,149412956734
1107901;1;4;1;70;2;3;40;1; ;2;4;4; ;1;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;60;61;01;1;1;0140;18;325,738555171448
1107950;1;1;1;70;2;20;60;4; ;2;21;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;2;0121;18;219,663515869315
1107956;1;1;1;70;2;16;50;4; ;2;16;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;2;0121;18;1133,45938295445
1107959;1;3;1;70;2;2;70;4; ;2;2;4; ;2;5; ; ; ; ; ; ; ; ; ;1; ;1;80000;2;61;61;01;1;1;0121;18;298,866194782758
1107966;1;3;1;70;2;5;60;4; ;2;5;4; ;1;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0121;18;404,525750732058
1107967;1;2;1;70;2;2;60;4; ;2;2;4; ;1;5; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;61;61;01;1;1;0140;18;1133,45938295445
1107970;1;2;1;70;2;32;48;3; ;2;34;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;18;289,686243227165
1107971;1;3;1;70;2;5;60;4; ;2;6;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0121;18;347,733816613852
1107987;1;3;1;70;2;6;60;4; ;2;6;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0121;18;406,876259036807
1107990;1;1;1;70;2;5;60;4; ;2;6;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0121;18;304,667234699467
1108027;1;1;1;70;2;2;94;4; ;2;2;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0140;18;316,642388670628
1108042;1;2;1;70;2;3;60;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0121;18;337,72914274972
1108043;1;3;1;70;2;3;60;4; ;2;3;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0121;18;343,032800004354
1108054;1;1;1;70;2;12;60;1; ;2;12;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;60;60;01;1;1;0121;18;305,943627042734
1108060;1;2;1;70;2;16;48;2; ;2;16;2; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8041;18;320,551579264138
1108064;1;2;1;70;2;2;66;4; ;2;2;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;62;01;1;1;0121;18;326,39907352563
1108065;1;3;1;70;2;2;66;4; ;2;2;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0121;18;345,383308309103
1108069;1;3;1;70;2;2;84;4; ;2;2;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0121;18;335,579025081223
1108092;1;3;1;70;2;12;48;1; ;2;12;1; ;7;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;65;1;1;6512;18;1137,36391920565
1108441;1;1;1;70;2;1;48;8; ;2;1;8; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;62;62;01;1;1;0121;23;3422,39048662356
1108452;1;3;1;70;2;3;48;1; ;2;5;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;23;4115,97151729213
1108461;1;6;1;70;2;16;42;8; ;2;16;8; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;2;0121;23;1443,71568561067
1108497;1;1;1;70;2;2;36;8; ;2;1;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;62;61;01;1;1;0115;23;699,178810518197
1108504;1;1;1;70;2;2;36;8; ;2;2;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;62;61;01;1;1;0118;23;3223,94752587491
1108504;1;2;1;70;2;5;40;4; ;2;14;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0122;23;3223,94752587491
1108505;1;1;1;70;2;2;36;8; ;2;2;8; ;3;4; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;62;62;01;1;1;0121;23;3444,55332996451
1109477;1;3;1;70;2;8;70;3; ;2;8;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;54;1091,28357445284
1110769;1;1;1;70;2;8;40;3; ;2;12;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;62;01;1;1;0112;25;1216,8990119512
1110773;1;3;1;70;2;4;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;1; ;25;3053,90252529779
1110777;1;2;1;70;2;4;40;1; ;2;156;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;54;95;1;1;9500;25;2408,57120259097
1110778;1;2;1;70;2;24;40;1; ;2;30;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;44;64;1;2;6421;25;2632,53000698746
1110811;1;2;1;70;2;3;48;3; ;2;56;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;74;1;1;7493;25;2959,60191839363
1110819;1;2;1;70;2;52;48;1; ;2;104;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;53;55;1;2;5529;25;1942,9529966991
