DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
1106517;1;1;1;80;2;1;1;4; ;2; ;2; ; ;1; ;4;1;1;08;2863,69508675468
1106520;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;4864,15945575849
1106520;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;4864,15945575849
1106520;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;4864,15945575849
1106521;1;1;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;4906,29859456251
1106521;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;4906,29859456251
1106521;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;4906,29859456251
1106521;1;7;1;80;2;1;3;4; ;2; ;2; ; ;3; ;9;1;1;08;4906,29859456251
1106521;1;9;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;4906,29859456251
1106521;1;10;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;4906,29859456251
1106522;1;1;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;4889,69853354831
1106522;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;4889,69853354831
1106530;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;4191,91017554172
1106530;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;4191,91017554172
1106533;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;5123,74440322409
1106574;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;3806,02306590413
1106575;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;6107,55063843177
1106575;1;9;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;6107,55063843177
1106575;1;10;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;6107,55063843177
1106577;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;3017,50486366397
1106578;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;5414,04397497559
1106578;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;5414,04397497559
1106596;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;4033,78415547823
1106596;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;4033,78415547823
1106596;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;4033,78415547823
1106596;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;4033,78415547823
1106599;1;2;1;80;2;1;3;3; ;2; ;2; ; ; ; ;9;2;1;08;2733,07668142848
1106874;1;1;1;80;2;1;4;3; ;3; ;2; ; ; ; ;9;2;1;25;666,879821113952
1106874;1;2;1;80;2;1;2;4; ;2; ;2; ; ; ; ;4;2;1;25;666,879821113952
1106874;1;4;1;80;2;1;2;7; ;2; ;2; ; ; ; ;1;2;1;25;666,879821113952
1106875;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;25;945,111360661167
1106875;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;25;945,111360661167
1106877;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;25;884,66350237577
1106877;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;25;884,66350237577
1106878;1;1;1;80;2;2; ; ; ;3; ;2; ;2; ;.; ; ;1;25;742,266108975864
1106879;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;25;722,918846748747
1106879;1;4;1;80;2;1;4;9;EDAD;3; ;2; ; ; ; ;8;2;1;25;722,918846748747
1106881;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;25;985,609265035292
1106882;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;25;894,638479331406
1106920;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;25;945,111360661167
1106921;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;25;901,201664032395
