DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;AREA;DPTO;ORDEN;fex_c_2011
1868673;1;3;1;1;1;1;1;1;3;1; ; ;30000000;250000; ;1;1;1;1;1;2;2;2;2;1;2;2;1;2;2;2;1;1;1;2;2;1;1;1;4;1;1;1;1;1;2;2;1;01;17;17;1;182,335543103021
1868674;1;3;2;1;1;1;1;1;3;1; ; ;25000000;190000; ;1;2;1;1;1;2;2;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;1;1;4;1;1;1;1;1;2;2;1;01;17;17;1;153,833833131644
1868675;1;3;2;1;1;1;1;1;3;1; ; ;35000000;200000; ;2;2;1;1;1;2;2;2;2;1;1;2;2;2;2;2;1;1;1;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;17;17;1;155,518809999586
1870388;1;2;1;1;1;1;1;1;1;3; ; ; ; ;400000;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;1;2;1;4;1;2;1;1;1;4;2;1;01;05;05;1;1090,43917541839
1870391;1;3;2;1;1;1;1;1;4;3; ; ; ; ;150000;1;2;1;1;1;2;2;2;2;1;1;2;2;2;2;1;1;1;2;2;2;1;2;1;4;1;2;1;1;1;1;2;1;01;05;05;1;1325,55446977063
1870392;1;1;1;1;1;1;1;1;1;1; ; ;3000000;65000; ;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;8;1;1;2;1;1;1;1;2;1;01;05;05;1;1306,8268232606
1870394;1;3;2;1;1;1;1;1;4;1; ; ;25000000;280000; ;1;2;1;1;1;2;2;2;2;1;1;2;2;2;2;2;1;1;1;1;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;05;1;1174,80488675895
1870395;1;3;2;1;1;1;1;1;4;1; ; ;15000000;180000; ;1;2;1;2;1;1;2;2;2;1;1;1;2;2;1;1;1;1;1;1;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;05;1;1062,39918971596
1870396;1;5;4;1;1;1;1;1;4;3; ; ; ; ;250000;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;1;1;4;1;2;1;1;1;2;2;1;01;05;05;1;931,794075915526
1870397;1;4;1;1;1;1;1;1;3;4; ; ; ;350000; ;1;2;1;1;2;1;2;2;2;1;1;2;2;2;1;2;1;1;2;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;05;05;1;942,428888952374
