DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
1868674;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;17;153,833833131644
1868675;1;1;1;80;17;1;3;5; ;3; ;2; ; ; ; ;10;2;1;17;155,518809999586
1870392;1;2;1;80;05;1;4;6; ;2; ;2; ; ; ; ;9;2;1;05;1306,8268232606
1870394;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1174,80488675895
1870395;1;2;1;80;05;1;3;6; ;2; ;2; ; ;1;CREE   QUE  NO   ESTA  CAPACITADA;12;1;1;05;1062,39918971596
1870395;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1062,39918971596
1870395;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1062,39918971596
1870396;1;2;1;80;05;2; ; ; ;2; ;2; ;1;1; ;2; ;1;05;931,794075915526
1870396;1;3;1;80;05;2; ; ; ;2; ;2; ;1;1;POR QUE  ES  MENOR  DE  EDAD;12; ;1;05;931,794075915526
1870397;1;1;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;942,428888952374
1870398;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1057,11464850369
1870399;1;2;1;80;05;1;2;1; ;2; ;2; ; ;1; ;9;1;1;05;1112,89072593151
1870401;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;824,146122798848
1870401;1;6;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;824,146122798848
1870401;1;9;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;824,146122798848
1870401;1;11;1;80;05;1;1;3; ;3; ;2; ; ;1; ;9;1;1;05;824,146122798848
1870403;1;1;1;80;05;1;4;3; ;2; ;2; ; ; ; ;9;2;1;05;999,617048242886
1870403;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;999,617048242886
1870405;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1095,72371663065
1870408;1;1;1;80;05;1;4;4; ;2; ;2; ; ; ; ;4;2;1;05;1136,10320546207
1870409;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1185,37396918348
1870409;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1185,37396918348
1870409;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1185,37396918348
1870411;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1023,790121589
1870411;1;5;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1023,790121589
1870412;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1180,08942797122
1870413;1;2;1;80;05;1;4;2; ;2; ;2; ; ; ; ;2;2;1;05;1101,00825784292
1870415;1;5;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1164,74588828533
1870416;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1057,11464850369
1870424;1;2;1;80;05;1;4;3; ;2; ;2; ; ; ; ;9;2;1;05;1220,37613850201
1870425;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1203,20912920115
1870432;1;2;1;80;05;1;1;2; ;2; ;2; ; ; ; ;2;2;1;05;1035,95916647258
1870435;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1280,8764393187
1870436;1;1;1;80;05;1;4;3; ;2; ;2; ; ; ; ;9;2;1;05;1048,62828532105
1870437;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1126,47999894697
1870438;1;2;1;80;05;1;2;3; ;2; ;2; ; ; ; ;9;2;1;05;1026,79460029294
1870441;1;1;1;80;05;1;4;5; ;3; ;2; ; ; ; ;10;2;1;05;1145,8835405982
1870441;1;2;1;80;05;1;4;3; ;2; ;2; ; ; ; ;9;2;1;05;1145,8835405982
1870441;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1145,8835405982
1870441;1;6;1;80;05;1;3;4; ;2; ;2; ; ; ; ;4;2;1;05;1145,8835405982
1870442;1;2;1;80;05;1;4;1; ;2; ;2; ; ;4;CAMBIO DE DOMICILIO;12;1;1;05;1256,39876348122
1870445;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;965,48285956999
1870445;1;5;1;80;05;1;2;8; ;2; ;2; ; ; ; ;9;2;1;05;965,48285956999
1870448;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1095,72371663065
1870449;1;1;1;80;05;1;3;3; ;2; ;2; ; ; ; ;9;2;1;05;931,794075915526
1870449;1;2;1;80;05;2; ; ; ;2; ;2; ;1;2;ESTA HACIENDO VUELTAS PARA SEGUIR ESTUDIANDO;12; ;1;05;931,794075915526
1870449;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;931,794075915526
1870450;1;1;1;80;05;2; ; ; ;3; ;2; ;2; ;.; ; ;1;05;1125,79364968079
1870451;1;1;1;80;05;1;4;4; ;2; ;2; ; ; ; ;4;2;1;05;1205,1379645112
1870452;1;1;1;80;05;1;1;6; ;2; ;2; ; ; ;NO TIENE RECURSOS PARA MONTAR SU PROPIO NEGOCIO;12;2;1;05;1091,01867975332
1870453;1;2;1;80;05;1;1;9;ESTA CUIDANDO A LA MAMA POR QUE ESTA MUY ENFERMA;2; ;2; ; ; ;POR CUIDAR A  SU MAMA QUE ESTA MUY ENFERMA;12;2;1;05;1171,80040805501
1870454;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;907,818345835856
1870454;1;3;1;80;05;1;4;4; ;2; ;2; ; ; ; ;8;2;1;05;907,818345835856
1870455;1;1;1;80;05;2; ; ; ;2; ;2; ;1;4; ;8; ;1;05;1139,18691752324
