Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Area;Mes;Dpto;Fex_c_2011
3813351;1;3;1;1;1;1;1;1;4;3; ; ; ; ;800000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2; ;1;1;2;1;4;1;1;1;1;1;5;3;1;01;52;09;52;213,616750413389
3813352;1;7;2;1;1;1;1;1;4;1; ; ;400000000;2000000; ;1;1;1;1;1;1;1;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2; ;2;1;1;1;4;1;2;1;1;1;5;3;1;01;52;09;52;159,479620982196
3813353;1;4;1;1;1;1;1;1;4;3; ; ; ; ;800000;2;1;1;1;2;1;2;2;2;1;2;2;1;2;1;1;1;1;1;1;1;1;2;2;2; ;2;1;2;1;4;1;2;1;1;1;5;3;1;01;52;09;52;193,488022861782
3813354;1;7;5;1;1;1;1;1;4;1; ; ;140000000;700000; ;1;1;1;1;1;1;1;2;2;1;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2; ;5;1;2;1;6;1;2;1;1;1;5;3;1;01;52;09;52;168,632919623615
3813355;1;4;2;1;1;1;1;1;4;1; ; ;190000000;1000000; ;2;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;1;1;2;1;1;2;2;2; ;2;1;2;1;4;1;2;1;1;1;5;3;1;01;52;09;52;202,717814428376
3813356;1;4;3;1;1;1;1;1;4;3; ; ; ; ;700000;1;1;1;1;1;1;2;2;2;1;2;2;1;2;1;1;1;1;1;2;1;1;4;2;2; ;4;1;2;1;3;1;2;1;1;1;5;3;1;01;52;09;52;112,409603535748
3813357;1;6;1;1;1;1;1;1;4;1; ; ;480000000;2000000; ;2;1;1;2;1;1;1;2;2;2;2;2;1;2;1;1;1;1;1;1;1;1;1;2;2; ;1;1;1;1;6;1;2;1;1;1;5;3;1;01;52;09;52;163,018963247651
3813358;1;6;2;1;1;1;1;1;4;1; ; ;98;98; ;1;1;1;1;1;1;2;2;2;1;2;2;1;2;1;1;1;1;1;1;1;1;2;2;1;1;2;1;1;1;4;1;2;1;1;1;3;3;1;01;52;09;52;169,632548429244
3813359;1;4;2;1;1;1;1;1;4;3; ; ; ; ;400000;1;1;1;2;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;1;1;2;2;2; ;3;1;2;1;4;1;2;1;1;1;3;3;1;01;52;09;52;200,939512853939
3813360;1;3;1;1;1;1;1;1;4;3; ; ; ; ;400000;2;1;1;1;1;1;2;2;2;1;2;1;2;2;1;1;1;1;1;2;2;1;2;2;2; ;2;1;2;1;4;1;2;1;1;1;3;3;1;01;52;09;52;193,488022861782
