DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011
4100277;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;07;05;1218,13610837901
4100277;1;6;1;80;2;1;2;4; ;2; ; ;8; ;2; ;2; ;1;07;05;1218,13610837901
4100278;1;3;1;80;2;1;1;2; ;2; ; ;2; ;2; ;2; ;1;07;05;1206,26994887987
4100278;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;07;05;1206,26994887987
4100279;1;1;1;80;2;1;4;5; ;2; ; ;10; ;3; ;2; ;1;07;05;1380,15127098124
4100280;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;07;05;1380,15127098124
4100281;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;07;05;1420,79266013326
4100283;1;6;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;07;05;1116,34560475113
4100285;1;1;1;80;2;1;4;5; ;2; ; ;10; ;3; ;2; ;1;07;05;1417,05451305007
4100285;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;07;05;1417,05451305007
4100286;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;07;05;6709,14546792772
4100286;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;07;05;6709,14546792772
4100286;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;07;05;6709,14546792772
4100287;1;2;1;80;2;1;1;8; ;2; ; ;1; ;2; ;2; ;1;07;05;5101,20023176607
4100287;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;07;05;5101,20023176607
4100287;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;07;05;5101,20023176607
4100287;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;07;05;5101,20023176607
4100292;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;07;05;4470,66665105138
4100292;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;07;05;4470,66665105138
4100293;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;07;05;4968,15559281092
4100294;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;07;05;1598,57586383468
4100294;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;07;05;1598,57586383468
4100295;1;1;1;80;2;1;4;4; ;2; ; ;8; ;2; ;2; ;1;07;05;1420,79266013326
4100298;1;2;1;80;2;1;4;5; ;2; ; ;8; ;3; ;2; ;1;07;05;1383,88941806444
4100299;1;2;1;80;2;1;1;4; ;2; ; ;4; ;2; ;1;98;1;07;05;1029,60252120945
4100299;1;5;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;07;05;1029,60252120945
4100300;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;07;05;778,967237341327
