Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Clase;Mes;Dpto;Fex_c_2011;Area
2945756;1;4;3;1;1;1;1;1;3;2; ;500000;45000000;250000; ;2;1;1;1;2;2;2;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;4;2;2; ;5;1;1;1;4;1;1;1;1;1;1;3;1;01;1;05;15;93,8164417027268;15
2945757;1;5;2;1;1;1;1;1;3;1; ; ;65000000;250000; ;2;1;1;1;1;2;2;2;2;1;1;2;1;2;2;1;1;1;1;2;2;1;2;2;2; ;3;1;2;1;4;1;1;1;1;1;3;3;1;01;1;05;15;114,21981606516;15
2945758;1;2;1;1;1;1;1;1;4;1; ; ;98;250000; ;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;2; ;2;2; ;3;1;1;1;2;1;2;1;1;1;2;3;2;01;1;05;15;110,208830857394;15
2945759;1;3;2;1;1;1;1;1;4;1; ; ;98;250000; ;2;1;1;1;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;2;2;2; ;5;1;1;1;2;1;2;1;1;1;2;3;1;01;1;05;15;59,1213625566792;15
2945760;1;5;4;1;1;1;1;1;3;1; ; ;99;300000; ;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;2;1;2;2;2; ;4;1;2;1;4;1;1;1;1;1;3;3;1;01;1;05;15;83,1419337865395;15
2945761;1;4;1;1;1;1;1;1;3;4; ; ; ;300000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;1;1;1;1;4;1;1;1;1;1;3;3;1;01;1;05;15;78,7325830836564;15
2945762;1;3;2;1;1;1;1;1;3;4; ; ; ;350000; ;2;1;1;2;2;1;2;2;2;1;2;2;2;2;1;1;2;1;1;1;2;1;2;2;2; ;3;1;1;1;4;1;1;1;1;1;3;3;1;01;1;05;15;73,0511457192522;15
2945762;2;2;2;1;1;1;1;1;3;4; ; ; ;250000; ;2;1;1;2;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;1;2;1;1;2;2; ;2;2; ; ; ; ; ; ; ; ; ; ;1;01;1;05;15;73,0511457192522;15
2945763;1;4;2;1;1;1;2;1;4;2; ;250000;99;100000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;2;2; ;2;1;1;1;2;2;2;1;1;2; ;3; ;01;1;05;15;54,3622223403124;15
2945764;1;4;4;1;1;1;1;1;3;1; ; ;99;200000; ;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;8;1;1;1;2;1;1;1;1;1;1;3;1;01;1;05;15;50,559867087937;15
