DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;clase;MES;INI;DPTO;fex_c_2011
5164406;1;2;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;04;1;44;1474,85031103142
5164407;1;2;1;80;1;1;8; ;1; ;1;1; ;2; ;2; ; ; ; ;2;2;04;1;44;1157,68467382279
5164407;1;6;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;04;1;44;1157,68467382279
5164410;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;04;1;44;1959,81583896627
5164411;1;2;1;80;1;2;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;04;1;44;1384,91899506828
5164412;1;2;1;80;1;3;1; ;2; ; ;8; ;2; ;2; ; ; ; ;2;2;04;1;44;632,119407843981
5164412;1;4;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;04;1;44;632,119407843981
5164413;1;2;1;80;1;2;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;04;1;44;1113,27672974729
5164417;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;04;1;44;2601,14338270704
5164418;1;1;1;80;1;1;6; ;2; ; ;1; ;2; ;2; ;2; ;877803;2;2;04;1;44;1755,23412656516
5164424;1;6;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;04;1;44;2174,73064942213
5164426;1;1;1;80;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;2;04;1;44;1064,10763116304
5164426;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;04;1;44;1064,10763116304
5164432;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;04;1;44;1207,77978433744
5164435;1;3;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;04;1;44;2210,42292158795
5164440;1;1;1;80;1;3;3; ;2; ; ;9; ;2; ;2; ;2; ;300000;2;2;04;1;23;1835,97970302934
5164441;1;4;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;04;1;23;1233,95690912761
5164442;1;2;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;04;1;23;812,570025108172
5164442;1;5;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;04;1;23;812,570025108172
5164442;1;7;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;600000;2;2;04;1;23;812,570025108172
5164443;1;2;1;80;1;2;6; ;2; ; ;9; ;2; ;2; ;2; ;877803;2;2;04;1;23;1187,96658038315
5164444;1;1;1;80;1;3;4; ;2; ; ;8; ;2; ;2; ;1;40;400000;2;2;04;1;23;674,824636785571
5164445;1;1;1;80;1;2;4; ;2; ; ;8; ;2; ;2; ;1;40;400000;2;2;04;1;23;920,558316115258
5164445;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;04;1;23;920,558316115258
5164445;1;4;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;04;1;23;920,558316115258
5164445;1;7;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;04;1;23;920,558316115258
5164446;1;6;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;04;1;23;1088,05222612196
5164447;1;3;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;04;1;23;1302,5961248605
5164449;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;04;1;23;984,434616806017
5164449;1;4;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;04;1;23;984,434616806017
5164449;1;5;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;04;1;23;984,434616806017
5164449;2;2;2;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;04;1;23;984,434616806017
5164449;2;3;2;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;04;1;23;984,434616806017
5164449;2;4;2;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;04;1;23;984,434616806017
5164449;2;5;2;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;04;1;23;984,434616806017
5164450;1;1;1;80;1;3;6; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;04;1;23;807,340153209223
