directorio;secuencia_p;orden;p6020;p6040;mes;area;fex_c_2011
30651;1;3;2;57;04;54;122,951523342862
30654;1;1;1;28;04;13;869,236714633224
30654;1;2;2;21;04;13;869,236714633224
30654;1;3;2;8;04;13;869,236714633224
30654;1;4;1;7;04;13;869,236714633224
30654;1;5;1;2;04;13;869,236714633224
30656;1;1;1;23;04;05;1506,91792905254
30656;1;2;2;24;04;05;1506,91792905254
30659;1;1;2;47;04;11;2517,77117475641
30659;1;2;2;28;04;11;2517,77117475641
30659;1;3;1;27;04;11;2517,77117475641
30661;1;1;1;24;04;50;181,043647109986
30661;1;2;2;23;04;50;181,043647109986
30665;1;1;2;57;04;54;154,122159485453
30665;1;2;1;30;04;54;154,122159485453
30665;1;3;2;26;04;54;154,122159485453
30665;1;4;1;27;04;54;154,122159485453
30665;1;5;2;6;04;54;154,122159485453
30666;1;1;1;63;04;52;104,157916040454
30666;1;2;2;39;04;52;104,157916040454
30666;1;3;2;69;04;52;104,157916040454
30668;1;1;2;50;04;66;280,316413999458
30668;1;2;1;55;04;66;280,316413999458
30668;1;3;1;30;04;66;280,316413999458
30670;1;1;1;44;04;73;211,905300950769
30670;1;2;2;35;04;73;211,905300950769
30670;1;3;1;12;04;73;211,905300950769
30671;1;1;1;29;04;05;1547,97595679474
30671;1;2;2;26;04;05;1547,97595679474
30673;1;1;1;58;04;52;138,842821235125
30673;1;2;2;56;04;52;138,842821235125
30673;1;3;1;30;04;52;138,842821235125
30673;1;4;1;25;04;52;138,842821235125
30673;1;5;2;44;04;52;138,842821235125
30674;1;1;1;68;04;08;1002,06803354065
30676;1;1;1;42;04;73;245,437129316504
30676;1;2;2;35;04;73;245,437129316504
30676;1;3;1;20;04;73;245,437129316504
30676;1;4;2;11;04;73;245,437129316504
30676;1;5;1;84;04;73;245,437129316504
30676;1;6;2;67;04;73;245,437129316504
30678;1;1;2;70;04;11;1999,90156103539
30678;1;2;1;42;04;11;1999,90156103539
30678;1;3;2;36;04;11;1999,90156103539
30680;1;1;1;41;04;17;746,857170827214
30680;1;2;2;40;04;17;746,857170827214
30680;1;3;1;3;04;17;746,857170827214
30680;1;4;1;0;04;17;746,857170827214
30682;1;1;1;27;04;76;739,912587765294
30682;1;2;2;25;04;76;739,912587765294
30682;1;3;1;27;04;76;739,912587765294
30684;1;1;1;48;04;23;108,663218642432
30684;1;2;2;42;04;23;108,663218642432
30684;1;3;2;21;04;23;108,663218642432
30684;1;4;2;16;04;23;108,663218642432
30685;1;1;2;73;04;50;145,084911692525
30685;1;2;2;44;04;50;145,084911692525
30685;1;3;2;16;04;50;145,084911692525
30686;1;1;1;26;04;05;1138,21761529025
30686;1;2;2;48;04;05;1138,21761529025
30688;1;1;1;78;04;23;71,0214923391986
30688;1;2;2;62;04;23;71,0214923391986
30688;1;3;2;28;04;23;71,0214923391986
