DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4780152;1;6;1;70;05;8;48;1; ;2;8;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;85;85;45;1;1;4542;12;05;846,175187008436
4780162;1;1;1;70;05;104;24;4; ;2;520;1; ;5;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;700000;1;2;91;33;52;1;2;5211;12;05;893,660467556049
4780164;1;3;1;70;05;6;48;1; ;2;6;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;97;97;15;1;1;1589;12;05;926,988209087732
4780199;1;5;1;70;05;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1100000; ; ;07; ; ;1;1; ;12;05;1274,27529431018
4780199;1;8;1;70;05;4;48;1; ;2;32;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;99;99;50;1;1;5020;12;05;1274,27529431018
4780217;1;2;1;70;05;12;48;1; ;2;2;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;1;850000;1000000;2; ;32;32;80;1;1;8045;12;05;1985,16168320549
4780217;1;3;1;70;05;3;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;45; ; ;1;1; ;12;05;1985,16168320549
4780220;1;3;1;70;05;24;48;1; ;2;4;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;1;400000;781242;2; ;38;97;71;1;2;7130;12;05;1840,55989941937
4780221;1;4;1;70;05;3;24;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;45; ; ;1;1; ;12;05;728,190074447239
4780229;1;1;1;70;05;4;48;1; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;41;52;1;1;5233;12;05;893,660467556049
4780231;1;2;1;70;05;8;48;1; ;2;16;1; ;7;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;1400000;2; ;39;39;63;1;1;6340;12;05;996,496539137994
4780234;1;1;1;70;05;4;40;4; ;2;1;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;180000;800000;2; ;81;81;36;1;1;3611;12;05;1034,07815158903
4780242;1;1;1;70;05;2;48;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;84;84;50;1;1;5020;12;05;1034,75888670477
4780255;1;3;1;70;05;8;48;1; ;2;8;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;95;95;45;1;1;4522;12;05;946,285656985087
4780277;1;3;1;70;11;24;48;1; ;2;36;1; ;8;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;38;38;74;1;2;7499;12;11;3344,04753480434
4780285;1;3;1;70;13;36;40;1; ;2;40;2; ;9;2;5; ; ; ; ; ; ; ; ; ; ;1;2; ;98;3; ;06;06;85;1;2;8511;12;13;345,847564646196
