DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;RABAND;FT;DPTO;fex_c_2011
4780120;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;12; ;1;76;2634,17855173381
4780122;1;1;1;50; ;1; ; ;1;4; ;2;2;2;2;1;7; ;1;1; ;2;1;12;1;1;76;2771,7534974248
4780122;1;2;1;50; ;1; ; ;2;3; ;2;2;2;2;1;12; ; ; ; ; ; ;12;2;1;76;2771,7534974248
4780123;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;12; ;1;76;2421,54861797052
4780123;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;12; ;1;76;2421,54861797052
4780123;1;3;1;50; ;1;2; ;3;4; ;2;2;2;1; ; ; ; ; ; ; ;1;12; ;1;76;2421,54861797052
4780124;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;12; ;1;76;3240,96809885861
4780124;1;2;1;50; ;1; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;12;2;1;76;3240,96809885861
4780125;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;12; ;1;76;3775,21774988441
4780125;1;2;1;50; ;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;12; ;1;76;3775,21774988441
4780126;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;12; ;1;76;4178,18954855374
4780126;1;2;1;50; ;1; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;12;2;1;76;4178,18954855374
4780127;1;1;1;50; ;1; ; ;1;6;DILIGENCIAS PERSONALES;2;2;2;2;1;11; ; ; ; ; ; ;12;2;1;76;2950,04259375652
4780128;1;1;1;50; ;1;2; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;12; ;1;76;2950,04259375652
4780129;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;12; ;1;76;3660,53090380024
4780129;1;2;1;50; ;1; ; ;1;6;PASEANDO;2;2;2;2;2; ; ; ; ; ; ; ;12; ;1;76;3660,53090380024
4780131;1;1;1;50; ;1;1; ;1;6;DILIGENCIAS PERSONALES;2;2;2;1; ; ; ; ; ; ; ;1;12; ;1;76;2431,10390179135
4780131;1;2;1;50; ;1;1; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;12; ;1;76;2431,10390179135
4780133;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;12; ;1;76;2487,79142073501
4780133;1;2;1;50; ;1; ; ;2;4; ;2;2;2;2;1;11; ; ; ; ; ; ;12;2;1;76;2487,79142073501
4780133;1;3;1;50; ;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;12; ;1;76;2487,79142073501
4780137;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;12; ;1;76;3263,31478037071
4780137;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;12; ;1;76;3263,31478037071
4780137;1;3;1;50; ;1;2; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;12; ;1;76;3263,31478037071
