DIRECTORIO,AREA,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,P5070,DPTO,ORDEN,fex_c_2011
570752,5,1,3,2,1,1,1,1,3,1,,,60000000,300000,,1,2,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,3,2,1,1,1,5,1,806.125.192.271.945
570753,5,1,5,3,1,1,1,1,4,2,,300000,60000000,400000,,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,1,1,2,1,4,1,2,1,1,1,3,2,1,1,1,5,1,901.516.038.599.554
570754,5,1,5,4,1,1,1,1,3,1,,,70000000,500000,,1,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,2,1,2,1,2,1,4,1,1,1,1,1,3,2,1,1,1,5,1,107.845.157.267.357
570755,5,1,5,4,1,1,1,1,1,3,,,,,400000,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,1,5,1,115.983.303.958.299
570757,5,1,2,1,1,2,1,1,4,3,,,,,140000,1,1,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,1,5,1,103.654.030.213.307
570758,5,1,3,2,1,2,1,1,4,3,,,,,160000,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,1,5,1,116.200.262.260.862
570759,5,1,4,3,1,1,1,1,4,3,,,,,245000,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,2,2,2,1,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,1,5,1,131.624.661.645.156
570760,5,1,3,1,1,1,1,1,3,1,,,28000000,180000,,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,2,2,1,1,1,5,1,973.865.757.834.864
570761,5,1,3,1,1,1,1,1,4,1,,,25000000,200000,,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,1,5,1,134.264.545.644.506
570762,5,1,4,1,1,1,1,1,1,1,,,20000000,200000,,1,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,4,1,2,1,1,1,2,2,1,1,1,5,1,119.888.821.607.824
570763,5,1,5,4,1,1,1,1,1,1,,,30000000,180000,,1,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,4,1,2,1,1,1,2,2,1,1,1,5,1,125.964.733.599.213
570765,5,1,3,2,3,1,1,1,4,2,,250000,6000000,100000,,1,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,1,2,2,1,1,1,5,1,107.887.903.197.806
570767,5,1,3,2,1,1,1,1,4,1,,,70000000,500000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,2,1,4,1,2,1,1,1,4,2,1,1,1,5,1,111.381.167.235.455
570769,5,1,3,2,1,1,1,1,1,3,,,,,450000,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,4,2,1,1,1,5,1,109.183.680.310.574
570772,5,1,4,3,1,1,1,1,4,1,,,75000000,400000,,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,1,5,1,92.334.863.532.115
570777,5,1,3,2,1,1,1,1,1,3,,,,,420000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,1,5,1,879.865.780.856.436
570778,5,1,4,3,1,1,1,1,4,4,,,,220000,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,1,5,1,100.967.981.364.278
570779,5,1,4,3,1,1,1,1,4,1,,,30000000,200000,,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,1,5,1,749.803.842.122.833
570782,5,1,5,2,3,1,1,1,4,1,,,15000000,120000,,1,1,2,2,1,1,1,2,2,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2,2,2,1,2,,1,1,1,5,1,142.684.125.367.759
