DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,CLASE,INI,DPTO,fex_c_2011
578510,1,1,80,2,,,,2,,2,,2,,.,,,2,1,50,875.916.348.714.049
578510,1,3,80,2,,,,2,,2,,2,,.,,,2,1,50,875.916.348.714.049
578512,1,2,80,2,,,,2,,2,,2,,.,,,2,1,50,811.570.567.444.209
578513,1,2,80,2,,,,2,,2,,1,3,,9,,2,1,50,959.542.377.117.923
578513,1,3,80,2,,,,2,,2,,2,,.,,,2,1,50,959.542.377.117.923
578513,1,4,80,2,,,,2,,2,,2,,.,,,2,1,50,959.542.377.117.923
578515,1,3,80,2,,,,2,,2,,2,,.,,,2,1,50,919.411.378.361.492
578515,1,4,80,2,,,,2,,2,,2,,.,,,2,1,50,919.411.378.361.492
578517,1,2,80,2,,,,2,,2,,2,,.,,,2,1,50,848.391.880.054.191
578521,1,2,80,2,,,,2,,2,,2,,.,,,2,1,50,887.635.437.059.352
578523,1,2,80,2,,,,2,,2,,2,,.,,,2,1,50,1.098.227.787.174
578523,1,4,80,2,,,,2,,2,,2,,.,,,2,1,50,1.098.227.787.174
578524,1,2,80,2,,,,2,,2,,2,,.,,,2,1,50,116.360.909.847.328
581071,1,2,80,1,3,2,,2,,2,,,,,9,2,2,1,25,487.030.293.195.915
581074,1,6,80,1,2,2,,2,,2,,,,,9,2,2,1,25,366.637.491.336.511
581075,1,1,80,1,3,3,,2,,2,,,,,4,2,2,1,25,484.449.511.912.298
581075,1,2,80,1,3,3,,2,,2,,,,,4,2,2,1,25,484.449.511.912.298
581078,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,557.303.132.803.791
581079,1,1,80,1,4,3,,2,,2,,,,,4,2,2,1,25,503.154.486.413.003
581090,1,3,80,1,4,3,,2,,2,,,,,4,2,2,1,25,142.120.819.070.152
581091,1,3,80,1,4,3,,2,,2,,,,,4,2,2,1,25,142.120.819.070.152
581093,1,2,80,1,4,7,,2,,2,,,,,1,2,2,1,25,153.063.608.828.879
581094,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,160.630.729.722.299
581100,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,147.379.545.018.346
581101,1,2,80,1,3,7,,2,,2,,,,,1,2,2,1,25,243.025.248.225.897
581101,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,243.025.248.225.897
581101,1,4,80,2,,,,2,,2,,2,,.,,,2,1,25,243.025.248.225.897
581101,1,5,80,2,,,,2,,2,,2,,.,,,2,1,25,243.025.248.225.897
581102,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,23.482.481.600.437
581102,1,4,80,2,,,,2,,2,,2,,.,,,2,1,25,23.482.481.600.437
581103,1,1,80,1,2,2,,2,,2,,,,,9,2,2,1,25,235.458.127.332.476
581103,1,4,80,1,2,8,ESTA EMBARAZADA,2,,2,,,,ESTA EMBARAZADA,12,2,2,1,25,235.458.127.332.476
581104,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,25,175.068.246.537.686
581105,1,1,80,1,2,7,,2,,2,,,,,1,2,2,1,25,224.687.966.128.005
581106,1,1,80,1,4,6,,2,,2,,,,POR LA EDAD,8,2,2,1,25,181.385.621.676.325
581109,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,599.542.263.296.061
581110,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,59.532.758.597.749
581110,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,59.532.758.597.749
581110,1,4,80,2,,,,2,,2,,2,,.,,,2,1,25,59.532.758.597.749
581111,1,1,80,1,4,6,,2,,2,,,,,8,2,2,1,25,451.985.587.914.661
581111,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,451.985.587.914.661
581113,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,663.281.107.174.882
581114,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,524.989.878.854.226
581130,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,544.818.989.955.996
581131,1,2,80,2,,,,2,,2,,1,4,,9,,2,1,25,177.310.022.025.121
581132,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,230.170.344.605.371
581132,1,4,80,2,,,,2,,2,,2,,.,,,2,1,25,230.170.344.605.371
581133,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,207.687.720.509.711
581137,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,224.618.223.781.441
581138,1,2,80,1,1,2,,2,,2,,,,,9,2,2,1,25,296.746.329.029.018
581138,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,296.746.329.029.018
581138,1,4,80,1,1,3,,2,,1,100000,,,MENOR DE EDAD,4,2,2,1,25,296.746.329.029.018
581138,1,5,80,2,,,,2,,2,,2,,.,,,2,1,25,296.746.329.029.018
581138,1,6,80,2,,,,2,,2,,2,,.,,,2,1,25,296.746.329.029.018
581139,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,201.129.682.600.379
581140,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,225.063.737.783.987
581140,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,225.063.737.783.987
581140,1,4,80,2,,,,2,,2,,2,,.,,,2,1,25,225.063.737.783.987
581140,1,6,80,1,4,3,,2,,2,,,,,4,2,2,1,25,225.063.737.783.987
581141,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,192.068.492.155.981
581141,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,192.068.492.155.981
581142,1,2,80,1,1,2,,2,,2,,,,,9,2,2,1,25,216.897.235.715.327
581142,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,216.897.235.715.327
581142,1,4,80,2,,,,2,,2,,2,,.,,,2,1,25,216.897.235.715.327
581142,1,5,80,2,,,,2,,2,,2,,.,,,2,1,25,216.897.235.715.327
581144,1,2,80,1,4,3,,2,,2,,,,,4,2,2,1,25,134.072.505.975.436
581144,1,3,80,1,2,2,,2,,2,,,,,1,2,2,1,25,134.072.505.975.436
581145,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,164.931.396.661.321
581150,1,2,80,1,3,8,CAMBIO DE CIUDAD,2,,2,,,,,6,2,2,1,25,451.985.587.914.661
581152,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,25,630.826.531.843.396
581152,1,5,80,2,,,,2,,2,,2,,.,,,2,1,25,630.826.531.843.396
581152,1,8,80,1,1,8,NO  LE INTERESA TRABAJAR,2,,1,60000,,,,11,2,2,1,25,630.826.531.843.396
581154,1,3,80,1,4,3,,2,,2,,,,,8,2,2,1,25,548.308.497.282.331
581171,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,153.063.608.828.879
581176,1,2,80,1,1,7,,2,,2,,,,,1,2,2,1,25,192.068.492.155.981
581177,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,203.542.378.511.943
581177,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,203.542.378.511.943
581180,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,25,13.112.700.533.651
581180,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,13.112.700.533.651
581181,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,159.449.018.183.956
581182,1,2,80,2,,,,2,,2,,1,4,,9,,2,1,25,215.888.152.731.238
581182,1,3,80,1,1,1,,2,,2,,,,,2,2,2,1,25,215.888.152.731.238
581182,1,4,80,2,,,,2,,2,,2,,.,,,2,1,25,215.888.152.731.238
581184,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,25,213.679.228.388.308
581184,1,3,80,1,1,7,,2,,2,,,,,9,2,2,1,25,213.679.228.388.308
