DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,CLASE,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,fex_c_2011
583162,1,3,70,5,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,45,,,,70,683.061.568.729.995
583165,1,7,70,4,50,3,,2,4,3,,1,1,,,,,,,,,,1,,1,110000,2,2,1,54,54,9500,95,70,595.578.271.834.247
583166,1,3,70,2,48,8,,2,2,8,,3,1,,,,,,,,,,1,,1,308000,2,2,1,62,62,121,1,70,168.259.356.712.942
583183,1,2,70,3,40,3,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,54,,,,70,179.215.017.843.971
583183,1,4,70,2,48,3,,2,4,3,,1,4,,,,,,,,,,1,,1,130000,2,2,1,54,.,,,70,179.215.017.843.971
583193,1,3,70,5,40,1,,2,5,1,,5,4,,,,,,,,,,1,,1,110000,2,2,1,45,45,5233,52,70,595.578.271.834.247
583195,1,2,70,12,40,2,,2,12,4,,2,1,,,,,,,,,,1,,1,300000,2,2,1,32,53,5521,55,70,112.641.263.843.001
583220,1,3,70,24,60,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,58,,,,70,22.571.439.772.091
583226,1,2,70,4,50,3,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,54,,,,70,215.722.356.389.656
583232,1,2,70,12,40,3,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,54,,,,70,107.608.698.548.328
583237,1,2,70,52,40,3,,2,64,3,,1,2,,,,,,,,,,1,,2,,2,2,1,54,54,9500,95,70,864.622.768.493.394
584221,1,3,70,4,52,4,,2,6,1,,3,1,,,,,,,,,,1,,2,,2,2,1,61,62,121,1,8,371.965.728.289.189
584221,1,4,70,4,40,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,62,,,,8,371.965.728.289.189
584230,1,3,70,2,50,2,,2,12,1,,7,8,,,,,,,,,,1,,2,,2,2,1,39,58,7492,74,8,163.213.848.950.256
584254,1,3,70,2,56,4,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,61,,,,8,291.416.575.131.656
584254,3,1,70,1,72,4,,2,2,4,,1,4,,,,,,,,,,1,,2,,2,2,1,61,61,140,1,8,291.416.575.131.656
584254,4,1,70,1,70,1,,2,3,1,,2,4,,,,,,,,,,1,,1,280000,2,2,1,95,95,4521,45,8,291.416.575.131.656
584287,1,4,70,2,48,4,,2,8,4,,1,8,,,,,,,,,,1,,2,,2,2,1,98,98,6021,60,8,123.699.489.038.525
584287,1,5,70,54,48,4,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,0,,,,8,123.699.489.038.525
584289,1,13,70,1,48,1,,2,12,1,,7,7,,,,,,,,,,1,,2,,2,2,1,58,58,0,0,8,123.699.489.038.525
584295,1,7,70,4,48,1,,2,208,1,,2,1,,,,,,,,,,1,,2,,2,2,1,59,38,6421,64,8,14.007.870.147.713
