DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P7480,P7480S1,P7480S2,P7480S3,P7480S4,P7480S5,P7480S6,P7480S7,P7480S8,P7480S9,P7480S10,P7480S11,P7480S1A1,P7480S2A1,P7480S3A1,P7480S4A1,P7480S5A1,P7480S6A1,P7480S7A1,P7480S8A1,P7480S9A1,P7480S10A1,P7480S11A1,DPTO,fex_c_2011
570752,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,806.125.192.271.945
570752,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,50,,,,,,,,,5,806.125.192.271.945
570752,1,3,5,90,,2,,1,2,2,2,2,2,2,2,2,,,15,,,,,,,,,5,806.125.192.271.945
570752,1,4,5,90,,2,,1,2,2,2,2,2,2,2,2,,,5,,,,,,,,,5,806.125.192.271.945
570753,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,901.516.038.599.554
570753,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,40,,,,,,,,,5,901.516.038.599.554
570753,1,3,5,90,,2,,1,2,2,2,2,2,2,2,2,,,10,,,,,,,,,5,901.516.038.599.554
570753,1,4,5,90,,2,,1,2,2,2,2,2,2,2,2,,,12,,,,,,,,,5,901.516.038.599.554
570754,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,107.845.157.267.357
570754,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,35,,,,,,,,,5,107.845.157.267.357
570754,1,3,5,90,,2,,1,2,2,2,2,2,2,2,2,,,10,,,,,,,,,5,107.845.157.267.357
570754,1,4,5,90,,2,,1,2,2,2,2,2,2,2,2,,,7,,,,,,,,,5,107.845.157.267.357
570754,1,6,5,90,,2,,1,2,1,2,2,2,2,2,2,,,15,,10,,,,,,,5,107.845.157.267.357
570754,1,7,5,90,,2,,1,2,1,2,2,2,2,2,2,,,15,,30,,,,,,,5,107.845.157.267.357
570755,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,115.983.303.958.299
570755,1,2,5,90,,2,,1,2,1,2,2,2,2,2,2,,,50,,10,,,,,,,5,115.983.303.958.299
570755,1,3,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,115.983.303.958.299
570755,1,4,5,90,,2,,1,2,1,2,2,2,2,2,2,,,8,,20,,,,,,,5,115.983.303.958.299
570757,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,10,,,,,,,,,5,103.654.030.213.307
570757,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,45,,,,,,,,,5,103.654.030.213.307
570758,1,1,5,90,,2,,1,2,1,2,2,2,2,2,2,,,15,,10,,,,,,,5,116.200.262.260.862
570758,1,2,5,90,,2,,1,2,1,2,2,2,2,2,2,,,30,,10,,,,,,,5,116.200.262.260.862
570759,1,1,5,90,,2,,2,2,1,2,2,2,2,2,2,,,,,10,,,,,,,5,131.624.661.645.156
570759,1,2,5,90,,2,,1,2,1,2,2,2,2,2,2,,,40,,20,,,,,,,5,131.624.661.645.156
570759,1,3,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,131.624.661.645.156
570759,1,4,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,131.624.661.645.156
570760,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,40,,,,,,,,,5,973.865.757.834.864
570761,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,134.264.545.644.506
570762,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,119.888.821.607.824
570762,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,45,,,,,,,,,5,119.888.821.607.824
570763,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,125.964.733.599.213
570763,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,10,,,,,,,,,5,125.964.733.599.213
570763,1,3,5,90,,2,,1,2,2,2,2,2,2,2,2,,,8,,,,,,,,,5,125.964.733.599.213
570763,1,4,5,90,,2,,1,2,2,2,2,2,2,2,2,,,30,,,,,,,,,5,125.964.733.599.213
570763,1,5,5,90,,2,,1,2,2,2,2,2,2,2,2,,,30,,,,,,,,,5,125.964.733.599.213
570764,1,1,5,90,,2,,2,2,1,2,2,2,2,2,2,,,,,10,,,,,,,5,131.656.397.935.622
570764,1,2,5,90,,2,,1,2,1,2,2,2,2,2,2,,,30,,20,,,,,,,5,131.656.397.935.622
570765,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,107.887.903.197.806
570765,1,2,5,90,,2,,1,2,1,2,2,2,2,2,2,,,35,,10,,,,,,,5,107.887.903.197.806
570767,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,35,,,,,,,,,5,111.381.167.235.455
570767,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,5,,,,,,,,,5,111.381.167.235.455
570768,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,40,,,,,,,,,5,102.256.298.988.687
570769,1,1,5,90,,2,,2,2,1,2,2,2,2,2,2,,,,,10,,,,,,,5,109.183.680.310.574
570769,1,2,5,90,,2,,1,2,1,2,2,2,2,2,2,,,25,,15,,,,,,,5,109.183.680.310.574
570769,1,3,5,90,,2,,1,2,2,2,2,2,2,2,2,,,7,,,,,,,,,5,109.183.680.310.574
570772,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,92.334.863.532.115
570772,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,7,,,,,,,,,5,92.334.863.532.115
570772,1,3,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,92.334.863.532.115
570772,1,4,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,92.334.863.532.115
570777,1,1,5,90,,2,,2,2,1,2,2,2,2,2,2,,,,,28,,,,,,,5,879.865.780.856.436
570777,1,2,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,879.865.780.856.436
570778,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,100.967.981.364.278
570778,1,2,5,90,,2,,1,2,1,2,2,2,2,2,2,,,21,,40,,,,,,,5,100.967.981.364.278
570778,1,3,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,100.967.981.364.278
570778,1,4,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,100.967.981.364.278
570778,1,6,5,90,,2,,1,2,2,2,2,2,2,2,2,,,4,,,,,,,,,5,100.967.981.364.278
570779,1,1,5,90,,2,,1,2,1,2,2,2,2,2,2,,,21,,10,,,,,,,5,749.803.842.122.833
570779,1,4,5,90,,2,,1,2,2,2,2,2,2,2,2,,,8,,,,,,,,,5,749.803.842.122.833
570782,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,142.684.125.367.759
570782,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,142.684.125.367.759
570782,1,3,5,90,,2,,1,2,1,2,2,2,2,2,2,,,20,,30,,,,,,,5,142.684.125.367.759
570782,1,4,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,142.684.125.367.759
570783,1,1,5,90,,2,,1,2,1,2,2,2,2,2,2,,,30,,25,,,,,,,5,895.233.718.187.452
570783,1,3,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,895.233.718.187.452
570785,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,20,,,,,,,,,5,155.362.897.445.435
570787,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,117.067.632.584.971
570787,1,2,5,90,,2,,1,2,2,2,2,1,2,2,2,,,24,,,,,2,,,,5,117.067.632.584.971
570788,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,7,,,,,,,,,5,128.196.596.453.475
570788,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,128.196.596.453.475
