DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;AREA;ESC;MES;DPTO;fex_c_2011
4879003;1;1;1;10;1;2;7;1954;64;1;6;3; ;3; ; ; ;1; ; ;1;2;216000;2;1;2; ;6;3;3; ;05;14;04;05;1119,03272563133
4879004;1;1;1;10;1;2;10;1963;55;1;4;3; ;3; ; ; ;1; ; ;1;5; ;1;1;2; ;3;5; ; ;05;5;04;05;1168,46609452917
4879004;1;2;1;10;2;2;8;1985;33;3;6;2; ;1;1; ; ;1; ; ;1;1;48000;2;1;2; ;6;2;3; ;05;13;04;05;1168,46609452917
4879004;1;3;1;10;3;1;12;1986;32;3;6;2; ;1;1; ; ;2;1;6; ; ; ;2;1;2; ;5;10;1; ;05;10;04;05;1168,46609452917
4879005;1;1;1;10;1;2;5;1970;48;1;6;3; ;2; ; ; ;1; ; ;1;3;103600;2;1;2; ;5;11;2; ;05;11;04;05;1265,33611357564
4879005;1;2;1;10;2;1;11;1991;27;3;6;2; ;1;1; ; ;1; ; ;1;1;33125;2;1;2; ;5;11;2; ;05;11;04;05;1265,33611357564
4879005;1;3;1;10;3;1;8;1993;25;3;6;2; ;1;1; ; ;1; ; ;1;3;124000;2;1;1;1;6;4;3; ;05;15;04;05;1265,33611357564
4879006;1;1;1;10;1;1;11;1948;70;1;5;3; ;3; ; ; ;1; ; ;1;2;153000;2;1;2; ;4;7; ; ;05;7;04;05;1181,58381093412
4879007;1;1;1;10;1;2;11;1927;91;1;5;3; ;3; ; ; ;1; ; ;1;2;360000;2;1;2; ;5;10;1; ;05;10;04;05;1182,63366273153
4879007;1;2;1;10;2;1;11;1952;66;3;4;3; ;1;1; ; ;1; ; ;1;1;33125;2;1;2; ;5;11;2; ;05;11;04;05;1182,63366273153
4879007;1;3;1;10;3;2;11;1959;59;6;6;3; ;3; ; ; ;1; ; ;1;4; ;2;1;2; ;3;5; ; ;05;5;04;05;1182,63366273153
