DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;AREA;ESC;DPTO;fex_c_2011
1139648;1;1;1;10;1;1;1;4;1934;75;1;6;1; ; ;3; ; ;2;1;2; ;3;4; ;05;4;05;1016,91469325325
1139650;1;1;1;10;1;1;1;1;1974;35;1;3;1; ; ;3; ; ;2;1;2; ;3;4; ;05;4;05;1229,44655545006
1139650;1;2;1;10;2;2;1;2;1982;27;2;3;1; ; ;3; ; ;2;1;2; ;4;9; ;05;9;05;1229,44655545006
1139650;1;3;1;10;2;2;1;4;2004;5;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;05;0;05;1229,44655545006
1139650;1;4;1;10;2;2;1;5;2005;4;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;05;0;05;1229,44655545006
1139651;1;1;1;10;1;1;1;6;1972;36;1;3;1; ; ;1;4; ;2;2;2; ;1;0; ;05;0;05;1029,21104776776
1139651;1;2;1;10;2;2;1;9;1974;34;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;05;5;05;1029,21104776776
1139651;1;3;1;10;2;2;1;2;1995;14;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ;05;7;05;1029,21104776776
1139651;1;4;1;10;2;1;1;6;2005;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;05;0;05;1029,21104776776
1139652;1;1;1;10;1;1;1;12;1968;40;1;3;2;1;12; ; ; ;2;1;2; ;3;5; ;05;5;05;986,117252584958
1139652;1;2;1;10;2;2;1;2;1973;36;2;3;2;1;12; ; ; ;2;1;2; ;1;0; ;05;0;05;986,117252584958
1139652;1;3;1;10;2;2;1;12;1991;17;3;6;2;1;12; ; ; ;2;1;1;1;4;0; ;05;5;05;986,117252584958
1139652;1;4;1;10;2;1;1;12;1994;14;3;6;2;1;12; ; ; ;2;1;1;1;3;3; ;05;3;05;986,117252584958
1139652;1;5;1;10;2;1;1;4;2009;0;5; ;2;2; ; ; ; ;2; ; ; ; ; ; ;05; ;05;986,117252584958
1139653;1;1;1;10;1;2;1;12;1965;43;1;4;1; ; ;1;5; ;2;1;2; ;3;5; ;05;5;05;958,13309721959
1139653;1;2;1;10;2;1;1;10;1984;24;3;6;1; ; ;1;1;19800;2;1;2; ;4;9; ;05;9;05;958,13309721959
1139653;1;3;1;10;3;1;1;5;1986;23;3;6;1; ; ;1;1;19800;2;1;2; ;4;6; ;05;6;05;958,13309721959
1139653;1;4;1;10;4;1;1;11;1987;21;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;05;5;05;958,13309721959
1139654;1;1;1;10;1;2;1;9;1974;34;1;4;1; ; ;3; ; ;2;1;2; ;5;10;1;05;10;05;980,269395023485
1139654;1;2;1;10;1;1;1;12;1994;14;3;6;1; ; ;3; ; ;2;1;2; ;4;6; ;05;6;05;980,269395023485
1139654;1;3;1;10;1;1;1;6;1996;12;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ;05;6;05;980,269395023485
1139654;1;4;1;10;1;2;1;9;2000;8;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;05;2;05;980,269395023485
1139654;1;5;1;10;1;2;1;11;2002;6;3; ;1; ; ;3; ; ;2;2;1;1;3;0; ;05;0;05;980,269395023485
1139655;1;1;1;10;1;1;1;3;1949;60;1;3;1; ; ;1;5; ;1;1;2; ;3;3; ;05;3;05;1377,82534680602
1139655;1;2;1;10;2;2;1;10;1954;54;2;3;1; ; ;3; ; ;1;1;2; ;3;3; ;05;3;05;1377,82534680602
1139655;1;3;1;10;3;2;1;10;1977;31;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;05;11;05;1377,82534680602
1139655;1;4;1;10;3;2;1;9;2004;4;4; ;1; ; ;3; ; ;2;2;1;1;2;0; ;05;0;05;1377,82534680602
1139655;1;5;1;10;5;1;1;2;1980;29;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;05;5;05;1377,82534680602
1139655;1;6;1;10;6;1;1;3;1981;28;3;6;1; ; ;3; ; ;1;1;2; ;6;2;3;05;13;05;1377,82534680602
1139655;1;7;1;10;7;1;1;6;1984;24;3;6;1; ; ;1;1;19840;2;1;2; ;5;11;2;05;11;05;1377,82534680602
1139656;1;1;1;10;1;1;1;5;1980;29;1;3;2;1;3; ; ; ;1;1;2; ;5;11;2;05;11;05;1088,6199251293
1139656;1;2;1;10;2;2;1;7;1984;24;2;3;2;1;3; ; ; ;2;1;2; ;5;11;2;05;11;05;1088,6199251293
1139656;1;3;1;10;2;2;1;11;2002;6;3; ;2;1;3; ; ; ;2;1;1;1;3;0; ;05;0;05;1088,6199251293
1139658;1;1;1;10;1;2;1;7;1974;34;1;3;1; ; ;1;1;19860;1;1;2; ;6;4;3;05;15;05;973,274828065463
1139658;1;2;1;10;2;1;1;1;2003;6;3; ;1; ; ;1;5; ;2;1;1;1;3;0; ;05;0;05;973,274828065463
1139659;1;1;1;10;1;1;1;8;1943;65;1;3;1; ; ;1;2;84000;2;1;2; ;3;5; ;05;5;05;1318,01633279716
1139659;1;2;1;10;2;2;1;2;1952;57;2;3;1; ; ;1;5; ;2;1;2; ;3;5; ;05;5;05;1318,01633279716
1139659;1;3;1;10;3;1;1;7;1973;35;3;2;2;1;2; ; ; ;2;1;1;1;6;0;2;05;11;05;1318,01633279716
1139659;1;4;1;10;4;1;1;4;1976;33;3;6;2;1;1; ; ; ;1;1;2; ;4;8; ;05;8;05;1318,01633279716
1139660;1;1;1;10;1;2;1;12;1926;82;1;5;1; ; ;2;2;72000;2;1;2; ;3;4; ;05;4;05;1062,53698218998
1139660;1;2;1;10;2;2;1;4;1957;52;3;6;1; ; ;1;3;62000;2;1;2; ;5;11;2;05;11;05;1062,53698218998
1139661;1;1;1;10;1;1;1;1;1942;67;1;3;1; ; ;1;2;62200;2;1;2; ;5;11;2;05;11;05;929,235870968107
1139661;1;2;1;10;2;2;1;5;1950;59;2;3;1; ; ;1;2;78000;2;1;2; ;4;9; ;05;9;05;929,235870968107
1139661;1;3;1;10;3;2;1;6;1981;28;3;6;1; ; ;1;1;60000;2;1;2; ;6;5;4;05;16;05;929,235870968107
1139661;1;4;1;10;4;2;1;7;1985;23;3;6;1; ; ;1;4; ;2;1;1;1;6;4;2;05;15;05;929,235870968107
1139662;1;1;1;10;1;1;1;9;1941;67;1;3;1; ; ;1;2;168000;2;1;2; ;5;11;2;05;11;05;1068,83917237059
1139662;1;2;1;10;2;2;1;1;1951;58;2;3;1; ; ;1;5; ;2;1;2; ;5;11;2;05;11;05;1068,83917237059
1139662;1;3;1;10;3;1;1;8;1977;31;3;6;1; ; ;1;1;32000;2;1;1;1;6;6;4;05;17;05;1068,83917237059
1139662;1;4;1;10;2;1;1;2;1992;17;3;6;1; ; ;1;5; ;2;1;1;2;5;10;1;05;10;05;1068,83917237059
1139662;1;5;1;10;5;1;1;3;1986;23;5;6;2;1;6; ; ; ;2;1;2; ;6;2;2;05;13;05;1068,83917237059
1139663;1;1;1;10;1;2;1;1;1978;31;1;6;1; ; ;1;3;125000;2;1;2; ;6;6;4;05;17;05;1087,414482768
1139664;1;1;1;10;1;2;1;6;1970;38;1;2;1; ; ;1;5; ;2;1;1;1;6;5;4;05;16;05;973,274828065463
1139664;1;2;1;10;2;1;1;11;1998;10;3;6;1; ; ;1;5; ;2;1;1;2;3;4; ;05;4;05;973,274828065463
1139665;1;1;1;10;1;1;1;5;1945;64;1;6;1; ; ;3; ; ;1;1;2; ;3;5; ;05;5;05;1280,09251166807
1139665;1;2;1;10;2;1;1;5;1958;51;5;2;1; ; ;3; ; ;2;1;2; ;4;9; ;05;9;05;1280,09251166807
1139665;1;3;1;10;3;2;1;4;1963;46;5;2;1; ; ;3; ; ;2;1;2; ;4;7; ;05;7;05;1280,09251166807
1139665;1;4;1;10;2;2;1;1;1994;15;5;6;1; ; ;3; ; ;2;1;2; ;4;9; ;05;9;05;1280,09251166807
1139665;1;5;1;10;5;1;1;6;1965;44;5;4;2;2; ; ; ; ;2;1;2; ;5;11;2;05;11;05;1280,09251166807
1139666;1;1;1;10;1;1;1;1;1983;26;1;6;2;1;12; ; ; ;1;1;2; ;6;1;2;05;12;05;1099,09867381875
1139666;1;2;1;10;2;2;1;11;1985;23;5;6;1; ; ;1;3;81000;2;1;1;1;6;0;2;05;11;05;1099,09867381875
1139667;1;1;1;10;1;2;1;1;1988;21;1;6;1; ; ;1;5; ;2;1;1;2;6;4;2;05;15;05;936,109103757787
1139670;1;1;1;10;1;2;1;6;1940;68;1;5;1; ; ;1;2;250000;2;1;2; ;6;3;3;05;14;05;955,48363183131
1139670;1;2;1;10;2;2;1;9;1958;50;3;6;1; ; ;1;1;24000;2;1;2; ;6;3;3;05;14;05;955,48363183131
1139670;1;3;1;10;3;2;1;11;1987;21;4;6;1; ; ;1;5; ;1;1;1;2;6;1;2;05;12;05;955,48363183131
1139672;1;1;1;10;1;2;1;3;1977;32;1;6;1; ; ;1;1;40000;2;1;2; ;6;5;4;05;16;05;1087,414482768
1139707;1;1;1;10;1;1;1;2;1959;50;1;3;1; ; ;1;5; ;2;1;2; ;5;10;1;17;10;17;177,938104703445
1139707;1;2;1;10;2;2;1;9;1959;49;2;3;1; ; ;1;1;32600;2;1;2; ;6;5;2;17;16;17;177,938104703445
1139708;1;1;1;10;1;2;1;9;1952;56;1;5;1; ; ;2;2;440000;2;1;2; ;6;8;5;17;19;17;181,301476883655
1139708;1;2;1;10;2;1;1;7;1982;26;3;6;1; ; ;1;1;40600;2;1;1;2;6;6;3;17;17;17;181,301476883655
1139709;1;1;1;10;1;1;1;4;1971;38;1;4;1; ; ;2;1;39318;2;1;2; ;5;11;2;17;11;17;189,435104677987
1139710;1;1;1;10;1;1;1;11;1948;60;1;2;1; ; ;1;2;128000;2;1;2; ;6;2;3;17;13;17;159,887539386188
1139710;1;2;1;10;2;2;1;12;1955;53;2;2;1; ; ;2;1;85000;2;1;2; ;6;7;5;17;18;17;159,887539386188
1139710;1;3;1;10;3;2;1;5;1955;54;6;4;1; ; ;3; ; ;2;1;2; ;1;0; ;17;0;17;159,887539386188
1139711;1;1;1;10;1;1;1;9;1955;53;1;3;1; ; ;1;1;80000;2;1;2; ;6;2;3;17;13;17;161,813742890367
1139711;1;2;1;10;2;2;1;12;1953;55;2;3;1; ; ;1;5; ;2;1;2; ;5;11;2;17;11;17;161,813742890367
1139711;1;3;1;10;3;1;1;10;1979;29;3;6;1; ; ;1;1;48000;2;1;2; ;6;5;4;17;16;17;161,813742890367
1139711;1;4;1;10;4;2;1;7;1988;20;3;6;1; ; ;1;5; ;2;1;1;2;6;3;2;17;14;17;161,813742890367
1139712;1;1;1;10;1;1;1;9;1953;55;1;3;1; ; ;1;1;120000;2;1;2; ;6;4;3;17;15;17;158,888799363971
1139712;1;2;1;10;2;2;1;7;1956;52;2;3;1; ; ;1;5; ;2;1;2; ;4;7; ;17;7;17;158,888799363971
