DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;AREA;fex_c_2011
1139650;1;2;1;80;1;1;3;3; ;2; ;2; ; ; ; ;9;2;1;05;05;1229,44655545006
1139651;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;1029,21104776776
1139651;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;1029,21104776776
1139652;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;986,117252584958
1139652;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;986,117252584958
1139653;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;05;05;958,13309721959
1139654;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;980,269395023485
1139654;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;980,269395023485
1139655;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;05;05;1377,82534680602
1139659;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;05;05;1318,01633279716
1139659;1;2;1;80;1;1;2;3; ;2; ;2; ; ; ; ;9;2;1;05;05;1318,01633279716
1139660;1;1;1;80;1;1;1;3; ;3; ;2; ; ; ; ;9;2;1;05;05;1062,53698218998
1139660;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;05;05;1062,53698218998
1139661;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;05;05;929,235870968107
1139662;1;4;1;80;1;1;1;2; ;2; ;2; ; ; ; ;11;2;1;05;05;1068,83917237059
1139665;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;1280,09251166807
1139665;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;1280,09251166807
1139667;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;936,109103757787
1139670;1;1;1;80;1;1;4;5; ;3; ;2; ; ;4; ;11;1;1;05;05;955,48363183131
1139676;1;5;1;80;1;1;3;3; ;2; ;2; ; ; ; ;2;2;1;15;15;54,1150750690029
1139677;1;1;1;80;1;1;4;1; ;2; ;2; ; ; ; ;8;2;1;15;15;91,0938833414701
1139678;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;91,0050514893522
1139679;1;1;1;80;1;1;2;3; ;2; ;2; ; ; ; ;9;2;1;15;15;48,0951477551308
1139679;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;48,0951477551308
1139679;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;48,0951477551308
1139680;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;75,8275350029139
1139680;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;75,8275350029139
1139682;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;76,037350317577
1139683;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;75,8275350029139
1139683;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;75,8275350029139
1139684;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;75,8275350029139
1139685;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;8;2;1;15;15;134,216590962457
1139686;1;2;1;80;1;1;1;3; ;2; ;2; ; ; ; ;9;2;1;15;15;109,539095970227
1139686;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;109,539095970227
1139686;2;1;2;80;1;1;2;4; ;2; ;2; ; ; ; ;4;2;1;15;15;109,539095970227
1139686;3;2;3;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;109,539095970227
1139687;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;83,7722544019769
