DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;fex_c_2011
1139652;1;2;1;70;05;4;48;1; ;2;28;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;97;18;1;1;1810;05;986,117252584958
1139653;1;4;1;70;05;20;72;1; ;2;22;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;92;95;45;1;2;4559;05;958,13309721959
1139655;1;1;1;70;05;8;48;4; ;2;8;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;93;45;1;1;4552;05;1377,82534680602
1139655;1;3;1;70;05;52;48;1; ;2;52;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;79;18;1;2;1810;05;1377,82534680602
1139655;1;6;1;70;05;20;48;1; ;2;20;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;37;70;1;2;7020;05;1377,82534680602
1139656;1;2;1;70;05;12;24;1; ;2;52;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5219;05;1088,6199251293
1139659;1;3;1;70;05;24;48;1; ;2;24;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;39;95;36;1;2;3611;05;1318,01633279716
1139659;1;4;1;70;05;8;50;1; ;2;8;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;93;45;1;1;4552;05;1318,01633279716
1139662;1;5;1;70;05;12;48;4; ;2;12;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;1;6031;05;1068,83917237059
1139664;1;1;1;70;05;2;48;1; ;2;2;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;1;2100000;2;06;06;85;1;1;8512;05;973,274828065463
1139665;1;1;1;70;05;16;48;1; ;2;16;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;40;41;52;1;2;5211;05;1280,09251166807
1139665;1;2;1;70;05;48;48;4; ;2;19;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;43;43;70;1;2;7020;05;1280,09251166807
1139666;1;1;1;70;05;16;48;1; ;2;16;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;00;83;28;1;2;2899;05;1099,09867381875
1139666;1;2;1;70;05;4;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;05;1099,09867381875
1139670;1;3;1;70;05;52;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;2; ;05;955,48363183131
1139711;1;3;1;70;17;1;48;1; ;2;1;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;1;1200000;2;08;08;72;1;1;7220;17;161,813742890367
1139824;1;6;1;70;23;16;48;1; ;2;20;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;23;130,792442974676
1139825;1;2;1;70;23;24;48;1; ;2;24;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;44;66;1;2;6601;23;130,826014069622
1139907;1;6;1;70;50;104;32;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;50;174,864435945555
1139913;1;2;1;70;50;8;60;1; ;2;9;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;83;83;28;1;1;2811;50;161,160943789243
1139917;1;3;1;70;50;12;48;1; ;2;13;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;95;45;1;1;4521;50;168,781194541966
1139918;1;2;1;70;50;24;48;1; ;2;104;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;2;5530;50;196,834554613388
1139932;1;1;1;70;50;20;50;1; ;2;200;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;98;60;1;2;6031;50;183,117410343518
1139939;1;3;1;70;50;1;48;1; ;2;4;1; ;4;8; ; ; ; ; ; ; ; ; ;1; ;1;1000000;2;53;50;55;1;1;5513;50;192,566004177044
1139941;1;1;1;70;50;26;48;1; ;2;26;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;01;1;2;0121;50;191,613697370036
1139950;1;2;1;70;50;16;48;1; ;2;104;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;37;01;1;2;0112;50;172,167808747564
1139956;1;1;1;70;52;24;48;4; ;2;24;4; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;38;64;1;2;6421;52;135,418729176217
1139958;1;2;1;70;52;20;25;1; ;2;20;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;52;183,581670046869
1139959;1;1;1;70;52;54;48;1; ;2;208;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;58;75;1;2;7522;52;171,370202286879
1139973;1;1;1;70;52;16;48;1; ;2;16;1; ;4;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;55;1;2;5511;52;112,279180702458
1139978;1;2;1;70;52;4;40;1; ;2;10;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;32;74;1;1;7411;52;81,8062539926959
1139979;1;2;1;70;52;24;48;1; ;2;24;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;34;45;52;1;2;5211;52;179,967031445803
1139985;1;1;1;70;52;26;48;1; ;2;26;5; ;4;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;02;45;1;2;4530;52;123,410028775802
1139988;2;1;2;70;52;104;40;1; ;2;104;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;37;64;1;2;6412;52;161,877078908857
1139991;1;1;1;70;52;156;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;2; ;52;118,739510905134
1139992;1;1;1;70;52;8;40;1; ;2;26;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5530;52;170,18277733978
1139997;1;2;1;70;54;4;48;1; ;2;5;1; ;9;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;44;65;1;1;6512;54;334,25213635579
1140011;1;3;1;70;54;2;20;1; ;2;2;1; ;2;9;CARTA DE DEZPLAZADOS; ; ; ; ; ; ; ; ;1; ;1;70000;2;95;95;45;1;1;4521;54;372,089747881179
1140017;2;1;2;70;54;10;48;1; ;2;10;1; ;8;6; ; ; ; ; ; ; ; ; ;1; ;1;130000;2;98;71;10;1;1;1010;54;255,683539917394
1140026;1;3;1;70;54;16;48;1; ;2;20;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;54;349,909230247858
