DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;AREA;DPTO;ORDEN;fex_c_2011
1139711;1;5;3;1;1;1;1;1;3;2; ;300000;70000000;300000; ;1;1;1;1;1;1;1;2;2;1;2;2;1;2;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;4;2;1;01;17;17;1;161,813742890367
1139712;1;5;3;1;1;1;1;1;3;1; ; ;70000000;300000; ;1;2;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;4;2;1;01;17;17;1;158,888799363971
1139713;1;4;3;1;1;1;1;1;3;1; ; ;10000000;600000; ;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;4;2;1;01;17;17;1;184,694652160945
1139819;1;6;4;1;1;1;1;1;3;3; ; ; ; ;750000;1;2;1;2;2;1;2;2;1;1;2;2;1;2;1;1;1;1;1;2;2;1;1;1;4;1;1;1;1;1;3;3;1;01;23;23;1;157,078865353657
1139820;1;5;4;1;1;1;1;1;3;1; ; ;80000000;400000; ;1;2;1;2;1;2;2;2;1;1;1;2;2;2;2;1;1;1;1;1;2;1;1;1;4;1;1;1;1;1;3;3;1;01;23;23;1;132,747677034229
1139821;1;5;2;1;1;1;1;1;3;1; ; ;60000000;700000; ;1;2;1;2;2;1;2;2;1;1;1;2;1;2;2;2;1;1;1;2;2;1;1;1;4;1;1;1;1;1;3;3;1;01;23;23;1;134,332735086949
1139824;1;5;3;1;1;1;1;1;3;1; ; ;80000000;500000; ;2;2;1;1;1;1;2;2;1;1;1;2;1;2;2;1;1;1;1;2;2;1;1;1;4;1;1;1;1;1;3;3;1;01;23;23;1;130,792442974676
1139825;1;4;2;1;1;1;1;1;3;1; ; ;50000000;500000; ;1;2;1;1;1;2;2;2;1;1;1;2;2;2;2;1;1;1;1;2;2;1;1;1;4;1;1;1;1;1;3;3;1;01;23;23;1;130,826014069622
1139907;1;3;2;1;1;1;1;1;3;1; ; ;25000000;250000; ;1;2;1;1;2;2;2;2;2;1;2;2;2;1;2;2;1;1;1;2;2;1;1;1;4;1;1;1;1;1;2;3;2;01;50;50;1;174,864435945555
1139908;1;2;2;1;1;1;1;1;3;3; ; ; ; ;300000;1;2;1;2;2;2;2;2;2;1;2;1;2;2;2;1;1;1;1;2;2;1;1;1;4;1;1;1;1;1;3;3;2;01;50;50;1;200,415120739338
1139910;1;2;1;1;1;1;1;1;3;3; ; ; ; ;240000;2;2;1;1;1;1;2;2;1;2;1;1;1;2;2;1;1;1;1;2;2;1;2;1;2;1;1;1;1;1;3;3;2;01;50;50;1;197,176097002759
1139912;1;4;2;1;1;1;10;1;3;3; ; ; ; ;742000;1;2;1;1;2;1;2;2;2;2;1;2;2;2;1;1;1;1;1;2;2;1;1;1;4;1;1;1;1;1;3;3;2;01;50;50;1;178,283709435558
1139913;1;7;4;1;1;1;1;1;3;1; ; ;60000000;450000; ;2;2;1;1;2;2;2;2;1;1;2;2;2;2;2;2;1;1;1;2;2;1;1;1;4;1;1;1;1;1;2;3;2;01;50;50;1;161,160943789243
1139914;1;3;2;1;1;1;1;1;3;3; ; ; ; ;200000;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;1;2;1;1;1;1;1;2;3;1;01;50;50;1;196,269404141772
1139915;1;2;1;1;1;1;1;1;3;1; ; ;98;98; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;1;4;1;1;1;1;1;2;3;2;01;50;50;1;163,857823907221
1139916;1;4;3;1;1;1;1;1;4;3; ; ; ; ;500000;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;1;1;2;1;2;1;1;1;3;3;2;01;50;50;1;162,24344218953
1139917;1;3;2;1;1;1;1;1;3;1; ; ;100000000;450000; ;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;1;1;1;2;2;1;1;1;2;1;1;1;1;1;2;3;2;01;50;50;1;168,781194541966
1139918;1;2;1;1;1;1;1;1;3;3; ; ; ; ;150000;2;2;1;1;1;2;2;2;2;1;2;1;2;2;2;2;1;1;1;2;2;1;2;1;4;1;1;1;1;1;2;3;2;01;50;50;1;196,834554613388
1139920;1;2;1;1;1;1;1;1;3;4; ; ; ;150000; ;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;1;4;1;1;1;1;1;2;3;2;01;50;50;1;169,799071825386
1139924;1;4;3;1;1;1;1;1;3;3; ; ; ; ;300000;2;2;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;2;2;1;1;1;4;1;1;1;1;1;2;3;2;01;50;50;1;185,107298980255
1139926;1;4;3;1;1;1;1;1;3;1; ; ;40000000;300000; ;1;2;1;1;1;1;2;2;1;1;2;2;2;2;2;2;1;1;1;2;2;1;1;1;4;1;1;1;1;1;3;3;2;01;50;50;1;168,029449904499
1139927;1;4;2;1;1;1;1;1;3;2; ;810000;120000000;700000; ;1;2;1;2;1;1;2;2;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;4;1;1;1;1;1;3;3;2;01;50;50;1;208,524251430464
1139928;1;4;2;1;1;1;1;1;3;3; ; ; ; ;550000;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;2;1;2;1;4;1;1;1;1;1;3;3;2;01;50;50;1;191,613697370036
1139929;1;3;2;1;1;1;1;1;3;3; ; ; ; ;450000;2;2;1;1;2;1;2;2;1;2;2;2;1;2;2;2;2;2;1;2;2;1;2;1;4;1;1;1;1;1;3;3;2;01;50;50;1;198,046383817159
1139930;1;1;1;1;1;1;1;6; ;3; ; ; ; ;150000;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;1;1;1;1;2;1;1;3;1;4;1;2;1;1;1;3;3;2;01;50;50;1;182,738562058077
1139931;1;1;1;1;1;1;1;6; ;3; ; ; ; ;120000;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;4;1;2;1;1;1;3;3;2;01;50;50;1;182,738562058077
1139932;1;3;1;1;1;1;1;1;3;1; ; ;50000000;300000; ;1;2;1;2;1;2;2;2;1;2;2;2;2;2;2;1;1;1;1;2;2;1;2;1;4;1;1;1;1;1;2;3;2;01;50;50;1;183,117410343518
1139933;1;3;1;1;1;1;1;1;3;1; ; ;40000000;350000; ;1;2;1;1;2;2;2;2;1;1;2;2;2;2;2;1;1;1;1;2;2;1;1;1;4;1;1;1;1;1;3;3;2;01;50;50;1;144,977085756366
1139933;2;1;1;1;1;1;1;1;3;3; ; ; ; ;120000;2;2;1;2;2;2;2;2;1;1;2;2;2;2;2;1;1;1;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;50;50;1;144,977085756366
1139934;1;4;2;1;1;1;1;1;3;1; ; ;40000000;400000; ;2;2;1;1;2;1;2;2;1;1;1;1;1;2;2;1;1;1;1;2;2;1;1;1;4;1;1;1;1;1;2;3;2;01;50;50;1;196,610946531143
1139935;1;4;3;1;1;1;1;1;3;3; ; ; ; ;250000;2;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;1;1;1;1;2;1;2;1;4;1;1;1;1;1;2;3;2;01;50;50;1;159,414620701048
1139936;1;4;1;1;1;1;1;1;3;1; ; ;40000000;200000; ;1;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2;1;1;1;4;1;1;1;1;1;2;3;2;01;50;50;1;182,738562058077
1139937;1;4;2;1;1;1;1;1;3;1; ; ;70000000;350000; ;1;2;1;1;1;2;2;2;1;1;1;2;1;2;2;1;1;1;1;2;2;1;2;1;4;1;1;1;1;1;2;3;2;01;50;50;1;184,069717150526
1139938;1;1;1;1;1;1;1;1;4;5; ; ; ;150000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;5;1;1;2;1;1;1;1;3;2;01;50;50;1;169,799071825386
1139939;1;2;2;1;1;1;1;1;3;5; ; ; ;300000; ;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;1;1;2;1;1;1;1;1;2;3;2;01;50;50;1;192,566004177044
1139940;1;5;4;1;1;1;1;1;3;1; ; ;60000000;450000; ;1;2;1;1;1;1;2;2;1;2;1;2;2;2;2;1;1;1;1;1;2;1;1;1;4;1;1;1;1;1;3;3;2;01;50;50;1;173,685266026189
1139941;1;2;2;1;2;1;1;1;3;2; ;300000;40000000;200000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;3;1;4;1;1;1;1;1;3;3;2;01;50;50;1;191,613697370036
1139943;1;3;2;1;1;1;1;1;4;3; ; ; ; ;350000;2;2;1;2;1;2;2;2;1;1;1;2;2;2;2;2;1;1;1;2;2;1;2;1;4;1;2;1;1;1;3;3;2;01;50;50;1;183,349326475714
1139944;1;3;1;1;1;1;1;1;4;4; ; ; ;200000; ;1;2;1;2;2;2;1;2;1;2;2;2;2;2;2;2;1;1;1;2;2;1;1;1;4;1;2;1;1;1;2;3;2;01;50;50;1;169,799071825386
1139945;1;5;1;1;1;1;4;1;4;1; ; ;90000000;500000; ;2;2;1;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1;1;2;1;1;1;1;1;1;2;1;1;2;3;3; ;01;50;50;1;182,738562058077
1139946;1;3;1;1;1;1;1;1;3;3; ; ; ; ;250000;2;2;1;1;1;1;2;2;1;1;2;1;2;2;1;1;1;1;1;1;2;1;1;1;4;1;1;1;1;1;3;3;2;01;50;50;1;191,613697370036
1139948;1;1;1;1;1;1;1;6; ;3; ; ; ; ;170000;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;3;2;01;50;50;1;181,135829756731
1139950;1;4;2;1;1;1;1;1;3;3; ; ; ; ;300000;2;2;1;1;2;2;2;2;1;1;2;1;2;2;2;2;1;1;1;2;2;1;2;1;4;1;1;1;1;1;2;3;2;01;50;50;1;172,167808747564
1139952;1;1;1;1;1;1;4;1;3;5; ; ; ;150000; ;1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;1;1;4;1;1;1;1;2;1;3; ;01;50;50;1;165,194236726996
1139953;1;3;2;1;1;1;1;3;3;3; ; ; ; ;400000;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;1;1;4;1;1;1;1;1;3;3;2;01;50;50;1;188,33826758687
1139954;1;2;1;1;1;1;1;1;4;3; ; ; ; ;200000;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;1;4;1;2;1;1;1;2;3;1;01;52;52;1;128,848459821829
1139955;1;3;1;1;2;1;1;1;4;1; ; ;50000000;300000; ;1;2;1;2;1;2;2;2;2;1;1;2;2;2;2;2;1;1;1;2;2;1;4;1;4;1;2;1;1;1;2;3;1;01;52;52;1;157,959321280406
1139956;1;2;2;1;2;1;1;1;4;3; ; ; ; ;200000;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;4;1;4;1;2;1;1;1;2;3;1;01;52;52;1;135,418729176217
1139957;1;2;1;1;2;1;1;1;4;1; ; ;40000000;100000; ;1;1;1;2;2;2;2;2;2;1;1;2;2;2;2;2;1;1;1;2;2;1;4;1;4;1;2;1;1;1;2;3;1;01;52;52;1;157,959321280406
1139958;1;3;2;1;1;1;1;1;4;4; ; ; ;200000; ;2;1;1;1;1;1;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;4;1;4;1;2;1;1;1;2;3;1;01;52;52;1;183,581670046869
1139959;1;4;2;1;2;1;1;1;4;3; ; ; ; ;250000;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;4;1;2;1;2;1;1;1;2;3;1;01;52;52;1;171,370202286879
1139960;1;1;1;1;2;1;1;6; ;4; ; ; ;180000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;4;1;2;1;2;1;1;1;2;3;1;01;52;52;1;163,502568833679
1139961;1;3;2;1;1;1;1;1;4;1; ; ;25000000;150000; ;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;1;4;1;2;1;1;1;2;3;1;01;52;52;1;112,064425043499
1139962;1;1;1;1;1;1;1;1;4;3; ; ; ; ;130000;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;1;2;1;4;1;2;1;1;1;1;3;1;01;52;52;1;183,691609198581
1139964;1;5;3;1;1;1;1;1;4;1; ; ;7000000;400000; ;1;1;1;1;1;1;2;2;2;1;2;1;2;2;1;1;1;1;1;1;2;1;1;1;4;1;2;1;1;1;1;3;1;01;52;52;1;125,095024600563
1139965;1;3;1;1;1;1;1;1;4;1; ; ;220000;300000; ;1;2;1;2;1;2;2;2;2;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;4;1;2;1;1;1;1;3;1;01;52;52;1;180,181787104762
1139966;1;4;2;1;1;1;1;1;4;3; ; ; ; ;250000;2;2;1;1;2;2;2;2;2;1;2;1;2;2;2;2;1;1;1;1;2;1;1;1;4;1;2;1;1;1;2;3;1;01;52;52;1;171,370202286879
1139967;1;4;2;1;1;1;1;1;4;2; ;365000;50000000;250000; ;1;1;1;1;1;1;2;2;2;1;1;2;2;2;2;2;1;1;1;2;2;1;1;1;4;1;2;1;1;1;2;2;1;01;52;52;1;183,691609198581
1139969;1;6;2;1;1;1;1;1;4;3; ; ; ; ;600000;1;1;1;1;1;1;1;2;1;1;1;2;2;2;1;1;1;1;1;1;1;1;2;1;4;1;2;1;1;1;5;3;1;01;52;52;1;129,98029813019
1139972;1;6;2;1;1;1;1;1;4;1; ; ;99;99; ;1;1;1;1;1;1;1;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;6;1;2;1;1;1;5;3;1;01;52;52;1;135,418729176217
1139973;1;5;1;1;1;1;1;1;4;1; ; ;100000000;600000; ;1;1;1;1;1;1;2;2;2;1;2;2;2;1;1;1;1;1;1;1;1;1;2;1;4;1;2;1;1;1;5;3;1;01;52;52;1;112,279180702458
1139974;1;1;1;1;1;1;1;1;4;3; ; ; ; ;220000;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;1;1;4;1;4;1;2;1;1;1;5;3;1;01;52;52;1;180,181787104762
1139976;1;5;2;1;1;1;1;1;4;1; ; ;98;98; ;1;1;1;2;2;1;2;2;2;1;2;2;2;2;1;2;1;1;1;1;1;1;2;1;4;1;2;1;1;1;5;3;1;01;52;52;1;163,392629681967
1139977;1;5;1;1;1;1;1;1;4;1; ; ;98;600000; ;2;1;1;1;1;1;2;2;2;1;2;2;1;2;1;1;1;1;1;1;2;1;2;1;4;1;2;1;1;1;5;3;1;01;52;52;1;163,397752326432
1139978;1;7;5;1;1;1;1;1;4;1; ; ;50000000;400000; ;1;2;1;2;1;1;2;2;2;1;2;2;2;2;2;2;1;1;1;1;2;1;1;1;4;1;2;1;1;1;2;3;1;01;52;52;1;81,8062539926959
1139979;1;4;3;1;1;1;1;1;4;1; ; ;150000000;500000; ;1;1;1;1;2;2;2;2;2;1;1;2;2;1;2;2;2;1;1;2;2;1;1;1;4;1;2;1;1;1;2;3;1;01;52;52;1;179,967031445803
1139980;1;1;1;1;2;1;1;6; ;3; ; ; ; ;130000;2;2;1;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;4;1;4;1;2;1;1;1;2;3;1;01;52;52;1;170,18277733978
1139981;1;1;1;1;2;1;1;6; ;3; ; ; ; ;120000;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;4;1;4;1;2;1;1;1;2;3;1;01;52;52;1;170,18277733978
1139982;1;6;1;1;1;1;1;1;4;3; ; ; ; ;850000;1;1;1;1;1;1;2;2;2;1;2;2;1;1;2;1;1;1;1;2;2;1;1;1;6;1;2;1;1;1;5;3;1;01;52;52;1;157,959321280406
1139983;1;4;2;1;1;1;1;1;4;3; ; ; ; ;600000;1;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;1;4;1;2;1;1;1;2;3;1;01;52;52;1;112,169241550746
1139984;1;7;3;1;1;1;1;1;4;1; ; ;150000000;500000; ;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;2;1;1;1;2;2;1;1;1;4;1;2;1;1;1;4;3;1;01;52;52;1;157,744565621447
1139985;1;4;1;1;1;1;1;1;4;1; ; ;120000000;500000; ;1;1;1;2;1;1;1;2;2;1;1;2;2;2;1;1;1;1;1;1;2;1;1;1;4;1;2;1;1;1;4;3;1;01;52;52;1;123,410028775802
1139986;1;5;1;1;1;1;1;1;4;1; ; ;98;1500000; ;1;1;1;2;1;2;1;2;2;1;2;2;1;2;2;1;1;1;1;1;1;1;1;1;6;1;2;1;1;1;5;3;1;01;52;52;1;157,959321280406
1139987;1;4;3;1;1;1;1;1;4;1; ; ;100000000;400000; ;2;1;1;2;2;2;2;2;2;1;1;2;2;2;2;2;1;1;1;2;2;1;1;1;4;1;2;1;1;1;2;3;1;01;52;52;1;158,200806109615
1139988;1;4;3;1;1;1;1;1;4;1; ; ;98;98; ;1;2;1;2;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;2;1;4;1;2;1;1;1;2;3;1;01;52;52;1;161,877078908857
1139988;2;1;1;1;2;1;1;6; ;3; ; ; ; ;130000;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;52;52;1;161,877078908857
1139988;3;1;1;1;2;1;1;6; ;3; ; ; ; ;120000;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;3; ; ; ; ; ; ; ; ; ; ;1;01;52;52;1;161,877078908857
1139988;4;1;1;1;1;1;1;6; ;3; ; ; ; ;140000;2;2;1;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;4; ; ; ; ; ; ; ; ; ; ;1;01;52;52;1;161,877078908857
1139989;1;1;1;1;1;1;1;6; ;3; ; ; ; ;130000;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;1;4;1;2;1;1;1;2;3;1;01;52;52;1;180,181787104762
1139990;1;1;1;1;2;1;1;6; ;3; ; ; ; ;170000;2;2;1;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;4;1;4;1;2;1;1;1;2;3;1;01;52;52;1;170,18277733978
1139991;1;6;3;1;1;1;1;1;4;1; ; ;100000000;500000; ;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;1;1;1;4;1;2;1;1;1;5;3;1;01;52;52;1;118,739510905134
1139992;1;2;1;1;1;1;1;1;4;3; ; ; ; ;250000;2;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;1;4;1;2;1;1;1;3;3;1;01;52;52;1;170,18277733978
1139995;1;4;1;1;1;1;1;1;4;1; ; ;98;600000; ;1;2;1;1;1;1;2;1;1;1;2;2;1;1;1;1;1;1;1;2;1;1;2;1;5;1;2;1;1;1;4;3;2;01;54;54;1;437,997899514766
