DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
1145934;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;25;460,005671100325
1145935;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;11;2;1;25;321,533588727441
1145960;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;25;523,341228967768
1145962;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;25;897,728731779326
1145962;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;25;897,728731779326
1145962;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;25;897,728731779326
1145963;1;2;1;80;2;1;4;7; ;2; ;2; ; ; ; ;9;2;1;25;941,097633458678
1145963;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;25;941,097633458678
1145964;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;25;856,109862709182
1145965;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;25;321,533588727441
1145967;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;25;1077,38283355121
1145967;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;25;1077,38283355121
1145968;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;25;1221,59435474168
1145985;1;2;1;80;2;1;3;3; ;2; ;2; ; ; ; ;9;2;1;25;1048,98975778876
1145987;1;1;1;80;2;2; ; ; ;3; ;2; ;2; ;.; ; ;1;25;343,687127195885
1145990;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;25;453,680893069784
1145990;1;7;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;25;453,680893069784
1145991;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;25;894,959847873273
1145992;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;25;425,034439741983
1145993;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;25;321,533588727441
1145993;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;25;321,533588727441
1146553;1;2;1;80;2;1;1;8; ;2; ;2; ; ; ; ;4;2;1;20;1004,69520322296
1146555;1;2;1;80;2;1;3;3; ;2; ;2; ; ; ; ;9;2;1;20;987,059618223468
