DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011
4674756;1;3;1;70;2;24;48;1; ;2;30;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;780000;2; ;32;32;80;1;2;07;8042;54;370,155324036519
4674823;1;3;1;70;2;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;700000; ; ;45; ; ;1;1;07; ;66;1026,80986211136
4674828;1;4;1;70;2;24;48;1; ;2;24;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;32;39;93;1;2;07;9303;66;1108,63076546454
4674962;1;3;1;70;2;24;48;8; ;2;24;8; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;62;62;01;1;2;07;0111;66;3178,36133032706
4674987;1;2;1;70;2;26;40;1; ;2;62;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;39;75;1;2;07;7512;76;1123,78862277716
4674996;1;1;1;70;2;1;45;1; ;2;16;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;480000;2; ;53;53;55;1;1;07;5521;76;1218,71267479836
4674999;1;2;1;70;2;25;48;4; ;2;38;4; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;79;45;64;1;2;07;6421;76;1376,60771277828
4675001;1;7;1;70;2;2;35;1; ;2;5;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;99;97;63;1;1;07;6310;76;1813,11255445839
4675025;1;1;1;70;2;8;48;1; ;2;8;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;58;58;74;1;1;07;7492;76;4462,02200671358
4675027;1;4;1;70;2;14;48;1; ;2;24;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;77;95;45;1;2;07;4521;76;7313,38321516216
4675033;1;2;1;70;2;156;48;1; ;2;208;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;30000;781242;2; ;55;53;55;1;2;07;5521;76;6342,63562090172
4675033;1;3;1;70;2;2;42;8; ;2;102;8; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000; ; ;62;62;01;1;1;07;0119;76;6342,63562090172
4675035;1;3;1;70;2;12;48;1; ;2;28;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;850000;2; ;33;33;51;1;1;07;5125;76;2964,14740639185
4675036;1;2;1;70;2;3;48;3; ;2;208;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;54;53;55;1;1;07;5521;76;4476,84692794123
4675057;1;1;1;70;2;2;48;1; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;950000;2; ;98;62;01;1;1;07;0140;76;4391,84882622199
4675112;1;5;1;70;2;16;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;03; ; ;1;2;07; ;19;854,60293473034
4675113;1;2;1;70;2;4;40;3; ;2;12;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;54;54;95;1;1;07;9500;19;1428,47770005065
4675115;1;3;1;70;2;24;40;1; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;782000;2; ;84;62;01;1;2;07;0140;19;1742,07231203815
4675115;1;4;1;70;2;52;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;782000; ; ;45; ; ;1;2;07; ;19;1742,07231203815
4675117;1;1;1;70;2;8;40;3; ;2;8;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;54;54;95;1;1;07;9500;19;1164,88253437026
4675117;1;3;1;70;2;4;40;1; ;2;4;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1100000;900000;2; ;95;95;45;1;1;07;4552;19;1164,88253437026
4675122;1;3;1;70;2;28;40;1; ;2;29;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;97;97;15;1;2;07;1581;19;1541,70171685265
4675126;1;2;1;70;2;25;40;3; ;2;24;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;54;54;51;1;2;07;5125;19;1192,62236295882
4675127;1;1;1;70;2;8;40;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;61;61;01;1;1;07;0140;19;1794,05947449882
4675127;2;1;2;70;2;6;40;4; ;2;8;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;54;54;74;1;1;07;7493;19;1794,05947449882
4675138;1;2;1;70;2;102;48;1; ;2;102;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;30000000;2; ;18;18;92;1;2;07;9241;19;1461,05576343947
4675143;2;1;2;70;2;3;48;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;98;2; ;71;71;14;1;1;07;1411;19;1412,93839574977
4675151;1;1;1;70;2;208;40;1; ;2;208;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;97;54;95;1;2;07;9500;19;1954,39981929904
4675179;1;1;1;70;2;52;40;1; ;2;200;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;55;54;95;1;2;07;9500;19;1389,41644503721
4675180;1;1;1;70;2;12;40;4; ;2;252;4; ;1;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;500000;2; ;41;13;85;1;1;07;8532;19;1865,69879290108
4675181;1;2;1;70;2;24;48;4; ;2;28;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;95;95;45;1;2;07;4552;19;1637,58836912702
4675183;1;4;1;70;2;20;48;1; ;2;20;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;782000;2; ;39;39;15;1;2;07;1589;19;2078,65253620461
4675184;1;1;1;70;2;72;48;1; ;2;72;1; ;8;2;3; ; ;1; ; ; ; ;1; ; ; ;2; ;2000000;2; ;39;39;85;1;2;07;8532;19;2199,59964825579
4675185;1;2;1;70;2;8;40;1; ;2;8;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;97;53;55;1;1;07;5529;19;1826,29968103365
4675187;1;6;1;70;2;18;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;782000; ; ;07; ; ;1;2;07; ;19;2066,99325292574
4675189;1;6;1;70;2;52;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;780000; ; ;97; ; ;1;2;07; ;19;1746,57268998442
4675193;1;7;1;70;2;12;40;3; ;2;12;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;200000;2; ;54;54;95;1;1;07;9500;19;1937,62649049199
4675200;1;2;1;70;2;72;48;1; ;2;52;1; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;782000;2; ;33;53;80;1;2;07;8011;19;1473,6389115575
4675204;1;2;1;70;2;104;40;1; ;2;152;4; ;1;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;781242;2; ;55;54;74;1;2;07;7493;19;1733,98954186639
4675211;1;3;1;70;2;36;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;03; ; ;1;2;07; ;19;1473,6389115575
4676147;1;3;1;70;2;4;48;1; ;2;5;1; ;9;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;781000;2; ;03;03;74;1;1;07;7414;20;1954,41680978267
4676207;1;4;1;70;2;52;48;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;400000; ; ;54; ; ;1;2;07; ;20;618,558581489419
4676209;1;5;1;70;2;4;44;8; ;2;8;4; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;750000;2; ;62;62;01;1;1;07;0121;20;1327,4531919419
4676272;1;4;1;70;2;9;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;45; ; ;1;1;07; ;23;4401,25679396437
4676272;1;6;1;70;2;15;48;1; ;2;15;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;58;58;52;1;2;07;5233;23;4401,25679396437
4676275;1;3;1;70;2;36;40;3; ;2;52;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;250000;2; ;54;54;95;1;2;07;9500;23;3255,11540838557
4676276;1;4;1;70;2;22;48;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;500000; ; ;54; ; ;1;2;07; ;23;3194,48604530922
4676349;1;3;1;70;2;8;45;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;700000; ; ;39; ; ;1;1;07; ;27;585,910058903771
4676510;1;2;1;70;2;26;40;1; ;2;26;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;53;54;95;1;2;07;9500;52;1545,71683525793
4676512;1;7;1;70;2;12;40;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;787000; ; ;54; ; ;1;1;07; ;52;1489,79861918184
4676515;1;2;1;70;2;20;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;39; ; ;1;2;07; ;52;1800,42212064233
4676599;1;3;1;70;2;25;44;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;500000; ; ;45; ; ;1;2;07; ;52;1846,19136972559
4676633;1;4;1;70;2;1;25;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;200000; ; ;54; ; ;1;1;07; ;52;2807,81722323026
4676638;1;1;1;70;2;2;44;4; ;2;2;5; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;1100000;2; ;95;95;45;1;1;07;4552;52;3233,14510577806
4676648;1;1;1;70;2;4;50;8; ;2;4;8; ;2;2;1; ; ; ;1; ; ; ; ; ; ; ;1;400000;400000;1;4;62;62;01;1;1;07;0111;63;3232,57472469666
4676661;1;2;1;70;2;208;48;1; ;2;108;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;53;55;95;1;2;07;9500;63;1433,44484921012
4676661;1;3;1;70;2;8;48;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;97;97;63;1;1;07;6310;63;1433,44484921012
4676662;1;1;1;70;2;4;45;8; ;2;4;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;260000;520000;2; ;62;62;01;1;1;07;0117;63;1849,44316277331
4676673;1;4;1;70;2;8;48;8; ;2;8;8; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;62;62;01;1;1;07;0117;63;1274,56483628336
4676686;1;3;1;70;2;4;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;150000;781200;2; ;39;03;15;1;1;07;1552;63;1145,03145223107
4676687;1;4;1;70;2;10;48;1; ;2;10;1; ;9;2;1; ; ; ;1; ; ; ; ; ; ; ;2; ;781200;1;1;38;39;36;1;1;07;3611;63;1027,83574213418
4676698;1;2;1;70;2;6;48;1; ;2;8;2; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;53;55;85;1;1;07;8511;63;1294,81494075396
4676699;1;3;1;70;2;4;20;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;300000; ; ;59; ; ;1;1;07; ;63;1242,63330478584
4676797;1;3;1;70;2;5;44;8; ;2;5;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;400000;2; ;62;62;01;1;1;07;0140;70;1376,30956728421
4676797;1;4;1;70;2;2;40;1; ;2;36;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;45;62;01;1;1;07;0140;70;1376,30956728421
4676797;1;5;1;70;2;8;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;500000; ; ;45; ; ;1;1;07; ;70;1376,30956728421
4676820;1;4;1;70;2;10;45;1; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;61;01;1;1;07;0117;70;1210,23529556197
4676914;1;3;1;70;2;4;48;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;98;98;60;1;1;07;6021;05;2636,8325387866
4676915;1;1;1;70;2;4;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;900000;98;2; ;32;32;75;1;1;07;7512;05;3726,04396153708
4676925;1;2;1;70;2;4;20;1; ;2;18;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;53;53;55;1;1;07;5521;05;5284,46337047253
4676934;1;1;1;70;2;8;48;8; ;2;8;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;62;62;01;1;1;07;0117;05;1871,91783661587
4677050;1;1;1;70;2;4;40;3; ;2;4;3; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;54;54;95;1;1;07;9500;15;2758,8328588364
4677054;1;2;1;70;2;3;54;1; ;2;3;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;55;1;1;07;5530;15;3465,28078739565
4677230;1;3;1;70;2;8;48;4; ;2;8;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;61;61;01;1;1;07;0140;18;451,845710090233
4677324;1;3;1;70;2;2;40;1; ;2;12;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;45;45;52;1;1;07;5244;18;682,830562461276
4678393;1;7;1;70;2;16;48;3; ;2;24;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;54;54;95;1;2;07;9500;25;4020,62324193715
4678411;1;1;1;70;2;26;48;4; ;2;26;8; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;45;62;01;1;2;07;0121;25;5060,58373411746
4678412;1;3;1;70;2;24;48;1; ;2;24;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;59;59;85;1;2;07;8519;25;2680,77199659029
4678413;1;2;1;70;2;4;48;1; ;2;4;1; ;5;2;7; ; ; ; ;1; ; ; ; ; ; ;2; ;781242;2; ;62;62;01;1;1;07;0112;25;3808,89793593741
4678415;1;2;1;70;2;2;48;1; ;2;2;8; ;3;2;3; ; ; ; ; ; ; ; ; ; ;1;1;300000;781242;2; ;62;62;01;1;1;07;0121;25;5365,28891525199
4678421;1;3;1;70;2;4;48;1; ;2;20;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;62;62;01;1;1;07;0112;25;5023,69083017352
4678590;1;2;1;70;2;4;20;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;97; ; ;1;1;07; ;44;2474,23432595767
4678617;1;3;1;70;2;32;40;2; ;2;60;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;750000;2; ;59;54;95;1;2;07;9500;50;1634,69295295899
4678676;1;1;1;70;2;60;48;1; ;2;60;1; ;5;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;85;85;45;1;2;07;4542;50;1276,7473132171
4678682;1;1;1;70;2;6;50;8; ;2;5;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;62;62;01;1;1;07;0121;50;1252,58961600321
4678695;1;2;1;70;2;4;45;3; ;2;8;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;450000;2; ;54;54;95;1;1;07;9500;50;1053,17073164865
4678700;1;4;1;70;2;36;45;1; ;2;96;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781200;2; ;58;53;55;1;2;07;5521;50;1229,35885740864
4678700;1;5;1;70;2;24;45;8; ;2;24;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;62;87;28;1;2;07;2892;50;1229,35885740864
4678739;1;3;1;70;2;4;45;5; ;2;8;5; ;2;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;95;95;45;1;1;07;4521;50;1065,66950446439
4678760;1;1;1;70;2;108;45;3; ;2;208;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;54;54;95;1;2;07;9500;50;871,273560533678
4678763;1;1;1;70;2;8;40;3; ;2;24;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;54;54;95;1;1;07;9500;50;1808,93202139919
4678764;1;1;1;70;2;12;60;8; ;2;17;8; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;720000;2; ;62;62;01;1;1;07;0115;50;1492,29499278901
4678768;1;4;1;70;2;48;48;1; ;2;4;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;780000;2; ;59;62;01;1;2;07;0121;50;1401,11655378066
4678771;1;1;1;70;2;24;48;8; ;2;24;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;62;62;01;1;2;07;0115;50;1252,58961600321
4678789;1;3;1;70;2;16;48;1; ;2;16;8; ;2;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;03;62;01;1;2;07;0121;50;1375,34439229899
4678790;1;3;1;70;2;2;48;1; ;2;30;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;99;2; ;58;58;55;1;1;07;5513;50;1718,97742657091
4678792;1;2;1;70;2;52;48;1; ;2;18;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;55;77;51;1;2;07;5125;50;2900,20501247209
