DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;fex_c_2011
2475311;1;2;1;1;2;1;1;1;4;1; ; ;18000000;60000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;1;1;1;1;2;1;2;1;1;1;1;2;1;01;2;07;63;1;2085,67406164714
2475311;2;1;1;1;2;1;1;1;4;3; ; ; ; ;30000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;2;2; ;1;2; ; ; ; ; ; ; ; ; ; ;1;01;2;07;63;1;2085,67406164714
2478874;1;4;2;1;1;1;1;1;4;3; ; ; ; ;100000;2;2;1;1;2;2;2;2;2;1;1;2;2;2;2;2;1;1;1;1;2;1;1;2;2; ;6;1;1;3;2;1;2;1;1;1;1;2;1;01;2;07;41;1;904,245830098334
2478875;1;5;1;1;1;1;1;1;4;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;1;1;1;1;2;1;2;1;1;1;2;2;1;01;2;07;41;1;1260,19755527165
2478876;1;4;2;1;1;1;1;1;5;1; ; ;7000000;120000; ;2;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;3;1;1;3;2;1;2;1;1;1;1;2;1;01;2;07;41;1;727,221981168336
2478877;1;8;1;1;1;1;1;1;4;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;2;1;1;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;2;1;1;3;2;1;2;1;1;1;2;2;1;01;2;07;41;1;754,006591013696
2478879;1;5;1;1;1;1;1;1;4;1; ; ;15000000;200000; ;2;2;1;2;1;1;2;2;2;1;1;2;2;1;2;1;1;2;1;2;2;1;2;2;2; ;2;1;1;1;2;1;2;1;1;1;1;2;2;01;2;07;41;1;495,27206824048
2478880;1;4;3;1;1;1;1;1;4;3; ; ; ; ;130000;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;1;1;1;2;2;1;1;2;2; ;7;1;1;4;2;1;2;1;1;1;1;2;2;01;2;07;41;1;653,488602137892
2478881;1;4;3;1;1;1;1;1;4;3; ; ; ; ;130000;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;2;2;2; ;5;1;1;1;2;1;2;1;1;1;1;2;2;01;2;07;41;1;585,582877941811
2479009;1;4;1;2;1;4;1;1;5;4; ; ; ;100000; ;2;2;1;1;1;2;2;2;2;2;1;1;2;2;2;1;1;1;1;2;2;1;4;2;2; ;4;1;1;1;2;1;2;1;2;1;1; ;1;01;2;07;63;1;655,37600936883
2479010;1;2;1;3;1;4;1;1;5;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;2;1;1;1;2;1;2;2;2;1;1; ;1;01;2;07;63;1;2085,67406164714
2479011;1;1;1;2;1;4;1;1;5;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;4;1;1;1;2;1;2;2;2;1;1; ;1;01;2;07;63;1;1619,81678526886
2479012;1;4;2;3;1;4;2;1;5;1; ; ;25000000;150000; ;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;1;1;1;2;2;1;1;2;2; ;3;1;1;1;4;1;2;2;2;2;1; ; ;01;2;07;63;1;1158,06070155924
2479013;1;4;1;2;1;4;2;1;5;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;1;1;2;2;1;1;2;2; ;3;1;1;1;4;1;2;2;2;2;1; ; ;01;2;07;63;1;1373,79008785375
2479014;1;4;3;2;1;4;2;1;5;4; ; ; ;110000; ;2;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;1;1;1;2;2;1;3;2;2; ;7;1;1;1;2;1;2;2;2;2;1; ; ;01;2;07;63;1;1547,30258977781
2479015;1;2;1;2;1;5;2;1;5;4; ; ; ;1200000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;2;2;2; ;2;1;1;1;4;1;2;2;2;2;1; ; ;01;2;07;63;1;696,528134524796
2479016;1;5;3;2;1;4;2;1;4;1; ; ;35000000;120000; ;2;2;1;1;1;1;2;2;1;1;1;2;1;2;1;1;1;1;1;2;1;1;2;2;2; ;4;1;1;1;2;1;2;2;2;2;1; ; ;01;2;07;63;1;717,057740304954
2479017;1;4;3;2;1;1;1;1;4;4; ; ; ;300000; ;2;2;1;1;1;1;2;2;2;2;1;1;2;2;1;1;1;1;1;2;2;1;4;2;2; ;5;1;1;1;4;1;1;2;1;1;3;3;1;01;2;07;63;1;1645,33365729698
2479018;1;6;3;2;1;1;1;1;3;1; ; ;35000000;600000; ;2;2;1;2;1;1;2;2;1;1;1;1;2;2;2;1;1;1;1;1;2;1;3;2;2; ;4;1;1;1;4;1;1;2;1;1;3;2;1;01;2;07;63;1;1822,50831166075
2479019;1;4;3;2;1;1;1;1;3;4; ; ; ;400000; ;2;2;1;1;1;1;2;2;2;1;1;2;1;2;2;1;1;1;1;2;2;1;2;2;2; ;4;1;1;1;4;1;1;2;1;1;3;2;1;01;2;07;63;1;1699,99390695623
2479020;1;3;2;2;1;1;1;1;4;4; ; ; ;250000; ;2;2;1;1;1;1;2;2;2;2;1;1;2;2;1;2;1;1;1;2;1;1;2;2;2; ;4;1;1;1;2;1;2;2;1;1;3;2;1;01;2;07;63;1;717,057740304954
2479021;1;2;2;2;1;4;1;1;4;4; ; ; ;100000; ;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;1;2;2;2; ;4;1;1;1;2;1;2;2;2;1;1; ;1;01;2;07;63;1;1151,78406965296
2479022;1;2;2;2;1;4;1;1;4;4; ; ; ;150000; ;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;3;1;1;1;2;1;2;2;2;1;1; ;1;01;2;07;63;1;1331,40406594344
2479023;1;4;1;2;1;4;1;1;5;4; ; ; ;150000; ;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;2;2;2; ;4;1;1;1;4;1;2;2;2;1;1; ;1;01;2;07;63;1;1117,02216499482
2479024;1;6;2;2;1;1;1;1;4;4; ; ; ;800000; ;2;1;1;1;1;1;2;2;1;2;2;1;2;2;1;1;1;1;1;1;1;1;2;2;2; ;3;1;1;1;4;1;2;2;1;1;3;3;1;01;2;07;63;1;1072,66954317022
2479025;1;3;2;2;1;1;1;1;4;4; ; ; ;120000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;3;2;2; ;3;1;1;1;4;1;2;2;1;1;1;3;1;01;2;07;63;1;1456,25111403426
2479033;1;3;1;2;1;3;1;1;5;3; ; ; ; ;2300000;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;1;2;2; ;2;1;1;1;4;1;2;2;2;1;1; ;1;01;2;07;63;1;696,528134524796
2479034;1;2;1;2;1;4;1;1;4;4; ; ; ;100000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;5;1;1;1;4;1;2;2;2;1;1; ;1;01;2;07;63;1;1258,20230296317
2479035;1;1;1;3;1;3;1;1;5;4; ; ; ;70000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;1;2;2; ;6;1;1;1;2;1;2;2;2;1;1; ;1;01;2;07;63;1;1473,68679715367
