DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;AREA;fex_c_2011
2456780;1;2;1;1;1;1;1;1;4;4; ; ; ;200000; ;1;2;1;1;1;1;2;2;1;1;2;2;2;2;1;1;1;1;1;2;2;1;1;2;1;2;3;1;1;1;4;1;2;1;1;1;2;3;2;01;1;07;54;1;54;322,262917805257
2456781;1;1;1;3;2;1;2;2;4;5; ; ; ;50000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;2;1;3;3;1;4;3;1;1;2;2;1;2;1;3; ;01;1;07;54;1;54;367,956679826225
2466105;1;2;2;1;1;1;1;1;3;1; ; ;40000000;250000; ;1;2;1;1;1;1;2;2;1;1;1;1;1;1;2;1;1;1;2;2;2;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;07;05;1;05;1166,36390785456
2466106;1;4;2;1;1;1;1;1;3;1; ; ;35000000;250000; ;1;2;1;1;1;1;2;2;2;2;2;2;2;1;2;1;1;1;2;2;1;1;3;2;2; ;3;1;2;1;4;1;1;1;1;1;2;2;1;01;1;07;05;1;05;1156,12070862256
2466107;1;3;2;1;1;1;1;1;3;3; ; ; ; ;160000;1;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;2;2; ;5;1;1;1;4;1;1;1;1;1;2;2;1;01;1;07;05;1;05;1021,39630300932
2466108;1;2;1;1;1;1;1;1;3;1; ; ;30000000;220000; ;1;2;1;2;2;2;2;2;2;2;2;2;1;2;2;1;1;1;2;2;2;1;1;2;2; ;2;1;2;1;4;1;1;1;1;1;3;2;1;01;1;07;05;1;05;1034,24805577026
2466109;1;4;2;1;1;1;1;1;3;1; ; ;65000000;340000; ;1;1;1;1;1;1;2;2;1;1;1;2;2;2;1;1;1;1;1;1;1;1;2;2;2; ;4;1;1;1;4;1;1;1;1;1;3;2;1;01;1;07;05;1;05;1047,93263480049
2466110;1;2;2;1;1;1;1;2;4;1; ; ;9000000;120000; ;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;1;1;2;2; ;6;1;1;1;4;1;2;1;1;1;1;2;1;01;1;07;05;1;05;210,844073948058
2466111;1;1;1;3;1;1;1;1;1;4; ; ; ;100000; ;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;2;1;1;2;2; ;4;1;1;1;2;1;2;2;1;1;1;2;1;01;1;07;05;1;05;687,029547613556
2466112;1;1;1;2;1;1;1;1;1;1; ; ;4000000;50000; ;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2; ;2;2; ;4;1;1;8;2;1;2;2;1;1;1;2;1;01;1;07;05;1;05;721,645957999855
2466113;1;4;2;1;1;1;1;1;3;4; ; ; ;200000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;2;2;1;1;2;2; ;5;1;2;1;2;1;1;1;1;1;1;2;1;01;1;07;05;1;05;1100,08647752211
2466114;1;2;1;1;1;1;1;1;4;3; ; ; ; ;160000;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;1;2;2;2; ;2;1;2;1;2;1;2;1;1;1;2;2;1;01;1;07;05;1;05;1258,82982271627
2466115;1;4;3;1;1;1;1;1;3;4; ; ; ;500000; ;1;1;1;1;1;2;2;2;2;1;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2; ;3;1;1;1;4;1;1;1;1;1;3;2;1;01;1;07;05;1;05;1004,75015646098
2466116;1;5;4;1;1;1;1;3;4;3; ; ; ; ;290000;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;3;2;2; ;6;1;1;1;4;1;2;1;1;1;2;2;1;01;1;07;05;1;05;1044,49809931657
2466117;1;4;3;1;1;1;1;1;3;1; ; ;50000000;250000; ;1;1;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;2;2;1;1;4;2;2; ;5;1;1;1;4;1;1;1;1;1;3;2;1;01;1;07;05;1;05;1176,97232332752
2466118;1;1;1;1;1;1;1;3;1;1; ; ;15000000;180000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;1;2;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;3;2;1;01;1;07;05;1;05;1166,36390785456
2466119;1;5;4;1;1;1;1;1;4;1; ; ;40000000;300000; ;1;2;1;1;1;1;2;2;2;2;1;2;1;2;2;1;1;1;2;2;2;1;3;2;2; ;4;1;1;1;4;1;2;1;1;1;2;2;1;01;1;07;05;1;05;1246,86935574232
2466120;1;1;1;2;1;1;1;1;4;2; ;200000;8000000;120000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2; ;3;1;1;8;2;1;2;2;1;1;1;2;1;01;1;07;05;1;05;1112,04694449607
2466122;1;4;3;1;1;1;1;1;3;1; ; ;35000000;400000; ;1;2;1;1;1;1;2;2;2;1;2;2;1;2;2;1;1;1;2;2;1;1;2;2;2; ;5;1;2;1;4;1;1;1;1;1;3;2;1;01;1;07;05;1;05;894,313977761311
2466123;1;4;1;1;1;1;1;1;4;4; ; ; ;350000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;2;1;2;2;2; ;2;1;2;1;4;1;2;1;1;1;3;2;1;01;1;07;05;1;05;1166,36390785456
2466124;1;4;3;1;1;1;1;1;3;1; ; ;70000000;400000; ;1;1;1;1;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;1;2;1;3;2;2; ;3;1;1;1;4;1;1;1;1;1;3;2;1;01;1;07;05;1;05;1156,12070862256
2466126;1;3;2;1;1;1;1;1;3;1; ; ;25000000;250000; ;1;1;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;1;1;1;1;2;2;2; ;3;1;2;1;4;1;1;1;1;1;2;2;1;01;1;07;05;1;05;1156,12070862256
2466127;1;4;1;1;2;1;1;1;4;3; ; ; ; ;230000;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;2;2; ;5;1;2;1;4;1;2;1;1;1;1;2;1;01;1;07;05;1;05;355,988273928168
2466127;2;1;1;1;2;1;1;6; ;3; ; ; ; ;50000;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;2; ; ; ; ; ; ; ; ; ; ;1;01;1;07;05;1;05;355,988273928168
2466128;1;2;2;1;1;1;1;1;1;1; ; ;35000000;180000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;2;2; ;2;2; ;3;1;1;1;2;1;2;1;1;1;1;2;1;01;1;07;05;1;05;279,461682502963
2466129;1;3;2;1;1;1;1;3;4;3; ; ; ; ;300000;1;2;1;1;1;1;2;2;2;1;2;2;2;2;1;2;1;1;2;2;2;1;2;2;2; ;2;1;1;1;2;1;2;1;1;1;2;2;1;01;1;07;05;1;05;957,362209964849
2466130;1;4;3;1;1;1;1;1;4;3; ; ; ; ;504000;1;2;1;1;1;1;2;2;1;1;2;1;1;2;1;1;1;1;1;2;1;1;2;2;2; ;3;1;2;1;4;1;2;1;1;1;3;2;1;01;1;07;05;1;05;1204,51285935778
2466131;1;3;2;1;1;1;1;1;1;5; ; ; ;200000; ;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2; ;3;1;2;1;4;1;2;1;1;1;2;2;1;01;1;07;05;1;05;1204,51285935778
2466132;1;4;3;1;1;1;1;1;3;1; ; ;50000000;250000; ;1;2;1;2;1;1;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;1;2;2;2; ;5;1;2;1;2;1;1;1;1;1;2;2;1;01;1;07;05;1;05;1068,96247178957
2466133;1;3;2;1;1;1;1;1;3;1; ; ;15000000;200000; ;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2; ;5;1;2;1;4;1;1;1;1;1;2;2;1;01;1;07;05;1;05;1051,69432678689
2466134;1;3;2;1;1;1;1;1;3;3; ; ; ; ;238000;1;1;1;2;2;1;2;2;2;1;2;2;2;2;1;1;1;1;2;2;2;1;1;2;2; ;3;1;2;1;4;1;1;1;1;1;3;2;1;01;1;07;05;1;05;1063,65479376084
2466135;1;3;2;1;1;1;1;1;4;3; ; ; ; ;200000;1;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;1;1;2;2; ;4;1;2;1;2;1;2;1;1;1;1;2;1;01;1;07;05;1;05;333,098903026234
2466136;1;1;1;1;1;1;1;2;4;1; ; ;30000000;200000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;2;1;1;2;2; ;1;1;4;1;2;1;2;1;1;1;1;2;1;01;1;07;05;1;05;345,761171676084
2466137;1;4;3;1;1;1;1;1;4;3; ; ; ; ;280000;1;2;1;2;2;2;2;2;2;1;2;1;2;2;2;2;1;1;1;2;2;1;1;2;2; ;6;1;1;1;4;1;2;1;1;1;2;2;1;01;1;07;05;1;05;608,579468637837
2466139;1;1;1;3;1;1;1;2;1;1; ; ;8000000;100000; ;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;2;2;2; ;5;1;1;2;1;1;2;2;1;1;1;2;1;01;1;07;05;1;05;1100,08647752211
2466140;1;2;1;1;1;1;1;1;1;1; ; ;12000000;100000; ;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2; ;2;2; ;1;1;1;1;2;1;2;1;1;1;1;2;1;01;1;07;05;1;05;1063,74595507954
2466141;1;3;2;1;1;1;1;1;1;1; ; ;15000000;100000; ;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;1;2;2; ;2;1;2;1;2;1;2;1;1;1;1;2;1;01;1;07;05;1;05;1123,03933961099
2466142;1;3;1;1;1;1;1;1;1;5; ; ; ;150000; ;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;2;1;2;1;2;1;1;1;2;2;1;01;1;07;05;1;05;1152,53723892028
2466143;1;4;3;1;1;1;1;1;3;3; ; ; ; ;235000;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;1;2;2;2; ;5;1;1;1;4;1;1;1;1;1;2;2;1;01;1;07;05;1;05;1051,69432678689
2466144;1;3;2;1;1;1;1;1;3;2; ;260000;40000000;350000; ;1;1;1;1;1;1;2;2;2;1;2;2;2;2;1;1;1;1;2;2;1;1;2;2;2; ;4;1;1;1;4;1;1;1;1;1;3;2;1;01;1;07;05;1;05;1023,11357075128
2466145;1;3;2;1;1;1;1;1;4;5; ; ; ;450000; ;1;2;1;2;2;1;2;2;2;1;2;2;2;2;1;1;1;2;1;2;2;1;2;2;2; ;3;1;1;1;4;1;2;1;1;1;3;2;1;01;1;07;05;1;05;775,962921358346
2466146;1;4;3;1;1;1;1;1;4;5; ; ; ;250000; ;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2; ;2;2; ;9;1;2;1;4;1;2;1;1;1;2;2;1;01;1;07;05;1;05;878,918975303442
2466147;1;4;3;1;1;1;1;1;4;3; ; ; ; ;220000;1;2;1;2;1;1;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;2; ;2;2; ;3;1;2;1;4;1;2;1;1;1;3;2;1;01;1;07;05;1;05;1092,97447078601
2466148;1;6;5;1;1;1;1;1;3;1; ; ;150000000;500000; ;1;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;9;1;1;1;4;1;1;1;1;1;3;2;1;01;1;07;05;1;05;1122,6831775666
2466149;1;2;1;1;1;1;1;1;1;1; ; ;10000000;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2; ;1;1;1;1;2;1;2;1;1;1;1;2;1;01;1;07;05;1;05;1063,74595507954
2466151;1;2;2;2;1;1;1;1;4;1; ; ;12000000;150000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;1;2;2; ;4;1;1;1;2;1;2;2;1;1;1;2;1;01;1;07;05;1;05;1053,41159452884
2466153;1;5;4;1;1;1;1;1;4;1; ; ;50000000;350000; ;1;2;1;1;1;1;2;2;2;2;2;1;2;2;2;1;1;1;1;2;1;1;5;2;2; ;5;1;2;1;4;1;2;1;1;1;1;2;2;01;1;07;05;1;05;288,870912883845
2466154;1;5;1;1;1;1;1;1;3;1; ; ;80000000;400000; ;1;2;1;1;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;1;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;3;2;1;01;1;07;05;1;05;1138,58327628723
2466155;1;4;2;1;1;1;1;1;3;1; ; ;60000000;350000; ;1;1;1;1;1;1;2;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;3;2;1;01;1;07;05;1;05;1123,03933961099
2466156;1;3;2;1;1;1;1;1;3;1; ; ;35000000;350000; ;1;1;1;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;1;1;1;1;1;2;2; ;2;1;2;1;2;1;1;1;1;1;2;2;1;01;1;07;05;1;05;1034,24805577026
2466157;1;3;1;1;1;1;1;1;3;3; ; ; ; ;170000;1;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2;1;2;2;2; ;2;1;2;1;2;1;1;1;1;1;2;2;1;01;1;07;05;1;05;957,362209964849
2466158;1;4;4;1;1;1;1;1;4;3; ; ; ; ;200000;1;2;1;1;2;1;2;2;2;1;1;1;2;2;1;2;1;1;1;2;1;1;5;2;2; ;7;1;2;1;2;1;2;1;1;1;2;2;1;01;1;07;05;1;05;987,019988160093
2466159;1;5;3;1;1;1;1;1;4;3; ; ; ; ;225000;1;1;1;2;1;1;2;2;1;1;1;1;2;2;1;1;1;1;1;1;2;1;1;2;2; ;5;1;1;1;4;1;2;1;1;1;2;2;1;01;1;07;05;1;05;793,322131409551
2466160;1;5;3;1;1;1;1;1;3;2; ;330000;30000000;330000; ;1;2;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;1;2;1;1;1;2;2; ;4;1;1;1;4;1;1;1;1;1;3;2;1;01;1;07;05;1;05;1057,72998113758
2466162;1;5;2;1;1;1;1;1;3;3; ; ; ; ;210000;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;1;2;2;2; ;3;1;2;1;4;1;1;1;1;1;2;2;1;01;1;07;05;1;05;1096,50300781983
2466163;1;2;1;1;1;1;1;1;4;4; ; ; ;150000; ;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;4;1;2;1;2;1;2;1;1;1;1;2;1;01;1;07;05;1;05;210,772045286938
2466164;1;1;1;1;1;1;1;1;1;3; ; ; ; ;140000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;2;2; ;2;1;2;1;2;1;2;1;1;1;1;2;1;01;1;07;05;1;05;351,011561662662
2466165;1;4;2;1;1;1;1;1;4;4; ; ; ;250000; ;1;1;1;1;2;1;2;2;2;1;2;2;2;2;1;1;1;2;1;1;1;1;2;2;2; ;2;1;2;1;4;1;2;1;1;1;1;2;1;01;1;07;05;1;05;372,985765812011
2466166;1;4;3;1;1;1;1;1;4;2; ;210000;20000000;180000; ;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2; ;2;2; ;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;07;05;1;05;1065,3720615028
2466167;1;1;1;1;1;1;1;2;1;3; ; ; ; ;120000;1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;1;2;1;1;2;2;1;1;2;2; ;5;1;2;1;4;1;2;1;1;1;1;2;1;01;1;07;05;1;05;841,714282144777
2466168;1;1;1;1;1;1;2;2;5;1; ; ;8000000;80000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;2;2; ;2;1;1;5;1;1;2;1;1;1;1;2;1;01;1;07;05;1;05;1170,03853887554
2466169;1;1;1;1;1;1;1;1;1;1; ; ;7000000;7000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2; ;2;2; ;1;1;1;1;2;1;2;1;1;1;1;2;1;01;1;07;05;1;05;1032,29069249124
2466170;1;5;3;1;1;1;1;1;3;4; ; ; ;180000; ;1;2;1;2;1;1;2;2;2;1;1;2;2;2;2;1;1;1;1;1;2;1;2;2;2; ;4;1;2;1;4;1;1;1;1;1;2;2;1;01;1;07;05;1;05;1009,33783040235
2466171;1;2;1;3;1;1;2;1;1;4; ; ; ;130000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2; ;2;2; ;3;1;1;1;4;1;2;2;1;1;2;2;1;01;1;07;05;1;05;1077,43053410977
