DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;MES;DPTO;AREA;fex_c_2011
2456780;1;1;1;80;1;1;4;4; ;3; ;2; ; ; ; ;4;2;1;07;54;54;322,262917805257
2456780;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;54;54;322,262917805257
2456781;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;54;54;367,956679826225
2466105;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1166,36390785456
2466106;1;3;1;80;1;1;2;2; ;2; ;2; ; ; ; ;2;2;1;07;05;05;1156,12070862256
2466107;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1021,39630300932
2466108;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1034,24805577026
2466109;1;4;1;80;1;1;4;9;ESTABA  MUY VIEJA;2; ;2; ; ; ; ;11;2;1;07;05;05;1047,93263480049
2466110;1;1;1;80;1;1;4;9;SE  SENTIA  CANSADA   Y  RENUNCIO;2; ;2; ; ;4; ;9;1;1;07;05;05;210,844073948058
2466110;1;2;1;80;1;1;1;8; ;2; ;2; ; ;1;NO  HA Y   RECURSOS  PARA    BUSCAR  TRABAJO;12;1;1;07;05;05;210,844073948058
2466110;1;6;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;05;05;210,844073948058
2466111;1;2;1;80;1;1;3;9;POR  EMBARAZO;2; ;2; ; ; ; ;9;2;1;07;05;05;687,029547613556
2466112;1;2;1;80;1;1;2;9;POR EMBARAZO;2; ;2; ; ; ; ;9;2;1;07;05;05;721,645957999855
2466113;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1100,08647752211
2466113;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1100,08647752211
2466115;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;11;2;1;07;05;05;1004,75015646098
2466115;1;2;1;80;1;1;4;5; ;3; ;2; ; ; ; ;11;2;1;07;05;05;1004,75015646098
2466116;1;1;1;80;1;1;1;8; ;2; ;2; ; ;1; ;8;1;1;07;05;05;1044,49809931657
2466116;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1044,49809931657
2466116;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1044,49809931657
2466117;1;1;1;80;1;1;4;4; ;3; ;2; ; ; ; ;4;2;1;07;05;05;1176,97232332752
2466117;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1176,97232332752
2466119;1;2;1;80;1;1;3;2; ;1;1;2; ; ; ; ;2;2;1;07;05;05;1246,86935574232
2466119;1;4;1;80;1;1;1;2; ;2; ;2; ; ;1; ;2;1;1;07;05;05;1246,86935574232
2466120;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1112,04694449607
2466122;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;894,313977761311
2466126;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1156,12070862256
2466127;1;2;1;80;1;1;1;8; ;2; ;2; ; ; ; ;9;2;1;07;05;05;355,988273928168
2466128;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;05;05;279,461682502963
2466128;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;279,461682502963
2466132;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1068,96247178957
2466132;1;3;1;80;1;1;1;8; ;2; ;2; ; ; ; ;4;2;1;07;05;05;1068,96247178957
2466133;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1051,69432678689
2466133;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1051,69432678689
2466134;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1063,65479376084
2466134;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1063,65479376084
2466135;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;333,098903026234
2466135;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;333,098903026234
2466137;1;2;1;80;1;1;3;3; ;2; ;2; ; ; ; ;9;2;1;07;05;05;608,579468637837
2466137;1;6;1;80;1;1;2;9;LLEGO DEL CAMPO  Y NO SABE HACER NADA MAS;2; ;2; ; ; ; ;1;2;1;07;05;05;608,579468637837
2466139;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1100,08647752211
2466140;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;05;05;1063,74595507954
2466143;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1051,69432678689
2466143;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1051,69432678689
2466146;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;878,918975303442
2466146;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;878,918975303442
2466146;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;878,918975303442
2466146;1;7;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;878,918975303442
2466147;1;3;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;05;05;1092,97447078601
2466148;1;6;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1122,6831775666
2466148;1;7;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1122,6831775666
2466151;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1053,41159452884
2466151;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1053,41159452884
2466153;1;1;1;80;1;1;1;1; ;2; ;2; ; ; ; ;4;2;1;07;05;05;288,870912883845
2466154;1;1;1;80;1;1;4;9;LOS HIJOS NO LA DEJARON TRABAJAR MAS;2; ;2; ; ; ; ;8;2;1;07;05;05;1138,58327628723
2466155;1;1;1;80;1;1;4;9;LOS HIJOS  NO LA DEJARON TRABAJAR MAS;2; ;2; ; ; ; ;11;2;1;07;05;05;1123,03933961099
2466156;1;1;1;80;1;1;4;7; ;2; ;2; ; ; ; ;8;2;1;07;05;05;1034,24805577026
2466156;1;2;1;80;1;1;2;7; ;2; ;2; ; ; ; ;8;2;1;07;05;05;1034,24805577026
2466158;1;2;1;80;1;1;3;3; ;2; ;2; ; ; ; ;9;2;1;07;05;05;987,019988160093
2466159;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;793,322131409551
2466164;1;2;1;80;1;1;2;6; ;2; ;2; ; ; ; ;5;2;1;07;05;05;351,011561662662
2466166;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1065,3720615028
2466167;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;05;05;841,714282144777
2466168;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;05;05;1170,03853887554
2466169;1;1;1;80;1;1;3;1; ;2; ;1;40000; ; ; ;8;2;1;07;05;05;1032,29069249124
