PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P3038;P3039
20221147;11;2022;7246722;1;1;1;18;;2;574.38998635;11;2;1
20221147;11;2022;7246722;1;2;1;18;;2;574.38998635;11;1;2
20221147;11;2022;7246723;1;1;1;18;;2;401.50255572;11;2;1
20221147;11;2022;7246723;1;2;1;18;;2;401.50255572;11;1;2
20221147;11;2022;7246724;1;1;1;18;;2;197.60323679;11;1;2
20221147;11;2022;7246725;1;1;1;18;;2;530.46049617;11;2;1
20221147;11;2022;7246725;1;2;1;18;;2;530.46049617;11;1;2
20221147;11;2022;7246726;1;1;1;18;;2;530.46049617;11;2;1
20221147;11;2022;7246726;1;2;1;18;;2;530.46049617;11;1;2
20221147;11;2022;7246727;1;1;1;18;;2;395.8501863;11;2;1
20221147;11;2022;7246727;1;2;1;18;;2;395.8501863;11;1;2
20221147;11;2022;7246727;1;3;1;18;;2;395.8501863;11;2;1
20221147;11;2022;7246728;1;1;1;18;;2;530.46049617;11;2;1
20221147;11;2022;7246728;1;2;1;18;;2;530.46049617;11;1;2
20221147;11;2022;7246729;1;1;1;18;;2;628.19242294;11;1;2
20221147;11;2022;7246729;1;2;1;18;;2;628.19242294;11;2;1
20221147;11;2022;7246729;1;3;1;18;;2;628.19242294;11;1;2
20221144;11;2022;7246731;1;1;1;18;05;1;898.30441527;05;2;1
20221144;11;2022;7246731;1;2;1;18;05;1;898.30441527;05;1;2
20221144;11;2022;7246732;1;1;1;18;05;1;690.91732684;05;2;1
20221144;11;2022;7246732;1;2;1;18;05;1;690.91732684;05;1;2
20221144;11;2022;7246732;1;3;1;18;05;1;690.91732684;05;2;1
20221144;11;2022;7246732;1;4;1;18;05;1;690.91732684;05;1;2
20221144;11;2022;7246733;1;1;1;18;05;1;844.75242738;05;1;2
20221144;11;2022;7246733;1;2;1;18;05;1;844.75242738;05;1;2
20221144;11;2022;7246734;1;1;1;18;05;1;1283.3922026;05;2;1
20221144;11;2022;7246734;1;2;1;18;05;1;1283.3922026;05;1;2
20221144;11;2022;7246734;1;3;1;18;05;1;1283.3922026;05;2;1
20221144;11;2022;7246735;1;1;1;18;05;1;1340.9957685;05;2;1
20221144;11;2022;7246735;1;2;1;18;05;1;1340.9957685;05;1;2
20221144;11;2022;7246735;1;5;1;18;05;1;1340.9957685;05;1;2
20221144;11;2022;7246736;1;1;1;18;05;1;1702.6403832;05;1;1
20221144;11;2022;7246737;1;1;1;18;05;1;650.04118931;05;1;2
20221144;11;2022;7246737;1;2;1;18;05;1;650.04118931;05;2;1
20221144;11;2022;7246737;1;4;1;18;05;1;650.04118931;05;2;1
20221144;11;2022;7246737;1;6;1;18;05;1;650.04118931;05;2;1
20221144;11;2022;7246737;1;7;1;18;05;1;650.04118931;05;1;2
20221144;11;2022;7246738;1;1;1;18;05;1;580.88688302;05;1;2
20221144;11;2022;7246738;1;2;1;18;05;1;580.88688302;05;2;1
20221144;11;2022;7246738;1;3;1;18;05;1;580.88688302;05;1;2
20221144;11;2022;7246739;1;1;1;18;05;1;845.86100699;05;2;1
20221144;11;2022;7246739;1;2;1;18;05;1;845.86100699;05;1;2
20221144;11;2022;7246739;1;4;1;18;05;1;845.86100699;05;1;2
20221144;11;2022;7246739;1;5;1;18;05;1;845.86100699;05;2;1
20221144;11;2022;7246740;1;1;1;18;05;1;770.45553517;05;2;1
20221144;11;2022;7246740;1;2;1;18;05;1;770.45553517;05;1;2
20221144;11;2022;7246740;1;5;1;18;05;1;770.45553517;05;2;1
20221144;11;2022;7246742;1;1;1;18;05;1;939.30451603;05;1;2
20221144;11;2022;7246742;1;2;1;18;05;1;939.30451603;05;2;1
20221144;11;2022;7246742;1;3;1;18;05;1;939.30451603;05;1;2
20221144;11;2022;7246743;1;1;1;18;05;1;848.70074487;05;2;1
20221144;11;2022;7246744;1;1;1;18;05;1;858.78257287;05;1;2
20221144;11;2022;7246745;1;1;1;18;05;1;586.65071479;05;1;2
20221144;11;2022;7246745;1;2;1;18;05;1;586.65071479;05;2;1
20221144;11;2022;7246745;1;3;1;18;05;1;586.65071479;05;1;2
20221144;11;2022;7246745;1;4;1;18;05;1;586.65071479;05;2;1
20221144;11;2022;7246747;1;1;1;18;05;1;848.70074487;05;2;1
20221144;11;2022;7246748;1;1;1;18;05;1;627.00498766;05;1;2
20221144;11;2022;7246748;1;2;1;18;05;1;627.00498766;05;2;1
20221144;11;2022;7246749;1;1;1;18;05;1;1458.206166;05;1;2
20221144;11;2022;7246749;1;2;1;18;05;1;1458.206166;05;2;1
20221144;11;2022;7246752;1;1;1;18;05;1;1333.8429054;05;2;1
