Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Clase;Mes;Dpto;Fex_c_2011
3362065;1;2;2;3;1;4;1;5;4;1; ; ;15000000;150000; ;2;2;1;1;1;2;2;2;1;2;1;1;2;2;2;2;1;1;1;2;2;1;3;2;1;1;4;1;1;1;2;1;2;2;2;1;1; ;2;01;2;12;73;6151,8313456569
3362067;1;1;1;3;1;4;3;1;4;5; ; ; ;10000; ;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;1;1;2;2;1;1;2;2; ;3;1;1;1;4;1;2;2;2;1;1; ;2;01;2;12;73;4740,68257170814
3362068;1;2;1;2;1;4;3;1;4;1; ; ;20000000;200000; ;1;2;1;2;1;1;2;2;1;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;3;1;1;1;4;1;2;2;2;2;1; ; ;01;2;12;73;4020,89352416191
3362069;1;2;1;3;1;4;3;1;4;1; ; ;10000000;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;1;1;1;2;2; ;2;1;1;5;1;1;2;2;2;2;1; ; ;01;2;12;73;4412,42515378779
3362092;1;2;1;2;1;4;1;1;5;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2; ;1;1;1;1;4;1;2;1;2;1;1; ;1;01;2;12;73;5669,08079354222
3362093;1;2;1;2;1;4;1;1;4;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;1;1;4;1;2;2;2;1;1; ;1;01;2;12;73;5362,49943396351
3362094;1;3;2;2;1;4;1;1;4;4; ; ; ;300000; ;2;2;1;1;1;2;2;2;1;1;1;1;2;2;2;2;1;1;1;2;2;1;2;2;2; ;3;1;1;1;4;1;2;2;2;1;1; ;1;01;2;12;73;4020,89352416191
3362096;1;3;1;1;1;4;8;1;4;3; ; ; ; ;50000;2;2;1;1;2;2;2;2;1;1;2;1;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;1;2;1;3;1;2;1;2;2;2; ; ;01;2;12;73;3878,13186480975
3362107;1;3;2;2;1;4;1;1;4;1; ; ;8000000;200000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;2;2; ;3;1;1;1;2;1;2;2;2;1;1; ;1;01;2;12;73;4588,27182917978
3362109;1;2;1;6; ;4;1;1;4;1; ; ;4000000;150000; ;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;4;1;1;5;2;1;2;2;2;1;1; ;1;01;2;12;73;6684,4203108551
