directorio;secuencia_p;orden;P6240;P6250;P6260;P6270;P6280;P6290;P6300;P6310;P6320;P6330;P6340;P6350;P6351;Ft;mes;area;dpto;fex_c_2011
120559;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;68;380,717911781501
120559;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;68;380,717911781501
120561;1;1;4;2;2;2;1;2; ; ; ; ; ; ;1;1;06;17;17;114,238581382415
120562;1;1;4;2;2;2;1;4; ; ; ; ; ; ;1;1;06;73;73;540,059243059004
120562;1;2;3;2;2;2;1;1; ; ; ; ; ; ;1;1;06;73;73;540,059243059004
120562;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;73;73;540,059243059004
120562;1;5;5; ; ; ; ; ; ; ; ; ; ; ; ;1;06;73;73;540,059243059004
120562;1;6;6;2;2;2;1;1; ; ; ; ; ; ;1;1;06;73;73;540,059243059004
120564;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;17;17;172,881563592195
120567;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;68;68;424,59289352852
120568;1;1;4;2;2;2;1;1; ; ; ; ; ; ;1;1;06;11;11;2533,70693671901
120568;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;11;11;2533,70693671901
120568;1;3;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;11;11;2533,70693671901
120568;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;11;11;2533,70693671901
120570;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;17;17;64,577029132214
120570;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;17;17;64,577029132214
120570;1;3;5; ; ; ; ; ; ; ; ; ; ; ; ;1;06;17;17;64,577029132214
120570;1;4;2;2;2;2;1;2; ; ; ; ; ; ;1;1;06;17;17;64,577029132214
120575;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;68;68;315,236539822786
120575;1;2;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;68;68;315,236539822786
120575;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;68;315,236539822786
120575;1;4;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;68;315,236539822786
120575;2;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;68;68;315,236539822786
120575;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;68;68;315,236539822786
120575;3;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;06;68;68;315,236539822786
120575;3;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;68;315,236539822786
120578;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;06;68;68;425,619482387528
120578;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;68;68;425,619482387528
120583;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;23;23;199,538854076669
120583;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;23;23;199,538854076669
120585;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;17;17;46,0833483253229
120585;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;17;17;46,0833483253229
120585;1;3;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;17;17;46,0833483253229
120585;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;17;17;46,0833483253229
120586;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;76;76;1761,27208898096
120586;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;76;76;1761,27208898096
120589;1;1;4;2;2;2;2; ;1;13; ; ; ; ; ;1;06;13;13;361,529636178494
120589;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;13;13;361,529636178494
120589;1;3;3;2;2;2;2; ;1;12; ; ; ; ; ;1;06;13;13;361,529636178494
120590;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;23;23;143,981112770151
120590;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;23;23;143,981112770151
120591;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;73;73;455,385295942739
120591;1;2;6;2;2;2;1;4; ; ; ; ; ; ;1;1;06;73;73;455,385295942739
120594;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;13;13;188,993640569542
120594;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;13;13;188,993640569542
120596;1;1;6;1; ; ; ; ; ; ; ; ; ; ; ;1;06;17;17;87,0248284210384
120597;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;06;68;68;386,089438587424
120599;1;1;4;2;2;2;2; ;1;11; ; ; ; ; ;1;06;23;23;301,889834021627
120599;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;23;23;301,889834021627
120600;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;68;68;364,680271334323
120600;1;2;4;2;2;2;2; ;1;13; ; ; ; ; ;1;06;68;68;364,680271334323
120600;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;68;364,680271334323
120601;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;13;13;178,691267774521
120601;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;13;13;178,691267774521
120601;1;3;5; ; ; ; ; ; ; ; ; ; ; ; ;1;06;13;13;178,691267774521
120603;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;17;17;49,5356911174873
120603;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;17;17;49,5356911174873
120605;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;73;73;396,555623206109
120607;1;1;6;2;2;2;1;3; ; ; ; ; ; ;1;1;06;23;23;205,457670212118
120607;1;2;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;23;23;205,457670212118
120608;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;76;76;705,14649996343
120608;1;2;4;2;2;2;2; ;1;13; ; ; ; ; ;1;06;76;76;705,14649996343
120608;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;76;76;705,14649996343
120608;1;4;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;76;76;705,14649996343
120608;1;5;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;76;76;705,14649996343
120608;1;7;4;2;2;2;2; ;1;10; ; ; ; ; ;1;06;76;76;705,14649996343
120608;1;8;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;76;76;705,14649996343
120609;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;13;13;500,529737173863
120609;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;13;13;500,529737173863
120615;1;1;4;2;2;2;2; ;1;2;1;2; ; ; ;1;06;73;73;380,53009920338
120615;1;2;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;73;73;380,53009920338
120615;1;3;2;2;2;2;1;2; ; ; ; ; ; ;1;1;06;73;73;380,53009920338
120615;1;4;2;1; ; ; ; ; ; ; ; ; ; ; ;1;06;73;73;380,53009920338
120618;1;1;6;2;2;2;2; ;1;4;1;2; ; ; ;1;06;73;73;323,741404245345
120618;1;2;4;2;2;2;2; ;1;11; ; ; ; ; ;1;06;73;73;323,741404245345
120619;1;1;4;2;2;2;2; ;1;3;1;2; ; ; ;1;06;73;73;411,093121250746
120619;1;2;2;2;2;2;1;3; ; ; ; ; ; ;1;1;06;73;73;411,093121250746
120619;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;73;73;411,093121250746
120620;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;68;68;404,954247313568
120620;1;2;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;68;404,954247313568
120620;1;3;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;68;404,954247313568
120623;1;1;4;2;2;1; ; ; ; ; ; ; ; ; ;1;06;68;68;422,285323454995
120625;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;68;408,288406246101
120625;1;2;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;68;68;408,288406246101
120625;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;68;68;408,288406246101
120625;1;4;4;2;2;2;2; ;1;2;1;2; ; ; ;1;06;68;68;408,288406246101
120629;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;76;76;1161,79365856877
120629;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;76;76;1161,79365856877
120634;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;170,632510368315
120634;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;170,632510368315
120634;1;3;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;50;50;170,632510368315
120635;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;06;76;76;937,564388532785
120635;1;2;6;2;1; ; ; ; ; ; ; ; ; ; ;1;06;76;76;937,564388532785
120635;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;76;76;937,564388532785
120637;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;68;556,516344088079
120639;1;1;4;2;2;2;1;2; ; ; ; ; ; ;1;1;06;17;17;196,751466444838
120639;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;17;17;196,751466444838
120639;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;17;17;196,751466444838
120641;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;119,803886706214
120641;1;2;6;2;2;1; ; ; ; ; ; ; ; ; ;1;06;50;50;119,803886706214
120641;1;3;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;50;50;119,803886706214
120642;1;1;6;2;2;2;1;1; ; ; ; ; ; ;1;1;06;68;68;571,569818553875
120642;1;2;4;2;2;2;1;1; ; ; ; ; ; ;1;1;06;68;68;571,569818553875
120642;1;3;6;1; ; ; ; ; ; ; ; ; ; ; ;1;06;68;68;571,569818553875
120642;1;4;6;2;2;2;1;1; ; ; ; ; ; ;1;1;06;68;68;571,569818553875
120645;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;68;172,087848403662
120645;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;68;172,087848403662
120648;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;17;17;108,58720007691
120648;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;17;17;108,58720007691
120648;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;17;17;108,58720007691
120648;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;17;17;108,58720007691
120649;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;06;68;68;554,714861167783
120649;1;2;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;68;68;554,714861167783
120649;1;3;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;68;554,714861167783
120649;1;7;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;68;554,714861167783
120649;1;8;6;2;2;2;1;1; ; ; ; ; ; ;1;1;06;68;68;554,714861167783
120649;1;9;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;68;554,714861167783
120651;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;11;11;3917,90106213834
120651;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;11;11;3917,90106213834
120652;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;68;183,25711319458
120652;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;68;68;183,25711319458
120652;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;68;68;183,25711319458
120652;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;68;183,25711319458
120652;1;5;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;68;68;183,25711319458
120653;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;17;17;228,631048870777
120654;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;13;13;207,442157300193
120654;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;13;13;207,442157300193
120658;1;1;4;2;2;2;1;4; ; ; ; ; ; ;1;1;06;23;23;168,556573807094
120658;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;23;23;168,556573807094
120658;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;23;23;168,556573807094
120658;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;23;23;168,556573807094
120658;3;1;6;1; ; ; ; ; ; ; ; ; ; ; ;1;06;23;23;168,556573807094
120661;1;1;6;1; ; ; ; ; ; ; ; ; ; ; ;1;06;23;23;294,545716166905
120661;1;2;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;23;23;294,545716166905
120662;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;13;13;240,974720969988
120662;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;13;13;240,974720969988
120662;1;3;2;2;2;2;1;3; ; ; ; ; ; ;1;1;06;13;13;240,974720969988
120662;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;13;13;240,974720969988
120662;1;5;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;13;13;240,974720969988
120662;1;7;2;2;2;2;1;3; ; ; ; ; ; ;1;1;06;13;13;240,974720969988
120666;1;1;4;2;2;2;1;6; ; ; ; ; ; ;1;1;06;17;17;133,428843099551
120666;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;17;17;133,428843099551
120667;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;23;23;86,710056550628
120667;1;2;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;23;23;86,710056550628
120668;1;1;2;1; ; ; ; ; ; ; ; ; ; ; ;1;06;23;23;186,341749853997
120668;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;23;23;186,341749853997
120668;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;23;23;186,341749853997
120669;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;11;11;1249,38976878268
120669;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;11;11;1249,38976878268
120671;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;23;23;311,479096186962
120671;1;2;4;2;2;2;2; ;1;13; ; ; ; ; ;1;06;23;23;311,479096186962
120673;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;189,693093065425
