directorio;secuencia_p;orden;P6240;P6250;P6260;P6270;P6280;P6290;P6300;P6310;P6320;P6330;P6340;P6350;P6351;Ft;mes;area;dpto;fex_c_2011
125270;1;1;4;2;2;2;2; ;1;11; ; ; ; ; ;1;06;08;08;323,928833777371
125270;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;323,928833777371
125273;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;1466,33124305782
125273;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;1466,33124305782
125273;1;3;4;2;2;2;2; ;1;7;1;1; ;2;1;1;06;08;08;1466,33124305782
125273;1;4;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;08;08;1466,33124305782
125273;1;5;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;08;08;1466,33124305782
125274;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;08;08;798,952892567636
125274;1;2;4;2;2;2;2; ;1;10; ; ; ; ; ;1;06;08;08;798,952892567636
125274;1;4;4;2;2;2;2; ;1;13; ; ; ; ; ;1;06;08;08;798,952892567636
125277;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;413,33722313801
125277;1;2;6;2;2;2;2; ;1;9; ; ; ; ; ;1;06;08;08;413,33722313801
125277;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;413,33722313801
125280;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;76;76;676,459795083095
125281;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;52;52;828,569480672353
125281;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;52;52;828,569480672353
125281;1;3;3;2;2;2;2; ;1;12; ; ; ; ; ;1;06;52;52;828,569480672353
125282;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;66;66;124,299964844734
125282;1;2;6;2;2;1; ; ; ; ; ; ; ; ; ;1;06;66;66;124,299964844734
125282;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;124,299964844734
125282;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;124,299964844734
125288;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;76;76;777,234119055753
125288;1;2;2;1; ; ; ; ; ; ; ; ; ; ; ;1;06;76;76;777,234119055753
125288;1;3;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;76;76;777,234119055753
125291;1;1;6;2;2;2;2; ;1;7;1;2; ; ; ;1;06;54;54;585,831396510753
125291;1;2;4;2;2;2;1;2; ; ; ; ; ; ;1;1;06;54;54;585,831396510753
125291;1;3;6;2;2;2;2; ;1;13; ; ; ; ; ;1;06;54;54;585,831396510753
125291;1;4;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;585,831396510753
125294;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;255,848688671452
125294;1;2;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;08;08;255,848688671452
125295;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;17;17;109,294360641281
125295;1;2;4;2;2;2;2; ;1;13; ; ; ; ; ;1;06;17;17;109,294360641281
125295;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;17;17;109,294360641281
125295;1;4;2;2;2;2;1;3; ; ; ; ; ; ;1;1;06;17;17;109,294360641281
125296;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;68;68;334,7012145204
125296;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;68;334,7012145204
125297;1;1;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;73;73;251,375678590504
125297;1;2;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;73;73;251,375678590504
125299;1;1;6;2;2;2;1;1; ; ; ; ; ; ;1;1;06;54;54;318,171711210725
125299;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;318,171711210725
125301;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;372,131515506628
125301;1;2;4;2;2;1; ; ; ; ; ; ; ; ; ;1;06;08;08;372,131515506628
125301;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;372,131515506628
125304;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;08;08;1292,25007019215
125304;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;1292,25007019215
125304;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;1292,25007019215
125305;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;207,429223106653
125305;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;50;50;207,429223106653
125305;1;3;3;2;2;2;2; ;1;13; ; ; ; ; ;1;06;50;50;207,429223106653
125310;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;66;66;156,899027544393
125310;1;4;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;156,899027544393
125311;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;741,127005722895
125311;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;741,127005722895
125315;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;170,581918947858
125315;1;2;4;2;2;2;1;3; ; ; ; ; ; ;1;1;06;08;08;170,581918947858
125317;1;1;6;1; ; ; ; ; ; ; ; ; ; ; ;1;06;54;54;228,368824491352
125317;1;2;4;2;2;1; ; ; ; ; ; ; ; ; ;1;06;54;54;228,368824491352
125317;1;3;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;228,368824491352
125317;1;4;6;2;2;2;2; ;1;13; ; ; ; ; ;1;06;54;54;228,368824491352
125320;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;776,745541578015
125320;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;776,745541578015
125320;1;3;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;776,745541578015
125324;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;23;23;90,0372342238071
125324;1;2;6;2;2;2;2; ;1;13; ; ; ; ; ;1;06;23;23;90,0372342238071
125324;1;3;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;23;23;90,0372342238071
125324;1;4;4;2;2;2;2; ;1;10; ; ; ; ; ;1;06;23;23;90,0372342238071
125324;1;6;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;23;23;90,0372342238071
125324;1;7;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;23;23;90,0372342238071
125324;1;9;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;23;23;90,0372342238071
125324;1;10;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;23;23;90,0372342238071
125326;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;232,706664516083
125326;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;232,706664516083
125329;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;73;73;134,183011717049
125329;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;73;73;134,183011717049
125329;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;73;73;134,183011717049
125329;1;4;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;73;73;134,183011717049
125329;1;5;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;73;73;134,183011717049
125334;1;1;4;2;2;2;2; ;1;7;2; ;2; ; ;1;06;54;54;584,500905266816
125334;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;54;54;584,500905266816
125334;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;54;54;584,500905266816
125337;1;1;6;1; ; ; ; ; ; ; ; ; ; ; ;1;06;54;54;541,852340317576
125337;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;541,852340317576
125338;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;709,053416720544
125338;1;2;2;2;2;2;1;2; ; ; ; ; ; ;1;1;06;08;08;709,053416720544
125340;1;1;4;2;2;2;1;1; ; ; ; ; ; ;1;1;06;05;05;1257,05373371651
125340;1;2;6;2;2;2;1;2; ; ; ; ; ; ;1;1;06;05;05;1257,05373371651
125340;1;3;6;2;2;2;2; ;1;9; ; ; ; ; ;1;06;05;05;1257,05373371651
125346;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;54;54;232,706664516083
125346;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;232,706664516083
125350;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;360,46147711999
125350;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;360,46147711999
125350;1;3;4;2;2;2;1;2; ; ; ; ; ; ;1;1;06;05;05;360,46147711999
125350;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;360,46147711999
125350;1;5;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;360,46147711999
125352;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;151,949948266942
125352;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;151,949948266942
125352;1;3;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;151,949948266942
125353;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;52;52;709,028238621263
125353;1;2;4;2;2;2;1;2; ; ; ; ; ; ;1;1;06;52;52;709,028238621263
125353;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;52;52;709,028238621263
125355;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;515,925195731227
125355;1;2;6;2;1; ; ; ; ; ; ; ; ; ; ;1;06;05;05;515,925195731227
125356;1;1;4;2;2;2;2; ;1;13; ; ; ; ; ;1;06;54;54;597,164087970249
125360;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;703,021628709385
125360;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;703,021628709385
125360;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;703,021628709385
125361;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;124,299964844734
125361;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;124,299964844734
125361;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;124,299964844734
125361;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;124,299964844734
125362;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;50;50;195,418324937483
125362;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;195,418324937483
125362;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;50;50;195,418324937483
125364;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;391,407100527527
125364;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;54;54;391,407100527527
125364;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;391,407100527527
125364;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;54;54;391,407100527527
125365;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;256,523821892345
125365;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;256,523821892345
125365;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;54;54;256,523821892345
125365;1;4;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;54;54;256,523821892345
125365;1;5;6;2;1; ; ; ; ; ; ; ; ; ; ;1;06;54;54;256,523821892345
125366;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;2827,03325212618
125367;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;203,593520124836
125367;1;2;4;2;2;2;2; ;1;11; ; ; ; ; ;1;06;50;50;203,593520124836
125367;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;50;50;203,593520124836
125368;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;73;73;120,641942441034
125368;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;73;73;120,641942441034
125368;1;3;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;73;73;120,641942441034
125368;2;1;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;73;73;120,641942441034
125368;2;2;2;2;2;2;1;3; ; ; ; ; ; ;1;1;06;73;73;120,641942441034
125369;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;774,308524307634
125369;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;774,308524307634
125369;1;3;6;2;1; ; ; ; ; ; ; ; ; ; ;1;06;05;05;774,308524307634
125369;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;774,308524307634
125374;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;664,770920955966
125374;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;664,770920955966
125374;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;664,770920955966
125382;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;292,136366530959
125382;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;292,136366530959
125383;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;256,811189156841
125383;1;2;3;2;2;2;2; ;1;12; ; ; ; ; ;1;06;08;08;256,811189156841
125383;2;1;4;2;2;2;2; ;1;10; ; ; ; ; ;1;06;08;08;256,811189156841
125383;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;256,811189156841
125383;2;3;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;08;08;256,811189156841
125383;2;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;256,811189156841
125383;2;5;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;256,811189156841
125385;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;508,582510792171
125385;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;508,582510792171
125385;1;3;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;508,582510792171
125385;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;508,582510792171
125389;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;151,949948266942
125389;1;2;2;2;2;2;1;4; ; ; ; ; ; ;1;1;06;66;66;151,949948266942
125389;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;151,949948266942
125390;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;06;08;08;949,720016391162
125390;1;2;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;08;08;949,720016391162
125390;1;3;3;2;2;2;2; ;1;12; ; ; ; ; ;1;06;08;08;949,720016391162
125392;1;1;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;50;50;195,47247986154
125392;1;3;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;50;50;195,47247986154
125393;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;186,995540739479
125393;1;4;4;2;2;2;2; ;1;7;1;2; ; ; ;1;06;54;54;186,995540739479
125393;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;54;54;186,995540739479
125395;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;1008,04196644478
125395;1;2;4;2;2;2;1;6; ; ; ; ; ; ;1;1;06;05;05;1008,04196644478
125399;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;73;73;119,348311483688
125399;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;73;73;119,348311483688
125399;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;73;73;119,348311483688
125399;1;4;5; ; ; ; ; ; ; ; ; ; ; ; ;1;06;73;73;119,348311483688
125403;1;1;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;08;08;275,532915096841
125403;1;2;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;08;08;275,532915096841
125403;1;3;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;08;08;275,532915096841
125403;1;4;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;08;08;275,532915096841
125403;1;5;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;275,532915096841
125403;1;6;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;275,532915096841
125405;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;292,136366530959
125405;1;2;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;292,136366530959
125408;1;1;4;2;2;2;1;1; ; ; ; ; ; ;1;1;06;50;50;171,19468147252
125408;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;50;50;171,19468147252
125409;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;73;73;214,677476655902
125409;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;73;73;214,677476655902
125409;1;4;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;73;73;214,677476655902
125409;1;5;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;73;73;214,677476655902
125410;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;168,36871546189
125410;1;3;2;2;2;2;1;3; ; ; ; ; ; ;1;1;06;54;54;168,36871546189
125412;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;241,56279849451
125414;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;2966,77655309202
125414;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;2966,77655309202
125422;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;50;50;174,192160147733
125422;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;50;50;174,192160147733
125423;1;1;6;1; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;829,875407668704
125423;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;829,875407668704
125427;1;1;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;73;73;137,5504299531
125427;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;73;73;137,5504299531
125427;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;73;73;137,5504299531
125427;1;4;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;73;73;137,5504299531
125429;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;155,536561128051
125429;1;2;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;08;08;155,536561128051
125434;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;132,422218807546
125434;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;132,422218807546
125434;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;132,422218807546
125445;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;369,293251883626
125445;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;369,293251883626
125445;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;369,293251883626
125445;1;5;4;2;2;2;2; ;1;10; ; ; ; ; ;1;06;66;66;369,293251883626
125445;1;7;4;2;2;2;2; ;1;13; ; ; ; ; ;1;06;66;66;369,293251883626
125445;1;8;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;369,293251883626
125448;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;08;08;1204,43574708341
125448;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;1204,43574708341
125448;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;1204,43574708341
125448;1;4;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;08;08;1204,43574708341
125449;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;263,472592742664
125452;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;3505,89575135431
125452;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;3505,89575135431
125452;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;3505,89575135431
125455;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;54;54;329,485870651476
125459;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;234,103411960169
125459;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;234,103411960169
125459;1;3;2;2;2;2;1;3; ; ; ; ; ; ;1;1;06;66;66;234,103411960169
125460;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;771,771533983204
125460;1;2;6;2;1; ; ; ; ; ; ; ; ; ; ;1;06;05;05;771,771533983204
125460;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;771,771533983204
125460;1;4;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;771,771533983204
125463;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;50;50;140,831695549672
125463;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;140,831695549672
125463;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;140,831695549672
125463;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;140,831695549672
125464;1;1;6;2;2;2;1;4; ; ; ; ; ; ;1;1;06;54;54;406,168286554663
125465;1;1;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;05;05;2728,73930346643
125466;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;400,575182601739
125466;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;400,575182601739
125466;1;3;2;2;2;2;1;4; ; ; ; ; ; ;1;1;06;54;54;400,575182601739
125466;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;400,575182601739
125466;1;5;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;54;54;400,575182601739
125470;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;749,750672011713
125470;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;749,750672011713
125473;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;2253,14968227874
125473;1;2;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;2253,14968227874
125473;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;2253,14968227874
125473;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;2253,14968227874
125473;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;2253,14968227874
125477;1;1;4;2;2;2;2; ;1;5;2; ;1;4;1;1;06;23;23;288,664378162517
125477;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;23;23;288,664378162517
125477;1;4;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;23;23;288,664378162517
125477;1;5;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;23;23;288,664378162517
125491;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;122,11074647683
125491;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;122,11074647683
125496;1;1;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;66;66;690,536389764958
125499;1;1;2;2;2;2;1;2; ; ; ; ; ; ;1;1;06;05;05;2683,24911323113
125500;1;1;5; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;614,887123440572
125501;1;1;4;2;2;2;2; ;1;13; ; ; ; ; ;1;06;23;23;81,3120729326126
125501;1;2;5; ; ; ; ; ; ; ; ; ; ; ; ;1;06;23;23;81,3120729326126
125501;1;3;5; ; ; ; ; ; ; ; ; ; ; ; ;1;06;23;23;81,3120729326126
125503;1;1;4;2;2;2;2; ;1;7;1;2; ; ; ;1;06;66;66;158,541518058281
125504;1;1;2;2;2;2;1;4; ; ; ; ; ; ;1;1;06;66;66;1004,17174225097
125504;1;2;4;2;2;2;2; ;1;7;1;2; ; ; ;1;06;66;66;1004,17174225097
125504;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;1004,17174225097
125506;1;1;4;2;2;2;2; ;1;2;1;1; ;3;1;1;06;50;50;130,972998094886
125506;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;130,972998094886
125506;1;3;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;50;50;130,972998094886
125506;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;130,972998094886
125506;1;5;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;50;50;130,972998094886
125506;1;6;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;50;50;130,972998094886
125507;1;1;4;2;2;2;2; ;1;13; ; ; ; ; ;1;06;23;23;168,102690846225
125507;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;23;23;168,102690846225
125507;1;3;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;23;23;168,102690846225
125507;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;23;23;168,102690846225
125512;1;1;5; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;386,781686497669
125512;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;386,781686497669
125512;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;386,781686497669
125514;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;440,841209676378
125514;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;50;50;440,841209676378
125515;1;1;4;2;2;2;2; ;1;2;1;2; ; ; ;1;06;50;50;135,57267445694
125515;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;135,57267445694
125515;1;3;6;2;2;2;1;2; ; ; ; ; ; ;1;1;06;50;50;135,57267445694
125515;1;4;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;50;50;135,57267445694
125515;1;5;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;50;50;135,57267445694
125515;1;6;4;2;2;2;1;1; ; ; ; ; ; ;1;1;06;50;50;135,57267445694
125515;1;7;4;2;2;2;1;1; ; ; ; ; ; ;1;1;06;50;50;135,57267445694
125517;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;366,757474089464
125517;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;366,757474089464
125519;1;1;4;2;2;2;1;2; ; ; ; ; ; ;1;1;06;52;52;179,336893552117
125519;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;52;52;179,336893552117
125520;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;2554,63751196812
125520;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;2554,63751196812
125520;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;2554,63751196812
125520;1;4;3;2;2;2;1;1; ; ; ; ; ; ;1;1;06;05;05;2554,63751196812
125521;1;1;2;2;2;2;1;2; ; ; ; ; ; ;1;1;06;66;66;373,141900698723
125521;1;2;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;373,141900698723
