DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;clase;MES;DSI;DSCY;RAMA4D_D_R4;RAMA2D_D_R4;OFICIO1;OFICIO2;DPTO;fex_c_2011
5173548;1;3;1;70;1;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;877803; ; ;2;06;1;1;.; ;45; ;76;2868,2014234155
5173550;1;1;1;70;10;48;1; ;2;2;8; ;3;2;7; ; ; ; ; ; ; ; ; ; ;1;1;200000;877803;2; ;2;06;1;1;0123;01;97;62;76;5210,37798893324
5173786;1;3;1;70;12;48;4; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877000;2; ;2;06;1;1;8121;81;54;54;41;2877,45768563635
5173794;1;3;1;70;12;48;4; ;2;12;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;2;06;1;1;4111;41;95;95;41;2877,45768563635
5173820;1;3;1;70;4;30;4; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;2;06;1;1;9602;96;57;57;41;701,818947716183
5173826;1;3;1;70;28;48;1; ;2;20;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;06;1;2;4921;49;33;33;52;3049,88855889577
5173896;1;1;1;70;16;50;1; ;2;16;1; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;1;150000;1500000;2; ;2;06;1;2;4111;41;95;95;52;5366,99149056997
5173902;1;2;1;70;52;30;4; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;2;06;1;2;0161;01;61;61;52;4472,64853623872
5173913;1;1;1;70;8;40;4; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;2;06;1;1;0161;01;61;61;52;1810,62738583433
5173924;1;1;1;70;4;50;4; ;2;4;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;2;06;1;1;0161;01;61;61;52;5385,39404249977
5173939;1;1;1;70;6;36;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;2;06;1;1;4921;49;62;98;23;6728,38535976123
5173951;1;1;1;70;24;40;1; ;2;12;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;2;06;1;2;5590;55;13;54;23;4371,88382563354
5174010;1;2;1;70;8;50;4; ;2;9;4; ;2;2;4; ; ; ; ; ; ; ;1; ; ; ;2; ;600000;2; ;2;06;1;1;4711;47;41;41;44;588,150688953603
5174042;1;1;1;70;20;50;4; ;2;20;4; ;2;2;6; ; ; ; ; ; ; ;1; ; ; ;2; ;300000;2; ;2;06;1;2;4921;49;95;36;44;653,159594033819
5174053;1;4;1;70;4;48;4; ;2;4;4; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;800000;2; ;2;06;1;1;4290;42;95;95;44;414,860936288203
5174061;1;2;1;70;12;50;4; ;2;12;4; ;3;2;4; ; ; ; ; ; ; ;1; ; ; ;2; ;600000;2; ;2;06;1;1;4111;41;95;95;44;439,023866895967
5174061;1;12;1;70;108;40;3; ;2;108;3; ;1;2;4; ; ; ; ; ; ; ;1; ; ; ;2; ;400000;2; ;2;06;1;2;9700;97;54;54;44;439,023866895967
5174180;1;2;1;70;8;42;8; ;2;8;8; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;2;06;1;1;0113;01;62;62;47;2619,28684664275
5174253;1;8;1;70;24;48;8; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;06;1;2;4721;47;97;45;47;1915,05886074865
5174253;1;9;1;70;4;48;1; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;06;1;1;4752;47;53;97;47;1915,05886074865
5174332;1;1;1;70;3;46;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;150000;450000;2; ;2;06;1;1;0161;01;61;61;54;613,818210221196
5174332;1;3;1;70;2;48;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;120000;700000;2; ;2;06;1;1;0161;01;61;61;54;613,818210221196
5174356;1;1;1;70;8;54;1; ;2;8;1; ;9;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;2;06;1;1;4210;42;62;62;54;529,764962154363
5174357;1;1;1;70;2;48;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;250000;600000;2; ;2;06;1;1;0123;01;61;61;54;476,32119840959
5174362;1;1;1;70;12;40;4; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;2;06;1;1;7490;74;39;39;54;476,32119840959
5174362;1;2;1;70;106;40;1; ;2;106;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;2;06;1;2;8412;84;39;30;54;476,32119840959
5174365;1;3;1;70;6;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;2;06;1;1;.; ;03; ;54;1756,44166122162
