directorio;secuencia_p;orden;P6240;P6250;P6260;P6270;P6280;P6290;P6300;P6310;P6320;P6330;P6340;P6350;P6351;Ft;Mes;Area;clase;DPTO;Fex_c_2011
120463;1;1;4;2;2;2;2; ;1;13; ; ; ; ; ;1;06;19;1;19;180,421039350354
120463;1;2;4;2;2;2;2; ;1;13; ; ; ; ; ;1;06;19;1;19;180,421039350354
120463;1;3;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;19;1;19;180,421039350354
120464;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;19;1;19;92,0037665844167
120468;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;1;68;1210,94775597409
120468;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;68;1;68;1210,94775597409
120469;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;63;1;63;113,955394709495
120469;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;63;1;63;113,955394709495
120469;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;63;1;63;113,955394709495
120471;1;1;4;2;2;2;2; ;1;13; ; ; ; ; ;1;06;63;1;63;113,453240386638
120471;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;63;1;63;113,453240386638
120472;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;63;1;63;155,985426423444
120472;1;2;3;2;2;2;2; ;1;12; ; ; ; ; ;1;06;63;1;63;155,985426423444
120473;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;63;1;63;206,256814417589
120473;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;63;1;63;206,256814417589
120473;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;63;1;63;206,256814417589
120473;1;5;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;63;1;63;206,256814417589
120474;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;63;1;63;230,648158696745
120474;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;63;1;63;230,648158696745
120474;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;63;1;63;230,648158696745
120475;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;06;68;1;68;539,208591664807
120475;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;1;68;539,208591664807
120476;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;1;68;1122,45085877787
120476;1;2;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;1;68;1122,45085877787
120476;1;3;4;2;2;2;1;1; ; ; ; ; ; ;1;1;06;68;1;68;1122,45085877787
120477;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;63;1;63;290,454444663097
120477;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;63;1;63;290,454444663097
120477;1;5;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;63;1;63;290,454444663097
120478;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;76;1;76;794,93233632723
120479;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;68;1;68;561,781845764265
120479;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;68;1;68;561,781845764265
120480;1;1;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;19;1;19;135,12337363158
120480;1;2;4;2;2;2;1;1; ; ; ; ; ; ;1;1;06;19;1;19;135,12337363158
120480;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;19;1;19;135,12337363158
120483;1;1;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;76;1;76;1082,68164574158
120483;1;2;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;76;1;76;1082,68164574158
120483;1;3;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;76;1;76;1082,68164574158
120483;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;76;1;76;1082,68164574158
120484;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;68;1;68;670,634351989767
120484;1;2;4;2;2;1; ; ; ; ; ; ; ; ; ;1;06;68;1;68;670,634351989767
120484;1;3;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;1;68;670,634351989767
120484;1;4;3;2;2;1; ; ; ; ; ; ; ; ; ;1;06;68;1;68;670,634351989767
120485;1;1;4;2;2;2;1;1; ; ; ; ; ; ;1;1;06;19;1;19;99,4544985196111
120486;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;68;1;68;532,834797531139
120488;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;63;1;63;331,440481855558
120488;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;63;1;63;331,440481855558
120489;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;68;1;68;551,260860422141
120489;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;68;1;68;551,260860422141
120489;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;68;1;68;551,260860422141
120489;1;4;3;2;2;2;2; ;1;12; ; ; ; ; ;1;06;68;1;68;551,260860422141
120489;1;5;6;1; ; ; ; ; ; ; ; ; ; ; ;1;06;68;1;68;551,260860422141
120492;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;1;68;585,718131618528
120492;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;1;68;585,718131618528
120492;1;3;4;2;2;2;1;3; ; ; ; ; ; ;1;1;06;68;1;68;585,718131618528
120492;1;4;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;68;1;68;585,718131618528
120492;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;68;1;68;585,718131618528
120492;1;6;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;1;68;585,718131618528
