directorio;secuencia_p;orden;P7430;P7440;P7450;ini;mes;area;dpto;fex_c_2011
120618;1;1;1;1,2;7;1;06;73;73;323,741404245345
120618;1;2;1;4;3;1;06;73;73;323,741404245345
120619;1;1;1;1,2;1;1;06;73;73;411,093121250746
120619;1;3;2; ; ;1;06;73;73;411,093121250746
120620;1;2;1;4;4;1;06;68;68;404,954247313568
120620;1;3;2; ; ;1;06;68;68;404,954247313568
120625;1;1;1;3;5;1;06;68;68;408,288406246101
120625;1;4;1;1,3;7;1;06;68;68;408,288406246101
120629;1;2;2; ; ;1;06;76;76;1161,79365856877
120635;1;3;2; ; ;1;06;76;76;937,564388532785
120637;1;1;1;4;3;1;06;68;68;556,516344088079
120639;1;3;2; ; ;1;06;17;17;196,751466444838
120641;1;3;1;4;5;1;06;50;50;119,803886706214
120645;1;1;1;4;5;1;06;68;68;172,087848403662
120645;1;2;1;4;3;1;06;68;68;172,087848403662
120648;1;3;2; ; ;1;06;17;17;108,58720007691
120648;1;4;2; ; ;1;06;17;17;108,58720007691
120649;1;3;1;1,3;1;1;06;68;68;554,714861167783
120649;1;7;1;4;3;1;06;68;68;554,714861167783
120649;1;9;1;4;4;1;06;68;68;554,714861167783
120652;1;1;1;4;9;1;06;68;68;183,25711319458
120652;1;4;2; ; ;1;06;68;68;183,25711319458
120653;1;1;1;1,3;3;1;06;17;17;228,631048870777
120654;1;2;1;3;3;1;06;13;13;207,442157300193
120662;1;1;1;3;5;1;06;13;13;240,974720969988
120662;1;2;1;3;3;1;06;13;13;240,974720969988
120662;1;5;2; ; ;1;06;13;13;240,974720969988
120667;1;2;1;1,2;9;1;06;23;23;86,710056550628
120668;1;2;1;1,3;8;1;06;23;23;186,341749853997
120668;1;3;2; ; ;1;06;23;23;186,341749853997
120669;1;2;1;4;6;1;06;11;11;1249,38976878268
120671;1;2;1;1,3;9;1;06;23;23;311,479096186962
120676;1;1;1;1,2;9;1;06;23;23;97,1480421423117
120676;1;2;1;1,2;9;1;06;23;23;97,1480421423117
120676;1;4;1;4;4;1;06;23;23;97,1480421423117
120677;1;2;1;1,2;6;1;06;68;68;202,952186617801
120680;1;2;2; ; ;1;06;13;13;185,995711695347
120680;1;3;2; ; ;1;06;13;13;185,995711695347
120680;1;4;2; ; ;1;06;13;13;185,995711695347
120688;1;1;1;4;3;1;06;23;23;112,469940340013
120689;1;1;1;4;4;1;06;11;11;1211,22306321705
120689;1;2;1;4;4;1;06;11;11;1211,22306321705
120689;1;3;2; ; ;1;06;11;11;1211,22306321705
120689;1;4;1;4;3;1;06;11;11;1211,22306321705
120694;1;1;2; ; ;1;06;23;23;101,286646986838
120694;1;3;2; ; ;1;06;23;23;101,286646986838
120696;1;1;1;3;3;1;06;17;17;226,027177473085
120696;1;5;2; ; ;1;06;17;17;226,027177473085
120696;1;6;1;4;4;1;06;17;17;226,027177473085
120698;1;2;2; ; ;1;06;23;23;352,49664197242
120699;1;2;1;1,3;3;1;06;13;13;201,693726328284
120703;1;1;1;4;5;1;06;11;11;4170,81830088594
120704;1;1;1;4;3;1;06;66;66;212,229045122994
120704;1;3;1;1,4;2;1;06;66;66;212,229045122994
120704;1;4;2; ; ;1;06;66;66;212,229045122994
120704;1;5;2; ; ;1;06;66;66;212,229045122994
120705;1;1;1;4;4;1;06;50;50;164,463178736233
120705;1;2;1;4;4;1;06;50;50;164,463178736233
120705;1;3;1;1,3;7;1;06;50;50;164,463178736233
120705;1;4;1;1,3;7;1;06;50;50;164,463178736233
120707;1;1;1;1,2;5;1;06;76;76;980,690886108339
120708;1;1;1;4;3;1;06;23;23;161,682964875024
120708;1;2;1;4;3;1;06;23;23;161,682964875024
120708;1;3;2; ; ;1;06;23;23;161,682964875024
120711;1;3;2; ; ;1;06;17;17;196,751466444838
120714;1;1;1;3;5;1;06;13;13;196,055324210959
120716;1;1;1;4;5;1;06;76;76;720,754030635204
120722;1;1;1;3;8;1;06;23;23;104,926941575713
120722;1;2;1;1,3;9;1;06;23;23;104,926941575713
120722;1;3;1;1,2;9;1;06;23;23;104,926941575713
120722;1;4;1;1,1;1;1;06;23;23;104,926941575713
120724;1;2;1;4;5;1;06;66;66;157,676569315371
120726;1;3;2; ; ;1;06;23;23;321,390093618042
120726;1;4;2; ; ;1;06;23;23;321,390093618042
120730;1;2;1;3;5;1;06;13;13;196,73385120976
120730;1;4;2; ; ;1;06;13;13;196,73385120976
120731;1;1;2; ; ;1;06;23;23;197,652217270031
120732;1;1;1;4;7;1;06;50;50;208,632063068711
120732;1;2;1;4;4;1;06;50;50;208,632063068711
120735;1;1;1;4;6;1;06;13;13;187,537964350353
120735;1;3;1;3;4;1;06;13;13;187,537964350353
120737;1;1;1;4;5;1;06;73;73;206,931302432031
120739;1;2;1;2;3;1;06;66;66;206,217238491429
120744;1;3;2; ; ;1;06;17;17;83,4994028326874
120746;1;1;2; ; ;1;06;17;17;160,559452891063
120746;1;2;1;4;5;1;06;17;17;160,559452891063
120748;1;1;1;2;2;1;06;11;11;1088,1254184603
120748;1;3;1;4;6;1;06;11;11;1088,1254184603
120749;1;2;2; ; ;1;06;11;11;1309,60056869388
120749;1;3;2; ; ;1;06;11;11;1309,60056869388
120749;1;4;1;3;2;1;06;11;11;1309,60056869388
120750;1;1;1;4;5;1;06;13;13;196,055324210959
120750;1;2;2; ; ;1;06;13;13;196,055324210959
120751;1;4;2; ; ;1;06;05;05;318,510121515997
120756;1;1;1;4;4;1;06;23;23;206,795437388427
120757;1;1;1;3;7;1;06;23;23;159,042383412872
120757;1;2;1;1,2;9;1;06;23;23;159,042383412872
120757;1;5;2; ; ;1;06;23;23;159,042383412872
120760;1;2;1;4;3;1;06;08;08;281,154499069394
120760;1;4;2; ; ;1;06;08;08;281,154499069394
120760;1;6;1;4;4;1;06;08;08;281,154499069394
120760;1;8;2; ; ;1;06;08;08;281,154499069394
120760;1;9;1;2;4;1;06;08;08;281,154499069394
120760;1;11;1;1,3;4;1;06;08;08;281,154499069394
120761;1;1;1;1,2;8;1;06;17;17;159,502855549865
120761;1;2;1;4;8;1;06;17;17;159,502855549865
120764;1;3;2; ; ;1;06;17;17;139,87325180554
120765;1;1;1;4;3;1;06;50;50;215,598811834771
120765;1;3;2; ; ;1;06;50;50;215,598811834771
120766;1;2;2; ; ;1;06;50;50;146,732661087549
120766;1;3;2; ; ;1;06;50;50;146,732661087549
120767;1;3;1;2;8;1;06;08;08;402,223268296899
120769;1;1;1;2;5;1;06;11;11;1196,77999908341
120769;1;2;1;4;3;1;06;11;11;1196,77999908341
120774;1;1;1;4;5;1;06;13;13;281,528642050262
120774;1;2;2; ; ;1;06;13;13;281,528642050262
120775;1;1;1;4;3;1;06;05;05;921,582851264305
120776;1;2;2; ; ;1;06;17;17;161,057183796095
120778;1;2;1;3;3;1;06;13;13;196,273003574406
120778;1;3;2; ; ;1;06;13;13;196,273003574406
120778;1;4;2; ; ;1;06;13;13;196,273003574406
120781;1;2;1;4;3;1;06;11;11;1443,42274630699
