directorio;secuencia_p;orden;P7250;P7310;P7320;OFICIO2;RAMA2D_D_r4;RAMA4D_D_r4;P7350;P7360;dsi;mes;area;dpto;fex_c_2011
120476;1;3;23;2;23;45;47;4771;1;2;1;06;68;68;1122,45085877787
120480;1;1;12;2;12;53;56;5619;4;3;1;06;19;19;135,12337363158
120480;1;2;12;2;12;59;92;9200;1;5;1;06;19;19;135,12337363158
120483;1;1;3;2;8;03;95;9522;4;2;1;06;76;76;1082,68164574158
120483;1;2;4;2;8;45;56;5619;4;1;1;06;76;76;1082,68164574158
120483;1;3;2;2;8;84;95;9522;4;2;1;06;76;76;1082,68164574158
120485;1;1;12;2;144;55;81;8121;4;1;1;06;19;19;99,4544985196111
120492;1;3;24;2;24;45;46;4631;1;4;1;06;68;68;585,718131618528
120497;1;6;17;2;17;39;55;5511;1;3;1;06;47;47;53,6973132517339
120514;1;2;24;2;24;45;47;4792;4;1;1;06;47;47;145,809517657281
120517;1;2;3;2;8;95;41;4112;4;1;1;06;76;76;1719,58012755619
120517;1;3;4;2;6;57;96;9602;4;1;1;06;76;76;1719,58012755619
120518;1;1;12;2;12;36;49;4921;1;2;1;06;17;17;42,9854383597514
120518;1;3;16;2;16;53;56;5611;1;3;1;06;17;17;42,9854383597514
120518;1;4;16;2;16;53;56;5611;1;3;1;06;17;17;42,9854383597514
120523;1;2;208;2;208;12;69;6910;1;2;1;06;47;47;112,412234042553
120524;1;3;8;2;11;81;16;1690;1;2;1;06;19;19;103,552672006929
120532;1;2;22;2;23;45;47;4711;1;9;1;06;68;68;576,79979137212
120541;1;1;6;2;12;45;47;4711;1;3;1;06;47;47;172,800833141937
120541;1;2;4;2;12;45;47;4754;1;6;1;06;47;47;172,800833141937
120543;1;1;10;2;12;02;71;7110;4;1;1;06;17;17;121,008021588231
120544;1;6;12;2;12;45;56;5619;4;2;1;06;19;19;40,8191769047977
120554;1;2;5;2;24;45;47;4752;6;2;1;06;05;05;2439,66488511748
120559;1;2;4;2;12;44;56;5621;1;3;1;06;68;68;380,717911781501
120561;1;1;11;2;12;49;55;5511;4;1;1;06;17;17;114,238581382415
120562;1;1;10;2;12;45;10;1089;1;9;1;06;73;73;540,059243059004
120562;1;2;12;2;14;53;56;5611;1;3;1;06;73;73;540,059243059004
120562;1;6;8;2;10;03;95;9511;1;3;1;06;73;73;540,059243059004
120568;1;1;8;2;28;97;82;8292;1;8;1;06;11;11;2533,70693671901
120570;1;4;12;2;12;80;15;1522;1;9;1;06;17;17;64,577029132214
120572;1;2;22;1; ; ; ; ; ; ;1;06;47;47;58,9966389078409
120587;1;2;10;1; ; ; ; ; ; ;1;06;19;19;83,0502207980062
120591;1;2;10;2;8;95;41;4111;4;1;1;06;73;73;455,385295942739
120598;1;3;24;1; ; ; ; ; ; ;1;06;47;47;96,3398373091076
120598;1;4;24;1; ; ; ; ; ; ;1;06;47;47;96,3398373091076
120607;1;1;4;2;4;03;61;6110;1;9;1;06;23;23;205,457670212118
120614;1;1;8;2;10;55;81;8121;4;1;1;06;47;47;105,677860574566
120614;1;3;4;2;12;98;49;4921;4;1;1;06;47;47;105,677860574566
120614;1;4;4;2;12;55;81;8121;4;1;1;06;47;47;105,677860574566
120615;1;3;3;2;6;89;47;4752;4;1;1;06;73;73;380,53009920338
120619;1;2;12;2;12;95;42;4210;1;9;1;06;73;73;411,093121250746
120625;1;2;12;2;13;98;49;4921;1;2;1;06;68;68;408,288406246101
120632;1;1;16;2;72;97;47;4711;1;9;1;06;44;44;61,7189114733645
120634;1;3;12;2;15;97;47;4752;1;4;1;06;50;50;170,632510368315
120638;1;1;8;2;8;59;86;8699;4;6;1;06;44;44;57,4526344889387
120639;1;1;14;2;14;95;42;4210;5;4;1;06;17;17;196,751466444838
120642;1;1;6;2;12;93;45;4520;4;2;1;06;68;68;571,569818553875
120642;1;2;6;2;12;53;56;5611;1;3;1;06;68;68;571,569818553875
120642;1;4;4;2;12;80;15;1521;1;4;1;06;68;68;571,569818553875
120649;1;8;998;2;54;95;41;4111;1;2;1;06;68;68;554,714861167783
120658;1;1;12;2;12;13;85;8530;1;6;1;06;23;23;168,556573807094
120659;1;1;24;2;24;02;84;8412;2;9;1;06;19;19;74,9227058210974
120662;1;3;26;2;26;98;49;4921;1;7;1;06;13;13;240,974720969988
120662;1;7;26;2;26;33;55;5511;1;7;1;06;13;13;240,974720969988
120665;1;2;10;2;10;19;88;8890;1;6;1;06;44;44;51,9122243071151
120666;1;1;8;2;12;98;49;4921;4;1;1;06;17;17;133,428843099551
120673;1;3;20;2;20;39;69;6910;4;9;1;06;50;50;189,693093065425
120675;1;1;120;2;150;97;23;2394;1;9;1;06;13;13;500,833638929758
120677;1;3;2;2;8;33;47;4711;1;9;1;06;68;68;202,952186617801
120677;1;4;1;1; ; ; ; ; ; ;1;06;68;68;202,952186617801
120680;1;1;52;2;52;13;85;8530;1;5;1;06;13;13;185,995711695347
120690;1;1;20;2;20;03;09;0990;1;9;1;06;41;41;188,428334115477
120706;1;1;2;2;2;39;84;8424;2;4;1;06;19;19;184,583648764531
120711;1;2;10;2;15;12;69;6910;4;2;1;06;17;17;196,751466444838
120724;1;1;13;2;15;12;69;6910;4;9;1;06;66;66;157,676569315371
120728;1;2;3;1; ; ; ; ; ; ;1;06;23;23;165,218522290904
120731;1;2;8;2;8;95;41;4111;5;2;1;06;23;23;197,652217270031
120731;1;3;16;1; ; ; ; ; ; ;1;06;23;23;197,652217270031
120735;1;4;32;2;32;11;78;7810;1;6;1;06;13;13;187,537964350353
120739;1;3;10;2;15;21;84;8412;4;9;1;06;66;66;206,217238491429
120739;1;5;20;2;20;12;84;8412;4;9;1;06;66;66;206,217238491429
120739;1;6;15;1; ; ; ; ; ; ;1;06;66;66;206,217238491429
120745;1;2;10;2;10;45;47;4774;1;2;1;06;08;08;282,048436605133
120751;1;2;16;2;16;80;15;1522;1;7;1;06;05;05;318,510121515997
120751;1;3;16;2;16;03;73;7310;1;4;1;06;05;05;318,510121515997
120753;1;3;24;2;24;59;84;8413;4;9;1;06;63;63;66,8323578933855
120763;1;2;45;2;45;37;61;6110;1;6;1;06;11;11;2111,34916943939
120764;1;2;11;2;10;53;56;5611;1;3;1;06;17;17;139,87325180554
120768;1;2;5;2;24;33;86;8610;1;8;1;06;23;23;265,21335170755
120773;1;2;12;2;156;39;46;4659;1;9;1;06;11;11;1204,70801580511
120782;1;1;12;2;12;39;73;7310;4;1;1;06;70;70;57,8903346597623
120789;1;2;20;2;20;97;46;4631;1;9;1;06;05;05;917,866917986951
120790;1;4;12;2;12;13;85;8553;1;5;1;06;11;11;638,492935068472
120798;1;1;8;2;9;44;47;4752;1;7;1;06;47;47;172,800833141937
120798;1;2;4;2;9;44;47;4759;1;9;1;06;47;47;172,800833141937
120804;1;2;4;2;40;38;61;6110;1;9;1;06;17;17;265,600166841655
120809;1;2;9;2;13;33;31;3110;1;9;1;06;63;63;162,188342552705
120812;1;2;12;2;24;97;42;4210;1;9;1;06;13;13;283,490460854313
120816;1;3;24;2;48;39;84;8415;2;9;1;06;47;47;105,677860574566
120816;1;5;10;2;12;40;47;4772;1;8;1;06;47;47;105,677860574566
120825;1;1;10;2;10;55;55;5511;1;4;1;06;05;05;1010,26178896403
120825;1;2;4;2;8;85;43;4321;1;5;1;06;05;05;1010,26178896403
120826;1;1;2;2;2;59;88;8810;4;1;1;06;23;23;73,2310920804609
120826;1;3;22;2;24;53;56;5619;1;4;1;06;23;23;73,2310920804609
120830;1;2;12;2;12;98;49;4921;4;1;1;06;70;70;113,113005569954
120832;1;1;3;2;11;45;47;4792;4;1;1;06;19;19;51,8844235718914
120843;1;2;10;2;12;44;79;7911;4;4;1;06;13;13;322,16578549602
120845;1;2;4;2;11;95;41;4112;1;2;1;06;19;19;71,5984704085689
120845;1;4;5;2;5;34;64;6412;1;7;1;06;19;19;71,5984704085689
120848;1;2;30;2;30;45;47;4782;4;1;1;06;44;44;206,76082448089
120851;1;4;3;2;12;95;42;4210;1;7;1;06;05;05;763,032691799546
120863;1;1;8;2;12;41;47;4771;4;4;1;06;19;19;93,6915138894421
120865;2;1;2;2;10;53;56;5619;1;2;1;06;68;68;384,014460532176
120866;1;1;16;2;16;21;82;8299;1;9;1;06;11;11;935,710692759646
120867;1;1;12;2;13;44;79;7911;1;6;1;06;68;68;670,294164214278
120884;1;2;8;1; ; ; ; ; ; ;1;06;23;23;650,851374025035
120887;1;1;16;2;18;12;84;8412;4;9;1;06;63;63;222,375677791805
120898;1;2;4;2;15;85;41;4111;1;7;1;06;63;63;176,263162548031
120898;1;3;2;2;10;53;56;5611;4;1;1;06;63;63;176,263162548031
120899;1;1;2;2;24;39;64;6412;4;4;1;06;19;19;177,255963662682
120901;1;1;12;2;12;59;97;9700;3;1;1;06;63;63;78,2265747674845
120923;1;1;4;2;8;21;45;4520;1;6;1;06;11;11;1243,71199321815
120924;1;4;3;2;14;54;55;5511;4;1;1;06;63;63;35,774491949632
120925;1;1;11;2;11;80;15;1522;4;3;1;06;11;11;2960,60075379729
120929;1;2;52;2;52;21;84;8413;4;9;1;06;27;27;30,8830730918149
120937;1;1;12;2;12;53;56;5611;1;4;1;06;73;73;209,61479766279
120937;1;2;12;2;12;97;52;5224;4;1;1;06;73;73;209,61479766279
120941;1;2;8;2;8;97;47;4721;1;2;1;06;66;66;660,891821218306
120954;1;2;4;2;16;95;43;4330;4;1;1;06;63;63;152,304010298663
120955;1;1;12;2;12;95;41;4112;4;1;1;06;63;63;138,878046116871
120955;1;3;20;2;20;53;56;5619;1;7;1;06;63;63;138,878046116871
120957;1;1;4;2;16;95;41;4111;1;3;1;06;18;18;67,310662849401
120957;1;2;3;2;10;54;97;9700;3;2;1;06;18;18;67,310662849401
120963;1;1;12;2;12;87;25;2592;4;1;1;06;73;73;132,274155358254
120964;1;2;4;1; ; ; ; ; ; ;1;06;76;76;491,007485495386
120967;1;5;12;2;12;45;17;1701;1;9;1;06;76;76;974,20907213258
120970;1;2;2;2;11;45;47;4771;1;6;1;06;11;11;1218,38950418591
120971;1;1;12;2;12;45;47;4721;1;2;1;06;73;73;178,947276704996
120971;1;2;8;1; ; ; ; ; ; ;1;06;73;73;178,947276704996
120973;1;2;8;1; ; ; ; ; ; ;1;06;11;11;2855,53881424312
120981;1;2;3;2;7;84;45;4520;4;1;1;06;76;76;717,597883712155
120983;1;1;28;2;28;53;56;5619;1;4;1;06;13;13;329,752232215761
120984;1;2;4;2;4;12;69;6910;4;1;1;06;63;63;238,838880132694
120993;1;1;4;2;4;97;46;4631;1;9;1;06;73;73;90,2623782470702
121000;1;2;4;2;12;54;81;8121;4;1;1;06;15;15;103,081333336512
121002;1;1;16;2;16;13;85;8530;4;9;1;06;41;41;107,514290530185
121009;1;3;8;2;13;98;49;4921;1;9;1;06;11;11;1251,3786660031
121010;1;1;5;2;11;58;56;5630;4;1;1;06;47;47;103,778296794689
121015;1;1;12;2;12;95;41;4111;4;1;1;06;66;66;183,822629104905
121022;1;1;12;2;12;39;78;7810;1;9;1;06;41;41;125,485157312166
121027;1;1;12;2;12;55;97;9700;3;1;1;06;73;73;128,715365849616
121033;1;1;8;2;9;44;45;4541;1;9;1;06;73;73;96,4449011919506
121034;1;1;20;2;15;45;56;5619;4;2;1;06;27;27;48,1510279388511
121044;1;1;12;2;12;93;43;4330;4;1;1;06;73;73;93,904707519441
