DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4238747;1;2;1;70;2;4;24;4; ;2;4;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;300000;54;92;17;1;1;1730;01;05;1324,59105271093
4238749;1;2;1;70;2;3;48;1; ;2;3;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;1;980000;45;89;26;1;1;2610;01;05;1851,90012811138
4238755;1;2;1;70;2;1;48;1; ;2;12;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;59;45;52;1;1;5219;01;05;628,799295332114
4238802;1;2;1;70;2;8;48;3; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;61;01;1;1;0111;01;05;3950,18290887006
4240161;1;3;1;70;2;10;48;1; ;2;10;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;58;61;01;1;1;0116;01;76;4230,33568909674
4240163;1;1;1;70;2;3;20;4; ;2;3;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;53;55;1;1;5521;01;76;3766,57667300659
4240163;1;2;1;70;2;4;60;8; ;2;6;1; ;8;2;3; ; ; ; ; ; ; ; ; ; ;1;1;500000;62;62;01;1;1;0123;01;76;3766,57667300659
4240172;1;3;1;70;2;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;01;76;1981,66647346695
4240196;1;2;1;70;2;8;48;1; ;2;8;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;59;59;85;1;1;8512;01;13;1480,91398036249
4240212;1;3;1;70;2;4;48;1; ;2;8;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1000000;45;45;52;1;1;5233;01;13;1882,66414308908
4240223;1;2;1;70;2;4;48;1; ;2;8;9;T;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;13;13;80;1;1;8012;01;13;1464,68037504683
4240239;1;3;1;70;2;4;40;1; ;2;9;1; ;4;2;8; ; ; ; ; ; ; ; ; ; ;1;1;300000;39;13;85;1;1;8532;01;13;1403,35345071842
4240272;1;2;1;70;2;12;48;1; ;2;25;2; ;9;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;59;59;85;1;1;8511;01;13;1411,09893566673
4243548;1;3;1;70;2;2;48;1; ;2;2;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;689454;53;53;55;1;1;5511;01;68;5159,42116086352
4243549;1;3;1;70;2;4;48;8; ;2;4;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;250000;62;62;01;1;1;0114;01;68;3140,03684160353
4243789;1;3;1;70;2;6;40;3; ;2;36;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;53;55;1;1;5529;01;70;1060,78403515086
4243793;1;3;1;70;2;3;48;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;250000;17;93;45;1;1;4552;01;70;1060,78403515086
4243793;1;4;1;70;2;5;40;3; ;2;6;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;1;9500;01;70;1060,78403515086
4243793;1;5;1;70;2;5;48;1; ;2;7;2; ;9;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;59;59;85;1;1;8511;01;70;1060,78403515086
4243799;1;1;1;70;2;3;48;4; ;2;4;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;450000;95;62;01;1;1;0121;01;70;2036,26392816396
4243836;1;6;1;70;2;2;36;3; ;2;999;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;1;9500;01;70;3824,77366852654
4243926;1;7;1;70;2;13;45;1; ;2;13;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;77;55;1;1;5529;01;76;1981,66647346695
4243931;1;2;1;70;2;3;54;8; ;2;3;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;650000;62;62;01;1;1;0117;01;76;1981,66647346695
4243931;1;3;1;70;2;156;40;1; ;2;28;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;60000;34;55;85;1;2;8512;01;76;1981,66647346695
4243959;1;2;1;70;2;1;35;1; ;2;260;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;45;54;95;1;1;9500;01;76;1953,29547721845
4243976;1;4;1;70;2;20;24;3; ;2;416;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;2;9500;01;17;1251,98356507697
4244046;1;1;1;70;2;5;50;1; ;2;7;1; ;2;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;60;60;01;1;1;0121;01;18;736,245201347255
4244067;1;2;1;70;2;4;48;1; ;2;167;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;45;52;1;1;5219;01;18;1063,42911775183
4244179;1;1;1;70;2;2;40;3; ;2;58;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;41;55;1;1;5529;01;19;557,015870011921
4244180;1;3;1;70;2;2;40;1; ;2;3;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;240000;97;97;15;1;1;1542;01;19;2228,06348004768
4244188;1;3;1;70;2;4;48;8; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;62; ; ;1;1; ;01;19;1744,37914029478
4245494;1;5;1;70;2;16;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;97; ; ;1;2; ;01;19;557,015870011921
4245496;1;5;1;70;2;20;48;1; ;2;1;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;39;79;18;1;2;1810;01;19;557,015870011921
4245508;1;2;1;70;2;16;40;4; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;61;61;01;1;2;0140;01;19;1244,48376041439
4245510;1;1;1;70;2;3;40;4; ;2;30;4; ;1;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;61;61;01;1;1;0140;01;19;557,015870011921
4245526;1;2;1;70;2;2;48;1; ;2;1;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;1;689455;13;13;85;1;1;8532;01;19;557,015870011921
4245529;1;2;1;70;2;4;40;1; ;2;4;4; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;61;01;1;1;0140;01;19;1339,08819645006
4245561;1;5;1;70;2;3;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;1; ;01;19;677,476401628081
4245565;1;4;1;70;2;52;40;4; ;2;60;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;03;58;75;1;2;7522;01;19;2228,06348004768
4245571;1;2;1;70;2;4;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ;1; ; ; ;1;98;77;77;75;1;1;7513;01;19;2228,06348004768
4245593;1;4;1;70;2;52;40;1; ;2;104;2; ;9;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;03;39;75;1;2;7512;01;19;2228,06348004768
4245596;1;7;1;70;2;4;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;700000;58;58;74;1;1;7492;01;19;557,015870011921
4245603;1;1;1;70;2;3;64;8; ;2;4;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;510000;62;62;01;1;1;0115;01;20;639,581948040433
4245603;1;3;1;70;2;20;49;3; ;2;40;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;2;9500;01;20;639,581948040433
4245608;1;2;1;70;2;1;40;1; ;2;1;1; ;4;2;1; ; ;1; ; ; ; ; ; ; ; ;1;668000;54;54;85;1;1;8532;01;20;1291,69523011891
4245608;1;3;1;70;2;8;40;1; ;2;8;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;77;95;45;1;1;4521;01;20;1291,69523011891
4245609;1;1;1;70;2;6;49;2; ;2;300;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;13;13;80;1;1;8044;01;20;786,509995358081
4245616;1;3;1;70;2;3;40;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;01;20;2205,10925872251
4245676;1;4;1;70;2;8;48;1; ;2;100;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5233;01;20;1838,50333744292
4245679;1;2;1;70;2;4;50;1; ;2;6;4; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;1;180000;95;95;45;1;1;4522;01;20;798,346263406055
4245683;1;1;1;70;2;2;40;1; ;2;2;1; ;7;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;39;54;85;1;1;8532;01;20;1001,5098178168
4245683;1;3;1;70;2;6;48;4; ;2;4;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;450000;41;53;55;1;1;5521;01;20;1001,5098178168
4245684;1;1;1;70;2;2;56;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;55; ; ;1;1; ;01;20;1112,57834858066
4245684;1;3;1;70;2;5;56;1; ;2;48;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;58;58;50;1;1;5051;01;20;1112,57834858066
4245696;1;1;1;70;2;2;48;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;57; ; ;1;1; ;01;20;946,452376223305
4245697;1;3;1;70;2;3;48;4; ;2;3;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;1;250000;95;95;45;1;1;4522;01;20;459,625834360731
4245703;1;1;1;70;2;8;48;4; ;2;8;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;1;4521;01;20;964,538797971486
4245706;1;2;1;70;2;2;40;3; ;2;250;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;53;55;1;1;5521;01;20;1098,67144990313
4245714;1;1;1;70;2;8;48;1; ;2;8;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;119000;53;97;63;1;1;6310;01;20;1062,38977316867
4245715;1;1;1;70;2;4;48;1; ;2;5;1; ;4;2;3; ; ; ; ; ; ;1; ; ; ; ;2; ;19;19;85;1;1;8532;01;20;755,913640213608
4245718;1;4;1;70;2;52;48;1; ;2;104;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;32;32;80;1;2;8060;01;20;459,625834360731
4245726;1;1;1;70;2;4;48;1; ;2;4;1; ;8;2;7; ; ; ; ; ; ; ; ; ; ;1;1;500000;95;95;45;1;1;4530;01;20;611,180221054395
4245731;1;4;1;70;2;4;56;1; ;2;8;8; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;62;62;01;1;1;0115;01;20;1026,17465864228
4245731;1;6;1;70;2;24;56;8; ;2;48;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;62;62;01;1;2;0115;01;20;1026,17465864228
4245732;1;4;1;70;2;5;48;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;93;45;1;1;4552;01;20;459,625834360731
4245738;1;2;1;70;2;4;40;4; ;2;4;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;61;84;01;1;1;0118;01;20;818,874517897475
4245741;1;1;1;70;2;12;48;8; ;2;40;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;62;41;52;1;1;5211;01;20;869,063093309468
4245770;1;2;1;70;2;6;44;8; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;62; ; ;1;1; ;01;20;1049,16252655243
4245801;1;2;1;70;2;3;25;2; ;2;16;2; ;9;2;1; ; ; ; ; ; ;1; ; ; ; ;2; ;54;54;85;1;1;8532;01;27;1396,96598996188
4245802;1;1;1;70;2;2;40;4; ;2;4;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1120000;39;39;85;1;1;8532;01;27;1396,96598996188
4245806;1;3;1;70;2;20;48;1; ;2;24;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;97;97;13;1;2;1320;01;27;1396,96598996188
4245807;1;4;1;70;2;2;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;01;27;1396,96598996188
4245809;1;1;1;70;2;4;84;1; ;2;5;1; ;9;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;59;77;80;1;1;8012;01;27;1396,96598996188
4246029;1;3;1;70;2;16;40;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;97; ; ;1;2; ;01;27;1605,09485009043
4246034;1;3;1;70;2;5;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;19; ; ;1;1; ;01;27;401,273712522607
4246038;1;1;1;70;2;10;40;1; ;2;5;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;97;97;45;1;1;4530;01;27;401,273712522607
4246055;1;2;1;70;2;2;48;8; ;2;2;5; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;99;62;61;01;1;1;0121;01;27;519,52858160597
4246057;1;2;1;70;2;1;48;3; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;54;50;55;1;1;5511;01;27;401,273712522607
4246348;1;2;1;70;2;3;48;4; ;2;3;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1300000;59;59;85;1;1;8519;01;25;4362,46308829515
4246362;1;2;1;70;2;7;48;1; ;2;7;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;94;94;36;1;1;3699;01;25;2745,46040080952
4246367;1;3;1;70;2;1;44;1; ;2;2;1; ;6;2;4; ; ; ; ; ; ; ; ; ; ;1;1;800000;45;45;52;1;1;5234;01;25;1958,92497689487
4246390;1;4;1;70;2;52;48;4; ;2;57;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;19;39;75;1;2;7512;01;25;1271,96172567064
4246392;1;1;1;70;2;2;48;1; ;2;8;1; ;9;2;3; ; ; ; ;1; ; ; ; ; ; ;1;820000;95;95;70;1;1;7010;01;25;4641,03839775073
4246392;1;2;1;70;2;2;40;3; ;2;12;3; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;1;9500;01;25;4641,03839775073
4246439;1;3;1;70;2;156;48;1; ;2;12;4; ;1;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;87;83;28;1;2;2811;01;25;2753,44041730914
4246448;1;3;1;70;2;6;48;1; ;2;26;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;93;45;1;1;4521;01;25;2733,01455931013
4246475;1;2;1;70;2;4;60;3; ;2;5;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;53;53;95;1;1;9500;01;25;3726,18785543446
4246480;1;3;1;70;2;12;48;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;61;61;01;1;1;0114;01;25;1593,67313305014
4246511;1;2;1;70;2;4;48;4; ;2;104;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;52;1;1;5211;01;25;2179,94374428611
4246516;1;1;1;70;2;3;50;4; ;2;3;5; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1200000;93;93;45;1;1;4552;01;25;3172,58190791244
4246516;1;3;1;70;2;3;48;1; ;2;3;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;360000;32;32;85;1;1;8512;01;25;3172,58190791244
4246552;1;4;1;70;2;3;40;1; ;2;3;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;1;60000;59;59;92;1;1;9241;01;25;2524,44163341828
4246561;1;2;1;70;2;2;48;1; ;2;3;1; ;5;2;1; ; ;1; ; ; ; ; ; ; ; ;1;689445;83;83;28;1;1;2891;01;41;1375,38446477659
4246565;1;3;1;70;2;1;24;4; ;2;50;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;55;55;74;1;1;7493;01;41;662,477056450221
4246662;1;3;1;70;2;3;40;1; ;2;3;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;250000;45;54;95;1;1;9500;01;41;782,804639175012
4246664;1;3;1;70;2;50;40;2; ;2;50;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;59;53;95;1;2;9500;01;41;1571,0642807494
4246689;1;3;1;70;2;2;40;1; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;216000;45;41;52;1;1;5233;01;41;778,019545965414
