DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011
4229002;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;964,567822990853
4229004;1;1;1;80;05;1;4;5; ;2; ; ;11; ;3; ;2; ;1;01;05;1003,48340235433
4229006;1;1;1;80;05;1;4;3; ;2; ; ;8; ;2; ;2; ;1;01;05;1111,15554376412
4229006;1;2;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;01;05;1111,15554376412
4229008;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;1003,48340235433
4229010;1;1;1;80;05;1;4;9;NO DESEABA TRABAJAR MAS;2; ; ;10; ;3; ;2; ;1;01;05;1308,6877930154
4229011;1;3;1;80;05;1;1;2; ;2; ; ;2; ;2; ;1;400000;1;01;05;1340,66993779378
4229011;1;5;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;1340,66993779378
4229016;1;1;1;80;05;1;3;3; ;2; ; ;11; ;3; ;2; ;1;01;05;837,750877456834
4229020;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;01;05;1050,41252227279
4229020;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;1050,41252227279
4229021;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;1230,65929152809
4229022;1;4;1;80;05;1;1;8; ;1; ;1;2; ;2; ;2; ;1;01;05;1101,48647580348
4229023;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;01;05;1108,75313216385
4229025;1;1;1;80;05;1;4;3; ;1; ;4;9; ;2; ;2; ;1;01;05;1431,0483053585
4229026;1;3;1;80;05;1;4;4; ;2; ; ;8; ;2; ;2; ;1;01;05;1020,72234094062
4229026;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;1020,72234094062
4229027;1;4;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;01;05;1509,08774599287
4229029;1;2;1;80;05;1;3;4; ;2; ; ;4; ;2; ;2; ;1;01;05;1091,94499300866
4229029;1;4;1;80;05;1;1;3; ;2; ; ;9; ;2; ;2; ;1;01;05;1091,94499300866
4229029;1;6;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;1091,94499300866
4229031;1;4;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;01;05;942,740380862997
4229032;1;1;1;80;05;1;2;8; ;2; ; ;9; ;2; ;2; ;1;01;05;998,897544110734
4229033;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;01;05;964,567822990853
4229035;1;2;1;80;05;1;1;3; ;2; ; ;9; ;2; ;1;400000;1;01;05;1335,87844294074
4229036;1;1;1;80;05;1;3;3; ;2; ; ;4; ;2; ;2; ;1;01;05;1020,72234094062
4229036;1;2;1;80;05;1;3;3; ;2; ; ;9; ;2; ;2; ;1;01;05;1020,72234094062
4229037;1;1;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ;1;01;05;1101,16419317527
4229037;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;1101,16419317527
4229040;1;1;1;80;05;1;4;4; ;2; ; ;4; ;3; ;2; ;1;01;05;1421,05430947168
4229043;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;1060,01768348906
4229044;1;3;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ;1;01;05;998,678579153785
4229045;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;01;05;1550,31850498742
4229045;1;4;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;01;05;1550,31850498742
4229046;1;5;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;01;05;1281,95221001573
4229048;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;01;05;981,655960226473
4229049;1;1;1;80;05;1;4;9;NO DESEABA TRABAJAR;1; ;4;9; ;2; ;2; ;1;01;05;945,142792463269
4229049;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;945,142792463269
