DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011;AREA
4228953;1;2;1;80;1;1;1;3; ;2; ; ;9; ;2; ;1;689500;1;01;05;1384,32482204949;05
4228954;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;1159,82708569454;05
4228956;1;1;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;01;05;1003,48340235433;05
4228957;1;1;1;80;1;1;3;5; ;2; ; ;10; ;3; ;2; ;1;01;05;1279,78518643737;05
4228957;1;2;1;80;1;1;3;5; ;2; ; ;10; ;3; ;2; ;1;01;05;1279,78518643737;05
4228957;1;4;1;80;1;1;3;2; ;2; ; ;2; ;2; ;2; ;1;01;05;1279,78518643737;05
4228958;1;5;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;1157,31871112504;05
4228960;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;1470,16952133143;05
4228961;1;2;1;80;1;1;4;7; ;2; ; ;9; ;2; ;2; ;1;01;05;942,740380862997;05
4228962;1;1;1;80;1;1;3;6; ;2; ; ;11; ;2; ;2; ;1;01;05;1157,42467409427;05
4228962;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;1157,42467409427;05
4228964;1;1;1;80;1;1;4;8; ;2; ; ;8; ;1;1;2; ;1;01;05;981,655960226473;05
4228964;1;2;1;80;1;1;2;2; ;2; ; ;2; ;2; ;2; ;1;01;05;981,655960226473;05
4228965;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;01;05;1116,27452037702;05
4228966;1;1;1;80;1;1;4;6; ;2; ; ;8; ;3; ;2; ;1;01;05;1289,67057405699;05
4228966;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;01;05;1289,67057405699;05
4228966;1;3;1;80;1;1;2;3; ;2; ; ;9; ;1;1;2; ;1;01;05;1289,67057405699;05
4228966;1;5;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ;1;01;05;1289,67057405699;05
4228968;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;01;05;1089,32810163626;05
4228969;1;2;1;80;1;1;2;8; ;2; ; ;5; ;2; ;2; ;1;01;05;954,811860423909;05
4228970;1;1;1;80;1;1;1;8; ;2; ; ;11; ;2; ;2; ;1;01;05;1003,48340235433;05
4228972;1;1;1;80;1;1;4;3; ;2; ; ;9; ;1;2;2; ;1;01;05;1257,6138394847;05
4228972;1;2;1;80;1;1;4;5; ;2; ; ;8; ;3; ;2; ;1;01;05;1257,6138394847;05
4228974;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;01;05;942,740380862997;05
4228975;1;1;1;80;1;1;1;3; ;2; ; ;8; ;2; ;2; ;1;01;05;945,142792463269;05
4228975;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;945,142792463269;05
4228978;1;1;1;80;1;1;2;9;NO DESEA TRABAJAR;2; ; ;11; ;3; ;2; ;1;01;05;1306,28538141512;05
4228980;1;1;1;80;1;1;3;5; ;2; ; ;8; ;3; ;2; ;1;01;05;1184,8445141768;05
4228980;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;01;05;1184,8445141768;05
4228980;1;5;1;80;1;1;2;8; ;2; ; ;6; ;2; ;2; ;1;01;05;1184,8445141768;05
4228982;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;01;05;932,984418296053;05
4228982;2;2;2;80;1;1;1;8; ;2; ; ;2; ;2; ;2; ;1;01;05;932,984418296053;05
4228983;1;2;1;80;1;1;4;3; ;2; ; ;9; ;3; ;2; ;1;01;05;979,253548626201;05
4228983;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;979,253548626201;05
4228985;1;3;1;80;1;1;1;8; ;2; ; ;2; ;2; ;2; ;1;01;05;806,038047709355;05
4228985;1;5;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;806,038047709355;05
4228986;1;2;1;80;1;1;4;5; ;2; ; ;8; ;3; ;2; ;1;01;05;1159,82708569454;05
4228987;1;1;1;80;1;1;1;9;PARA DESCANSAR;2; ; ;11; ;3; ;2; ;1;01;05;1238,18880895712;05
4228987;1;2;1;80;1;1;3;3; ;2; ; ;9; ;2; ;2; ;1;01;05;1238,18880895712;05
4228987;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;01;05;1238,18880895712;05
4228989;1;1;1;80;1;1;4;3; ;2; ; ;9; ;3; ;2; ;1;01;05;954,811860423909;05
4228992;1;1;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;852,220283433199;05
4228992;1;3;1;80;1;1;4;9;POR LA EDAD;2; ; ;10; ;3; ;2; ;1;01;05;852,220283433199;05
4228993;1;2;1;80;1;1;1;8; ;2; ; ;12;ESPERA GRADUARSE;2; ;1;689455;1;01;05;830,267901437483;05
