Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Area;Esc;Mes;Dpto;Fex_c_2011
3486680;1;1;1;10;1;1;1;2;1956;58;1;4;1; ; ;3; ; ;2;1;2; ;5;11;2;17;11;06;17;164,333924505585
3486680;1;2;1;10;2;2;1;6;1998;15;3;6;1; ; ;3; ; ;2;1;1;1;4;9; ;17;9;06;17;164,333924505585
3486680;1;3;1;10;3;2;1;8;1962;51;9;4;1; ; ;3; ; ;2;1;2; ;4;8; ;17;8;06;17;164,333924505585
3486681;1;1;1;10;1;1;1;1;1965;49;1;2;1; ; ;1;1;48000;2;1;2; ;3;3; ;17;3;06;17;179,844663373758
3486681;1;2;1;10;2;2;1;8;1959;54;2;2;1; ; ;1;2;73920;2;1;1;2;3;5; ;17;5;06;17;179,844663373758
3486682;1;1;1;10;1;1;1;3;1976;38;1;2;1; ; ;1;1;47200;2;1;2; ;5;11;2;17;11;06;17;269,724444724267
3486682;1;2;1;10;2;2;1;9;1978;35;2;2;1; ; ;1;1;24640;2;1;2; ;5;11;2;17;11;06;17;269,724444724267
3486682;1;3;1;10;3;1;1;3;1996;18;3;6;1; ; ;1;5; ;2;1;1;1;6;0;2;17;11;06;17;269,724444724267
3486682;1;4;1;10;2;1;1;10;2003;10;3;6;1; ; ;1;5; ;2;1;1;1;3;3; ;17;3;06;17;269,724444724267
3486682;1;5;1;10;5;1;1;12;1975;38;5;4;2;1;24; ; ; ;2;1;2; ;5;10;1;17;10;06;17;269,724444724267
3486683;1;1;1;10;1;1;1;12;1968;45;1;2;2;1;6; ; ; ;1;1;2; ;3;5; ;17;5;06;17;259,593060153229
3486683;1;2;1;10;2;2;1;3;1970;44;2;2;2;1;6; ; ; ;1;1;1;2;4;6; ;17;6;06;17;259,593060153229
3486683;1;3;1;10;2;1;1;1;2000;14;3;6;2;1;6; ; ; ;1;1;1;1;4;7; ;17;7;06;17;259,593060153229
3486683;1;4;1;10;2;1;1;2;2004;10;3;6;2;1;6; ; ; ;1;1;1;1;3;4; ;17;4;06;17;259,593060153229
3486685;1;1;1;10;1;2;1;8;1937;76;1;5;1; ; ;1;2;73920;2;1;2; ;3;5; ;17;5;06;17;144,095695591149
3486685;1;2;1;10;1;2;1;5;1929;85;5;5;1; ; ;3; ; ;1;1;2; ;3;3; ;17;3;06;17;144,095695591149
3486686;1;1;1;10;1;1;1;8;1978;35;1;3;1; ; ;1;3;77000;2;1;2; ;5;11;2;17;11;06;17;224,388131418514
3486686;1;2;1;10;2;2;1;8;1980;33;2;3;1; ; ;1;5; ;2;1;2; ;5;11;2;17;11;06;17;224,388131418514
3486686;1;3;1;10;2;2;1;5;2004;10;3;6;1; ; ;1;5; ;2;1;1;1;3;3; ;17;3;06;17;224,388131418514
3486687;1;1;1;10;1;2;1;12;1945;68;1;5;1; ; ;1;2;73920;2;1;2; ;3;5; ;17;5;06;17;203,956683915134
3486687;1;2;1;10;2;2;1;3;1989;25;3;6;1; ; ;1;1;24640;2;1;2; ;5;11;2;17;11;06;17;203,956683915134
3486687;1;3;1;10;1;2;1;5;2011;3;4; ;1; ; ;1;5; ;2;2;2; ;1;0; ;17;0;06;17;203,956683915134
3486687;1;4;1;10;4;2;1;11;1970;43;3;4;1; ; ;3; ; ;2;1;2; ;4;8; ;17;8;06;17;203,956683915134
3486687;1;5;1;10;4;1;1;12;1999;14;4;6;1; ; ;3; ; ;2;1;1;1;4;6; ;17;6;06;17;203,956683915134
3486687;1;6;1;10;4;2;1;2;2012;2;4; ;1; ; ;3; ; ;1; ; ; ; ; ; ;17; ;06;17;203,956683915134
3486688;1;1;1;10;1;2;1;1;1950;64;1;5;1; ; ;1;5; ;2;1;2; ;4;8; ;17;8;06;17;181,387593177042
3486688;1;2;1;10;2;1;1;4;1972;42;3;6;1; ; ;1;1;60000;2;1;2; ;6;3;2;17;14;06;17;181,387593177042
3486689;1;1;1;10;1;2;1;5;1978;36;1;4;1; ; ;1;5; ;2;1;2; ;3;4; ;17;4;06;17;154,683877057788
3486689;1;2;1;10;1;2;1;6;2001;12;3;6;1; ; ;1;5; ;2;1;2; ;4;6; ;17;6;06;17;154,683877057788
3486690;1;1;1;10;1;2;1;1;1944;70;1;6;1; ; ;2;2;120000;2;1;2; ;6;1;2;17;12;06;17;171,256208606004
3486692;1;1;1;10;1;2;1;6;1942;71;1;5;1; ; ;1;2;360000;2;1;2; ;4;8; ;17;8;06;17;342,512417212009
3486693;1;1;1;10;1;2;1;11;1985;28;1;2;1; ; ;1;3;77000;2;1;1;1;6;10;4;17;21;06;17;361,730176459305
3486693;1;2;1;10;2;1;1;4;1980;34;2;2;1; ; ;1;1;59200;2;1;1;1;6;11;5;17;22;06;17;361,730176459305
3486693;1;3;1;10;3;1;1;10;1989;24;5;6;2;1;24; ; ; ;2;1;1;2;6;4;2;17;15;06;17;361,730176459305
3486695;1;1;1;10;1;2;1;7;1957;56;1;3;1; ; ;1;1;24640;2;1;2; ;6;3;3;17;14;06;17;462,824244564959
3486695;1;2;1;10;2;2;1;6;1980;33;3;6;1; ; ;1;3;77000;2;1;2; ;6;3;3;17;14;06;17;462,824244564959
3486695;1;3;1;10;2;1;1;8;2013;0;4; ;1; ; ;1;5; ;2; ; ; ; ; ; ;17; ;06;17;462,824244564959
3486695;1;4;1;10;4;1;1;7;1981;32;3;6;1; ; ;1;1;24640;2;1;2; ;6;7;5;17;18;06;17;462,824244564959
3486696;1;1;1;10;1;2;1;11;1947;66;1;4;1; ; ;1;3;77000;2;1;2; ;4;7; ;17;7;06;17;231,639701877378
3486696;1;2;1;10;2;2;1;7;1980;33;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;17;11;06;17;231,639701877378
3486696;1;3;1;10;2;2;1;8;2005;8;4; ;1; ; ;3; ; ;2;1;1;1;3;2; ;17;2;06;17;231,639701877378
3486696;1;4;1;10;2;2;1;8;2005;8;4; ;1; ; ;3; ; ;2;1;1;1;3;2; ;17;2;06;17;231,639701877378
3486697;1;1;1;10;1;2;1;11;1992;21;1;6;1; ; ;3; ; ;2;1;1;1;6;4;3;17;15;06;17;366,774639751855
3486698;1;1;1;10;1;2;1;2;1954;60;1;4;1; ; ;1;3;77000;2;1;2; ;5;11;2;17;11;06;17;462,824244564959
3486698;1;2;1;10;2;2;1;9;1973;40;2;1;2;1;2; ; ; ;2;1;2; ;6;7;4;17;18;06;17;462,824244564959
3486698;1;3;1;10;3;1;1;12;1973;40;5;1;1; ; ;1;1;40000;2;1;1;2;6;7;4;17;18;06;17;462,824244564959
3486698;1;4;1;10;1;1;1;3;2007;7;3; ;2;1;2; ; ; ;2;1;1;2;3;1; ;17;1;06;17;462,824244564959
3486700;1;1;1;10;1;1;1;7;1955;58;1;3;1; ; ;1;3;77000;2;1;2; ;6;5;4;17;16;06;17;358,726652501034
3486700;1;2;1;10;2;2;1;4;1963;51;2;3;1; ; ;1;1;320000;2;1;2; ;5;11;2;17;11;06;17;358,726652501034
3486701;1;1;1;10;1;2;1;8;1954;59;1;5;1; ; ;1;2;108000;2;1;2; ;6;2;3;17;13;06;17;342,512417212009
3486702;1;1;1;10;1;1;1;5;1994;20;1;6;1; ; ;1;5; ;2;1;1;2;6;2;2;17;13;06;17;398,874292953508
3486704;1;1;1;10;1;1;1;9;1957;56;1;3;1; ; ;1;3;77000;2;1;2; ;6;3;3;17;14;06;17;358,726652501034
3486704;1;2;1;10;2;2;1;9;1966;47;2;3;1; ; ;1;3;77000;2;1;2; ;6;5;4;17;16;06;17;358,726652501034
3486705;1;1;1;10;1;1;1;6;1958;55;1;4;1; ; ;1;3;77000;2;1;2; ;6;5;4;17;16;06;17;386,074734647448
3486705;1;2;1;10;2;2;1;2;1992;22;3;6;1; ; ;1;5; ;2;1;2; ;6;4;2;17;15;06;17;386,074734647448
3486746;1;1;1;10;1;1;1;7;1953;60;1;3;1; ; ;1;5; ;2;1;2; ;3;1; ;05;1;06;05;1108,75488906951
3486746;1;2;1;10;2;2;1;3;1960;54;2;3;1; ; ;1;5; ;2;1;2; ;3;4; ;05;4;06;05;1108,75488906951
3486747;1;1;1;10;1;2;1;12;1958;55;1;4;1; ; ;3; ; ;2;2;2; ;1;0; ;05;0;06;05;1269,01811148298
3486747;1;2;1;10;1;2;1;11;2006;7;4; ;1; ; ;3; ; ;2;1;1;1;3;1; ;05;1;06;05;1269,01811148298
3486748;1;1;1;10;1;2;1;10;1955;58;1;4;1; ; ;1;5; ;2;1;2; ;4;6; ;05;6;06;05;1089,11945645988
3486748;1;2;1;10;2;1;1;11;1981;32;3;6;1; ; ;1;1;24640;2;1;2; ;5;11;2;05;11;06;05;1089,11945645988
3486749;1;1;1;10;1;1;1;2;1991;23;1;3;1; ; ;1;1;24640;2;1;2; ;6;1;3;05;12;06;05;738,236294442179
3486749;1;2;1;10;2;2;1;10;1990;23;2;3;1; ; ;1;5; ;2;1;2; ;6;2;3;05;13;06;05;738,236294442179
3486751;1;1;1;10;1;1;1;1;1972;42;1;2;1; ; ;1;1;40000;1;1;2; ;3;5; ;05;5;06;05;1025,51481141831
3486751;1;2;1;10;2;2;1;10;1969;44;2;2;1; ; ;1;5; ;2;1;2; ;3;5; ;05;5;06;05;1025,51481141831
3486751;1;3;1;10;3;2;1;8;1993;20;3;4;1; ; ;9; ; ;2;1;2; ;5;11;2;05;11;06;05;1025,51481141831
3486751;1;4;1;10;1;1;1;8;2004;9;3; ;1; ; ;1;5; ;2;1;1;1;3;3; ;05;3;06;05;1025,51481141831
3486752;1;1;1;10;1;2;1;4;1952;62;1;4;1; ; ;3; ; ;2;1;2; ;3;3; ;05;3;06;05;1198,56899083178
3486752;1;2;1;10;2;1;1;6;1983;30;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;05;11;06;05;1198,56899083178
3486752;1;3;1;10;3;1;1;11;1949;64;5;4;1; ; ;3; ; ;2;1;2; ;3;2; ;05;2;06;05;1198,56899083178
3486752;1;4;1;10;1;1;1;2;2003;11;5;6;1; ; ;3; ; ;2;1;1;1;3;2; ;05;2;06;05;1198,56899083178
3486753;1;1;1;10;1;1;2; ; ;49;1;2;1; ; ;1;1;24660;2;1;2; ;3;5; ;05;5;06;05;1396,87725328128
3486753;1;2;1;10;2;2;1;8;1957;56;2;2;1; ; ;1;5; ;2;1;2; ;3;4; ;05;4;06;05;1396,87725328128
3486753;1;3;1;10;2;2;1;7;2002;11;3;6;1; ; ;1;5; ;2;1;1;1;4;0; ;05;5;06;05;1396,87725328128
3486753;1;4;1;10;2;1;1;8;2004;9;3; ;1; ; ;1;5; ;2;1;1;1;3;3; ;05;3;06;05;1396,87725328128
3486754;1;1;1;10;1;2;1;3;1948;66;1;3;1; ; ;1;2;73920;2;1;2; ;5;11;2;05;11;06;05;1070,70984903348
3486754;1;2;1;10;2;1;1;10;1952;61;2;3;1; ; ;1;5; ;2;1;2; ;3;2; ;05;2;06;05;1070,70984903348
3486756;1;1;1;10;1;2;1;3;1941;73;1;5;1; ; ;1;2;73920;2;2;2; ;1;0; ;05;0;06;05;1063,39840368993
3486756;1;2;1;10;2;1;1;9;1950;63;9;4;1; ; ;3; ; ;2;1;2; ;4;6; ;05;6;06;05;1063,39840368993
3486756;2;1;2;10;1;2;1;9;1930;83;1;5;1; ; ;3; ; ;1;2;2; ;1;0; ;05;0;06;05;1063,39840368993
3486757;1;1;1;10;1;2;1;10;1934;79;1;5;1; ; ;3; ; ;1;2;2; ;1;0; ;05;0;06;05;1146,65301765516
3486757;1;2;1;10;2;1;1;3;1958;56;3;4;1; ; ;1;3;224000;2;1;2; ;5;11;2;05;11;06;05;1146,65301765516
3486757;1;3;1;10;3;2;1;9;1961;52;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;05;11;06;05;1146,65301765516
3486757;1;4;1;10;4;1;1;9;1988;25;4;6;1; ; ;3; ; ;2;1;1;1;6;1;2;05;12;06;05;1146,65301765516
3486759;1;1;1;10;1;2;1;12;1976;37;1;4;1; ; ;1;5; ;2;1;2; ;4;7; ;05;7;06;05;824,58336159602
3486759;1;2;1;10;2;1;1;2;1995;19;3;6;2;1;12; ; ; ;2;1;2; ;4;6; ;05;6;06;05;824,58336159602
3486759;1;3;1;10;3;1;1;8;1999;14;3;6;1; ; ;1;5; ;2;1;1;1;4;7; ;05;7;06;05;824,58336159602
3486760;1;1;1;10;1;1;1;2;1987;27;1;6;1; ; ;1;3;77000;2;1;2; ;6;5;3;76;16;06;76;956,170564784607
3486761;1;1;1;10;1;1;1;12;1987;26;1;4;1; ; ;1;1;60000;2;1;2; ;6;6;4;76;17;06;76;956,170564784607
3486762;1;1;1;10;1;1;1;10;1944;69;1;2;1; ; ;1;2;700000;2;1;2; ;6;7;5;76;18;06;76;897,61378333211
3486762;1;2;1;10;2;2;1;8;1963;50;2;2;1; ; ;1;1;98;2;1;2; ;6;6;5;76;17;06;76;897,61378333211
3486762;1;3;1;10;3;2;1;1;1933;81;5;5;1; ; ;1;2;74000;2;1;2; ;3;5; ;76;5;06;76;897,61378333211
3486762;1;4;1;10;4;2;1;10;1946;67;5;4;1; ; ;3; ; ;2;1;2; ;3;5; ;76;5;06;76;897,61378333211
3486762;1;5;1;10;3;1;1;1;2003;11;9;6;1; ; ;1;5; ;2;1;1;2;3;4; ;76;4;06;76;897,61378333211
3486763;1;1;1;10;1;1;1;8;1952;61;1;2;1; ; ;1;2;480000;2;1;2; ;5;11;2;76;11;06;76;828,554889529995
3486763;1;2;1;10;2;2;1;9;1956;57;2;2;1; ; ;1;5; ;2;1;2; ;3;1; ;76;1;06;76;828,554889529995
