DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7330;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;P7440;CLASE;DSI;FFT;AREA;RAMA4D_D_R4;RAMA2D_D_R4;OFICIO1_C8;OFICIO2_C8;MES;PERIODO;DPTO;DSCY;FEX_C18;PER;REGIS
7000061;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;1156.0060945;2022;70
7000061;1;5;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;1156.0060945;2022;70
7000064;1;3;1;9;1;;;40;800000;1;6;1;6;VENDEDORA DE BEBIDAS GASEOSAS Y ALCHOLICAS EN ESTANCO;4;2;2;2;;2;;;2;1;;;4724;47;5223;5223;03;20220313;54;1;289.00152361;2022;70
7000066;1;1;1;4;1;;;50;1000000;1;1;2;1;CARGAR HORNOS DE CARBON COQUE PARA QUEMAR EN MINA;1;8;2;2;;2;;;2;1;;;0510;05;7231;9311;03;20220313;54;1;633.55966256;2022;70
7000066;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;633.55966256;2022;70
7000067;1;2;1;;;1;;30;500000;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;677.89848045;2022;70
7000068;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;418.95824998;2022;70
7000069;1;1;1;;;;;;;1;36;0;5;CUIDADOR EN FINCAS  GANADERA;7;2;2;2;;2;;;2;;1;;0141;01;.;6121;03;20220313;54;;444.54675363;2022;70
7000070;1;3;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;701.37840886;2022;70
7000071;1;1;1;;;;;;;1;60;0;3;LIMPIAR Y SEMBRAR CULTIVOS DE ARROZ EN DIFERENTE FINCAS;4;1;2;2;;2;;;2;;1;;0161;01;.;9211;03;20220313;54;;324.2209504;2022;70
7000072;1;2;1;2;4;;;48;500000;1;0;2;8;COMPRAR Y VENDER  CHATARRA (HIERRO COBRE Y ALUMINIO) A PARTICULARES DE FORMA INDEPENDIENTE;4;1;2;2;;2;;;2;1;;;4665;46;5223;5223;03;20220313;54;1;314.4511639;2022;70
7000073;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;290.80379436;2022;70
7000074;1;1;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;237.09160193;2022;70
7000075;1;2;1;;;1;;48;1000000;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;418.8335866;2022;70
