DIRECTORIO;SECUENCIA_P;ORDEN;CLASE;AREA;MES;PERIODO;DPTO;HOGAR;P3038;P3039;FEX_C18;PER;REGIS
7000061;1;1;2;;03;20220313;54;1;2;1;1156.0060945;2022;18
7000061;1;2;2;;03;20220313;54;1;1;2;1156.0060945;2022;18
7000061;1;5;2;;03;20220313;54;1;2;1;1156.0060945;2022;18
7000061;1;6;2;;03;20220313;54;1;2;1;1156.0060945;2022;18
7000062;1;1;2;;03;20220313;54;1;2;1;633.50278563;2022;18
7000063;1;1;2;;03;20220313;54;1;2;1;576.86990894;2022;18
7000063;1;2;2;;03;20220313;54;1;1;2;576.86990894;2022;18
7000064;1;1;2;;03;20220313;54;1;1;2;289.00152361;2022;18
7000064;1;3;2;;03;20220313;54;1;1;2;289.00152361;2022;18
7000064;1;4;2;;03;20220313;54;1;1;2;289.00152361;2022;18
7000065;1;1;2;;03;20220313;54;1;2;1;444.54675363;2022;18
7000066;1;1;2;;03;20220313;54;1;2;1;633.55966256;2022;18
7000066;1;2;2;;03;20220313;54;1;1;2;633.55966256;2022;18
7000067;1;1;2;;03;20220313;54;1;2;1;677.89848045;2022;18
7000067;1;2;2;;03;20220313;54;1;1;2;677.89848045;2022;18
7000068;1;1;2;;03;20220313;54;1;2;1;418.95824998;2022;18
7000068;1;2;2;;03;20220313;54;1;1;2;418.95824998;2022;18
7000069;1;1;2;;03;20220313;54;1;2;1;444.54675363;2022;18
7000070;1;1;2;;03;20220313;54;1;2;1;701.37840886;2022;18
7000070;1;2;2;;03;20220313;54;1;1;2;701.37840886;2022;18
7000070;1;3;2;;03;20220313;54;1;2;1;701.37840886;2022;18
7000071;1;1;2;;03;20220313;54;1;1;2;324.2209504;2022;18
7000071;1;2;2;;03;20220313;54;1;2;1;324.2209504;2022;18
7000072;1;1;2;;03;20220313;54;1;2;1;314.4511639;2022;18
7000072;1;2;2;;03;20220313;54;1;1;2;314.4511639;2022;18
7000073;1;1;2;;03;20220313;54;1;2;1;290.80379436;2022;18
7000073;1;2;2;;03;20220313;54;1;1;2;290.80379436;2022;18
7000074;1;1;2;;03;20220313;54;1;2;1;237.09160193;2022;18
7000075;1;1;2;;03;20220313;54;1;2;1;418.8335866;2022;18
7000075;1;2;2;;03;20220313;54;1;1;2;418.8335866;2022;18
7000075;1;3;2;;03;20220313;54;1;2;1;418.8335866;2022;18
7000075;1;4;2;;03;20220313;54;1;2;1;418.8335866;2022;18
7000077;1;1;2;;03;20220313;54;1;1;2;154.13414593;2022;18
7000079;1;1;2;;03;20220313;54;1;2;1;283.18137481;2022;18
7000079;1;2;2;;03;20220313;54;1;1;2;283.18137481;2022;18
7000080;1;1;2;;03;20220313;54;1;1;2;324.2209504;2022;18
7000080;1;2;2;;03;20220313;54;1;2;1;324.2209504;2022;18
7000081;1;1;2;;03;20220313;54;1;2;1;283.18137481;2022;18
7000081;1;2;2;;03;20220313;54;1;1;2;283.18137481;2022;18
7000082;1;1;2;;03;20220313;54;1;2;1;284.18629428;2022;18
7000083;1;1;2;;03;20220313;54;1;2;1;106.767576;2022;18
7000083;1;2;2;;03;20220313;54;1;1;2;106.767576;2022;18
7000083;1;3;2;;03;20220313;54;1;1;2;106.767576;2022;18
7000083;1;4;2;;03;20220313;54;1;1;2;106.767576;2022;18
7000084;1;1;2;;03;20220313;54;1;2;1;228.77977419;2022;18
7000084;1;2;2;;03;20220313;54;1;1;2;228.77977419;2022;18
7000084;1;3;2;;03;20220313;54;1;1;2;228.77977419;2022;18
7000085;1;1;2;;03;20220313;54;1;2;1;326.62519069;2022;18
7000085;1;2;2;;03;20220313;54;1;1;2;326.62519069;2022;18
7000086;1;1;2;;03;20220313;54;1;2;1;152.57369553;2022;18
7000086;1;2;2;;03;20220313;54;1;1;2;152.57369553;2022;18
7000087;1;1;2;;03;20220313;54;1;2;1;106.767576;2022;18
7000087;1;2;2;;03;20220313;54;1;1;2;106.767576;2022;18
7000087;1;3;2;;03;20220313;54;1;1;2;106.767576;2022;18
7000087;1;4;2;;03;20220313;54;1;2;1;106.767576;2022;18
7000089;1;1;2;;03;20220313;54;1;1;2;185.1958385;2022;18
7000089;1;2;2;;03;20220313;54;1;2;1;185.1958385;2022;18
7000090;1;1;2;;03;20220313;54;1;1;2;176.8280836;2022;18
