Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011;Area
3572883;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;10;47;166,656961164299;47
3572884;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;10;47;151,162535543629;47
3572884;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;1;10;47;151,162535543629;47
3572885;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;10;47;109,978167575263;47
3572885;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;10;47;109,978167575263;47
3572885;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;10;47;109,978167575263;47
3572886;1;1;1;90;2;1;2;2;1;2;2;2;2;2; ;14; ; ;40; ; ; ; ; ;1;10;47;159,97658986167;47
3572886;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;10;47;159,97658986167;47
3572887;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;5; ;14; ; ; ; ; ; ;1;10;47;204,558575560775;47
3572887;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;28; ;70; ; ; ; ; ; ;1;10;47;204,558575560775;47
3572888;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;1;10;47;163,635095966254;47
3572889;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;10;47;205,094641713893;47
3572889;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;25; ; ; ; ; ; ; ; ;1;10;47;205,094641713893;47
3572889;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;10;47;205,094641713893;47
3572890;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;10;47;96,5296557820695;47
3572890;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;10;47;96,5296557820695;47
3572890;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;10;47;96,5296557820695;47
3572890;1;4;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;20; ; ; ; ; ; ;1;10;47;96,5296557820695;47
3572891;1;1;1;90;2;2;2;1;2;2;2;2;1;2; ; ; ;18; ; ; ; ;1; ;1;10;47;273,033261274386;47
3572891;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;28; ;56; ; ; ; ; ; ;1;10;47;273,033261274386;47
