DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;clase;MES;INI;DPTO;fex_c_2011
5173493;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;68;2815,60589210161
5173493;1;5;1;80;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;2;06;1;68;2815,60589210161
5173494;1;1;1;80;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;2;06;1;68;991,795668855184
5173494;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;68;991,795668855184
5173495;1;1;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;68;960,058410604735
5173495;1;3;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;68;960,058410604735
5173496;1;1;1;80;1;4;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;2;06;1;68;1063,55748536397
5173539;1;1;1;80;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;2;06;1;76;3437,43695156227
5173539;1;2;1;80;1;4;9;POR QUE CAMBIO DE DOMICILIO;2; ; ;9; ;2; ;2; ;2; ;98;2;2;06;1;76;3437,43695156227
5173542;1;1;1;80;1;1;4; ;2; ; ;4; ;2; ;2; ;1;48;98;2;2;06;1;76;3800,19729538967
5173542;1;2;1;80;1;4;3; ;2; ; ;9; ;1; ;2; ;1;24;440000;2;2;06;1;76;3800,19729538967
5173544;1;2;1;80;1;3;7; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;06;1;76;2728,84438376979
5173544;1;3;1;80;1;4;4; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;06;1;76;2728,84438376979
5173544;1;4;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;76;2728,84438376979
5173545;1;1;1;80;1;1;7; ;2; ; ;12;POR CUARENTENA DE COVID 19;2; ;2; ;2; ;1000000;2;2;06;1;76;4967,90577306604
5173546;1;2;1;80;1;1;8; ;2; ; ;9; ;2; ;2; ;1;25;877803;2;2;06;1;76;8079,32013966537
5173546;1;4;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;76;8079,32013966537
5173548;2;3;2;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;76;2868,2014234155
5173626;1;2;1;80;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;2;06;1;76;3437,43695156227
5173633;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;06;1;76;6213,50614572284
5173633;1;4;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;76;6213,50614572284
5173633;1;5;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;76;6213,50614572284
5173634;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;76;5315,93343915989
5173634;1;4;1;80;1;1;7; ;2; ; ;1; ;2; ;2; ;1;48;877803;2;2;06;1;76;5315,93343915989
5173634;1;5;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;76;5315,93343915989
5173634;1;6;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;76;5315,93343915989
5173634;1;7;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;76;5315,93343915989
5173635;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;76;3437,43695156227
5173666;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173667;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173668;1;3;1;80;1;1;8; ;2; ; ;1; ;2; ;1;35000; ; ; ;2;2;06;1;41;701,818947716183
5173671;1;2;1;80;1;4;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173672;1;1;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173673;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;06;1;41;1127,42783257849
5173731;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173732;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173734;1;4;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;41;701,818947716183
5173735;1;1;1;80;1;2;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;41;2877,45768563635
5173738;1;2;1;80;1;1;7; ;2; ; ;12;POR LA CUARENTENA;2; ;2; ;1;48;400000;2;2;06;1;41;2877,45768563635
5173738;1;5;1;80;2; ; ; ; ;1;1;2; ; ; ;2; ; ; ; ; ;2;06;1;41;2877,45768563635
5173741;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173741;1;3;1;80;1;1;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173741;1;4;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;41;701,818947716183
5173744;1;1;1;80;1;2;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173744;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;98;2;2;06;1;41;701,818947716183
5173746;1;1;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;41;2877,45768563635
5173746;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ;1;20;997000;2;2;06;1;41;2877,45768563635
5173748;1;2;1;80;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;41;2877,45768563635
5173748;1;3;1;80;1;1;4; ;2; ; ;12;POR ACCIDENTE SUFRIDO;2; ;2; ;2; ;400000;2;2;06;1;41;2877,45768563635
5173751;1;1;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173751;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173753;1;1;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173754;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;41;2877,45768563635
5173755;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;41;1877,01306737634
5173756;1;1;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173756;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;41;701,818947716183
5173759;1;2;1;80;1;1;3; ;2; ; ;1; ;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173760;1;3;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173762;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ;2; ;400000;2;2;06;1;41;2877,45768563635
5173774;1;2;1;80;1;2;7; ;2; ; ;9; ;2; ;2; ;1;40;800000;2;2;06;1;41;701,818947716183
5173774;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;41;701,818947716183
5173778;1;3;1;80;1;1;2; ;2; ; ;2; ;2; ;2; ;1;48;997000;2;2;06;1;41;2407,04203934161
5173778;1;4;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;41;2407,04203934161
5173778;1;5;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;41;2407,04203934161
5173779;1;4;1;80;1;1;8; ;1; ;1;9; ;2; ;2; ;1;48;877000;2;2;06;1;41;701,818947716183
5173781;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173781;1;3;1;80;1;2;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173784;1;3;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ;2; ;997000;2;2;06;1;41;701,818947716183
5173785;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ;1;25;800000;2;2;06;1;41;701,818947716183
5173786;1;2;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;41;2877,45768563635
5173786;1;5;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;41;2877,45768563635
5173786;1;7;1;80;1;3;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;06;1;41;2877,45768563635
5173786;1;8;1;80;1;1;4; ;2; ; ;4; ;2; ;1;200000; ; ; ;2;2;06;1;41;2877,45768563635
5173786;1;9;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;41;2877,45768563635
5173786;1;11;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;41;2877,45768563635
5173788;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ;2; ;997000;2;2;06;1;41;1741,09572328927
5173788;1;3;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;41;1741,09572328927
5173788;1;5;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;41;1741,09572328927
5173788;1;7;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;41;1741,09572328927
5173790;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;877000;2;2;06;1;41;2877,45768563635
5173790;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;41;2877,45768563635
5173792;1;2;1;80;1;1;9;PANDEMIA COVID19;2; ; ;12;PANDEMIA COVID19;2; ;2; ;1;48;300000;2;2;06;1;41;832,053317204588
5173792;1;5;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;41;832,053317204588
5173792;1;6;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ;1;48;300000;2;2;06;1;41;832,053317204588
5173792;1;7;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;41;832,053317204588
5173792;1;8;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;41;832,053317204588
5173793;1;5;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;41;2877,45768563635
5173794;1;2;1;80;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;06;1;41;2877,45768563635
5173794;1;4;1;80;1;1;7; ;2; ; ;1; ;2; ;2; ; ; ; ;2;2;06;1;41;2877,45768563635
5173795;1;5;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173796;1;1;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;41;2877,45768563635
5173796;1;3;1;80;1;4;3; ;2; ; ;12;POR EMBARAZO Y CUIDAR DE SUS HIJOS PEQUEÑOS;2; ;2; ; ; ; ;2;2;06;1;41;2877,45768563635
5173799;1;1;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173799;1;2;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173800;1;2;1;80;1;2;4; ;2; ; ;4; ;2; ;2; ;2; ;98;2;2;06;1;41;2877,45768563635
5173803;1;3;1;80;1;2;2; ;2; ; ;2; ;2; ;2; ;1;48;877000;2;2;06;1;41;2877,45768563635
5173808;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173808;1;3;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173810;1;2;1;80;1;1;3; ;2; ; ;1; ;2; ;2; ;1;20;98;2;2;06;1;41;701,818947716183
5173810;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;41;701,818947716183
5173810;1;4;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;41;701,818947716183
5173811;1;2;1;80;1;4;3; ;2; ; ;9; ;1; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173812;1;1;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173814;1;3;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173815;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;98;2;2;06;1;41;701,818947716183
5173815;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;41;701,818947716183
5173816;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;06;1;41;701,818947716183
5173818;1;5;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;41;2877,45768563635
5173822;1;2;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;52;1476,10205622554
5173823;1;2;1;80;1;1;7; ;2; ; ;9; ;2; ;2; ;2; ;200000;2;2;06;1;52;2320,78135319047
5173823;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;52;2320,78135319047
5173824;1;2;1;80;1;1;9;CUARENTENA;2; ; ;12;CUARENTENA;2; ;2; ;1;24;877803;2;2;06;1;52;1715,94825275139
5173824;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;52;1715,94825275139
5173826;1;5;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;52;3049,88855889577
5173827;1;2;1;80;1;1;9;DESPEDIDA POR CUARENTENA;2; ; ;12;CUARENTENA;2; ;2; ;1;24;877803;2;2;06;1;52;3159,24376353798
5173827;1;3;1;80;1;1;9;CUARENTENA;2; ; ;12;CUARENTENA;2; ;2; ;1;48;877803;2;2;06;1;52;3159,24376353798
5173827;1;4;1;80;1;1;9;CUARENTENA;2; ; ;12;CUARENTENA;2; ;2; ;1;48;877803;2;2;06;1;52;3159,24376353798
5173827;1;5;1;80;1;1;9;CUARENTENA;2; ; ;12;CUARENTENA;2; ;2; ;1;48;877803;2;2;06;1;52;3159,24376353798
5173828;1;1;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;52;1476,10205622554
5173829;1;1;1;80;1;1;7; ;2; ; ;12;EMERGENCIA COVID;1;2;2; ;2; ;877803;1;2;06;1;52;1476,10205622554
5173829;1;3;1;80;1;4;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;2;06;1;52;1476,10205622554
5173830;1;2;1;80;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;2;06;1;52;1859,39798638762
5173831;1;2;1;80;1;2;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;06;1;52;1563,55112210287
5173831;1;6;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;06;1;52;1563,55112210287
5173887;1;1;1;80;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;2;06;1;52;2280,7887172296
5173887;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;52;2280,7887172296
5173891;1;3;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;52;3574,88651736001
5173891;1;4;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;52;3574,88651736001
5173893;1;1;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;52;1810,62738583433
5173893;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;06;1;52;1810,62738583433
5173893;1;3;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;52;1810,62738583433
