DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7250;P7260;P7280;P7280S1;P7290;P7300;P7310;P7320;P7350;P7350S1;P7360;P7370;P7380;P7380S1;P7390;P7390S1;P7400;P7410;P7410S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P7424;P7424S1;CLASE;OFICIO1;OFICIO2;RAMA4D_D;RAMA2D_D;DSI;DPTO;fex_c_2011
449997;1;1;70;4;44;1; ;1;1;2;4;4; ;6;1; ;.;1; ;1; ;.; ;1; ; ; ; ; ; ; ; ;1;320000;1;2450000;2;63;63;0201;02;1;19;731,80850042467
459542;1;2;70;3;70;8; ;1;1;2;3;8; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;180000;1;1500000;2;62;62;0111;01;1;66;337,811312670189
459548;1;3;70;86;60;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;66;316,600715348474
459566;1;4;70;3;48;1; ;1;1;2;12;1; ;2;2;2; ;1; ;2;6; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;2;45;45;5249;52;1;66;332,438363119356
459567;1;3;70;7;48;1; ;1;1;2;8;1; ;2;2;2; ;1; ;2;6; ; ; ; ; ; ; ; ; ;1; ;1;30000;1;400000;2;45;45;5249;52;1;66;281,323484553976
459567;1;4;70;12;48;1; ;1;1;2;48;1; ;9;1; ;.;1; ;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;2; ;2;32;32;7530;75;1;66;281,323484553976
475671;1;2;70;24;40;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;23;1141,55191344913
475682;1;2;70;2;42;3; ;1;1;2;24;3; ;1;2;4; ;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;480000;2;54;54;9500;95;1;23;1269,71378287802
475691;1;3;70;5;48;3; ;1;1;2;7;3; ;1;2;7; ;6; ;2;5; ; ; ; ; ; ; ; ; ;1; ;2; ;1;240000;2;54;54;9500;95;1;23;1826,96974726205
475701;1;8;70;12;36;3; ;1;1;2;12;3; ;1;2;2; ;1; ;2;6; ; ; ; ; ; ; ; ; ;1; ;2; ;1;960000;2;54;54;9500;95;1;23;2420,32998672269
475711;1;1;70;2;36;4; ;1;1;2;2;4; ;1;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;150000;1;800000;2;62;62;0115;01;1;23;605,082496680673
475728;1;3;70;1;40;3; ;1;1;2;12;3; ;1;2;7; ;6; ;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;1;1080000;2;54;54;9500;95;1;23;1748,19160161972
475729;1;3;70;6;30;1; ;1;1;2;4;1; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;80000;1;650000;2;95;95;4521;45;1;23;961,61565866044
475744;1;3;70;4;36;3; ;1;1;2;32;3; ;1;2;7; ;6; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;480000;2;54;54;9500;95;1;23;1347,7690266705
