DIRECTORIO;AREA;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;DPTO;ORDEN;fex_c_2011
448087;05;1;3;2;1;1;1;1;1;3;1; ; ;20000000;250000; ;1;1;2;1;1;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;657,25364575678
448088;05;1;4;3;1;1;1;1;1;3;1; ; ;28000000;200000; ;1;1;1;1;1;1;1;2;2;1;1;2;1;1;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;719,208266151533
448089;05;1;4;3;1;1;1;1;1;4;1; ; ;50000000;250000; ;1;2;2;1;1;1;1;1;2;2;1;2;1;2;2;2;2;1;1;2;2;1;1;1;4;1;2;1;1;1;2;2;1;01;05;1;844,485085482904
448090;05;1;2;2;1;1;1;1;1;4;1; ; ;20000000;135000; ;1;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;2;2;1;01;05;1;841,411603476039
448091;05;1;3;2;1;1;1;1;1;3;1; ; ;20000000;220000; ;1;1;2;2;1;1;1;1;2;2;1;1;1;2;2;2;2;2;1;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;05;1;768,33897482064
448093;05;1;1;1;1;1;1;1;1;1;1; ; ;10000000;70000; ;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;1;2;1;01;05;1;716,213196517758
448095;05;1;4;3;1;1;1;1;1;1;4; ; ; ;150000; ;1;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;3;2;1;01;05;1;802,051973122818
448096;05;1;4;2;1;1;1;1;1;3;3; ; ; ; ;200000;1;2;2;2;1;1;1;1;2;1;1;2;1;2;2;2;2;1;1;1;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;731,774226594987
448097;05;1;5;3;1;1;1;1;1;1;1; ; ;15000000;150000; ;1;2;2;2;1;1;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;827,684892578135
448098;05;1;3;2;1;1;1;1;1;4;3; ; ; ; ;230000;1;1;2;1;1;2;1;1;1;1;1;1;2;2;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;822,344898349138
448099;05;1;4;2;1;1;1;1;1;4;3; ; ; ; ;200000;1;1;2;1;1;1;1;1;1;2;2;1;1;1;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;808,631130179356
448100;05;1;1;1;1;1;1;1;1;4;3; ; ; ; ;200000;1;1;2;1;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;681,152897181714
448101;05;1;5;3;1;1;1;1;1;3;1; ; ;40000000;300000; ;1;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;1107,3520540694
448102;05;1;4;3;1;1;1;1;1;4;3; ; ; ; ;100000;1;2;2;1;1;1;1;2;1;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;776,274357869666
