DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;CLASE;DPTO;ORDEN;AREA;fex_c_2011
448060;1;4;4;1;1;1;1;1;4;2; ;280000;80000000;400000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;4;1;2;1;1;1;3;2;1;01;1;05;1;05;701,589142118332
448061;1;1;1;1;2;1;1;1;1;4; ; ; ;100000; ;2;1;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;1;4;1;2;1;2;1;1;1;2;2;1;01;1;05;1;05;821,412373343643
448062;1;2;2;1;2;1;1;1;1;4; ; ; ;120000; ;1;2;2;2;1;1;2;2;2;2;2;1;1;2;2;2;2;1;1;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;1;05;1;05;862,637053707853
448064;1;1;1;1;1;1;1;1;4;3; ; ; ; ;225000;1;1;2;1;1;2;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;1;05;1;05;764,332967808281
448065;1;3;1;1;1;1;1;1;1;3; ; ; ; ;300000;1;2;2;2;1;1;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;1;05;1;05;847,176674779566
448066;1;2;2;1;1;1;1;1;1;4; ; ; ;13000; ;1;2;2;2;1;1;2;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;1;2;1;01;1;05;1;05;960,008614601931
448067;1;1;1;1;2;1;1;1;1;4; ; ; ;80000; ;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;1;05;1;05;980,402190977192
448068;1;2;1;1;1;1;1;1;1;3; ; ; ; ;200000;1;1;2;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;1;05;1;05;707,253562272918
448069;1;3;2;1;1;1;1;1;1;3; ; ; ; ;355000;1;2;1;2;1;1;1;1;2;2;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;1;05;1;05;653,247638744421
448071;1;5;4;5;1;1;1;1;4;4; ; ; ;100000; ;1;2;2;1;1;1;2;2;2;2;1;2;1;2;2;2;2;2;1;2;2;1;2;1;2;1;2;2;1;1;1;2;1;01;1;05;1;05;771,412456827505
448072;1;4;3;1;1;1;1;1;1;3; ; ; ; ;180000;1;2;2;2;2;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;811,011607367658
448073;1;4;2;1;1;1;1;1;1;3; ; ; ; ;180000;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;662,207272989261
448074;1;3;2;1;1;1;1;1;1;3; ; ; ; ;350000;1;2;2;1;1;1;1;2;1;2;1;1;1;1;2;2;1;2;2;1;2;1;1;1;4;1;2;1;1;1;3;2;1;01;1;05;1;05;862,637053707853
448075;1;5;4;1;1;1;1;1;3;1; ; ;75000000;400000; ;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;1;05;1;05;598,13694714006
448076;1;6;4;1;1;1;1;1;3;1; ; ;120000000;450000; ;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;4;1;1;1;1;1;3;2;1;01;1;05;1;05;676,128344633527
448077;1;6;5;1;1;1;1;1;4;3; ; ; ; ;550000;1;1;2;1;1;1;1;2;1;2;1;1;1;1;2;2;1;2;2;2;2;1;1;1;4;1;2;1;1;1;3;2;1;01;1;05;1;05;993,175825984238
448078;1;5;4;1;1;1;1;1;1;1; ; ;300000;400000; ;1;1;2;1;1;1;1;2;2;1;1;1;1;1;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;1;05;1;05;820,186153244225
448079;1;4;1;1;1;1;1;1;1;3; ; ; ; ;320000;1;1;2;1;1;1;1;2;1;1;1;1;1;1;2;2;1;1;1;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;1;05;1;05;765,265492813775
448080;1;2;2;1;1;1;1;2;4;3; ; ; ; ;100000;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;910,956318305914
448081;1;4;1;2;1;1;1;1;4;1; ; ;50000000;350000; ;1;1;2;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;1;05;1;05;707,253562272918
448082;1;3;2;1;1;1;1;1;1;3; ; ; ; ;190000;1;1;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;1;2;1;01;1;05;1;05;729,393749406684
