DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;CLASE;DPTO;ORDEN;fex_c_2011
449989;1;3;1;4;1;3;6;1;5;1; ; ;5000000;20000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;6;2;1;2;2;2;2;1; ; ;01;2;19;1;797,62728901397
449990;1;2;1;2;1;3;1;1;5;4; ; ; ;20000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;6;1;1;2;2;2;1;1; ;1;01;2;19;1;866,679347097184
449991;1;3;2;2;1;3;1;1;5;5; ; ; ;50000; ;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;5;2;1;2;2;2;1;1; ;1;01;2;19;1;2072,52920920459
449992;1;4;3;4;1;4;1;1;5;4; ; ; ;80000; ;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;1;1; ;1;01;2;19;1;2927,23400169868
449993;1;5;2;2;1;4;6;1;5;5; ; ; ;200000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;19;1;2171,51611606545
449994;1;4;3;2;1;4;1;1;1;3; ; ; ; ;80000;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;1;1; ;1;01;2;19;1;1687,29457617049
449995;1;3;2;4;1;3;2;1;5;1; ; ;98;98; ;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;4;2;1;2;2;2;2;1; ; ;01;2;19;1;959,245606332771
449996;1;3;1;2;1;3;1;1;5;4; ; ; ;30000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;2;1;2;2;2;1;1; ;1;01;2;19;1;1913,66848587986
449997;1;3;2;2;1;4;2;1;5;1; ; ;4000000;50000; ;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;19;1;731,80850042467
449998;1;3;2;2;1;3;1;1;4;1; ; ;5000000;50000; ;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;1;1;2;2;1;1;5;1;1;2;2;2;1;1; ;1;01;2;19;1;1913,35386265693
449999;1;7;1;2;1;3;2;1;5;1; ; ;99;100000; ;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2; ; ;01;2;19;1;1181,91830617127
450000;1;4;3;2;1;4;1;1;4;1; ; ;10000000;100000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;1;1; ;1;01;2;19;1;960,762237914163
450001;1;3;2;2;1;4;4;1;5;1; ; ;2000000;30000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;7;2;1;2;2;2;2;1; ; ;01;2;19;1;1651,70479021295
450002;1;4;2;2;1;4;1;1;5;1; ; ;10000000;100000; ;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;2;1;2;2;1;1;1;2;1;2;2;2;1;1; ;1;01;2;19;1;1406,53949736922
456573;1;3;2;2;1;4;4;1;5;4; ; ; ;500000; ;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;2;0; ; ;01;2;23;1;1540,83069170525
456574;1;3;2;2;1;4;10;1;5;4; ; ; ;150000; ;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;1;4;1;2;2;2;1;1; ;2;01;2;23;1;1224,42337946605
456575;1;3;1;2;1;4;5;1;5;4; ; ; ;80000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;23;1;1495,46787219184
456576;1;5;3;2;1;4;3;1;5;4; ; ; ;30000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;2;1;2;2;2;2;1; ; ;01;2;23;1;1546,54805338292
456577;1;2;1;2;1;4;5;1;5;4; ; ; ;50000; ;2;2;2;2;1;1;2;2;2;2;1;2;1;2;2;2;1;1;2;2;2;1;1;5;2;1;2;2;2;2;1; ; ;01;2;23;1;1421,09743405825
