DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7250;P7260;P7280;P7280S1;P7290;P7300;P7310;P7320;P7350;P7350S1;P7360;P7370;P7380;P7380S1;P7390;P7390S1;P7400;P7410;P7410S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P7424;P7424S1;CLASE;OFICIO1;OFICIO2;RAMA4D_D;RAMA2D_D;DSI;DPTO;AREA;fex_c_2011
448071;1;2;70;28;48;1; ;1;1;2;52;1; ;3;2;2; ;2; ;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2; ;1;57;45;5211;52;1;05;05;771,412456827505
448084;1;4;70;16;48;1; ;2;2;2;18;1; ;8;2;2; ;1; ;2;5; ; ; ; ; ; ; ; ; ;1; ;2; ;1;180000;1;97;37;6412;64;1;05;05;629,348387319487
448102;1;3;70;24;48;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;39; ; ; ;1;05;05;776,274357869666
448109;1;1;70;4;48;1; ;1;1;2;48;1; ;9;1; ;.;7; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;81;45;5051;50;1;05;05;653,247638744421
448113;1;2;70;12;48;1; ;2;2;2;12;1; ;8;1; ;.;2; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;1300000;1;44;45;1810;18;1;05;05;862,637053707853
448118;1;2;70;32;48;1; ;1;1;2;32;1; ;9;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;1500000;1;79;79;1810;18;1;05;05;591,851114088339
448118;1;4;70;4;50;2; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;58; ; ; ;1;05;05;591,851114088339
448121;1;4;70;32;48;2; ;1;2;2;32;1; ;3;1; ;.;2; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;39;45;5234;52;1;05;05;976,388575807591
448128;1;3;70;30;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;32; ; ; ;1;05;05;865,710535714718
448139;1;3;70;4;48;1; ;2;2;2;4;1; ;9;1; ;.;2; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;4337000;1;45;45;5211;52;1;05;05;814,105519160031
448146;1;2;70;12;48;1; ;1;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;1;05;05;643,577211577475
448149;1;2;70;8;48;1; ;2;2;2;8;1; ;9;1; ;.;2; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;8000000;1;38;21;7499;74;1;05;05;765,265492813775
448152;1;4;70;144;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;57; ; ; ;1;05;05;797,105832947723
448158;1;1;70;8;48;1; ;1;1;2;8;1; ;5;2;2; ;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3580000;1;00;79;1810;18;1;05;05;653,247638744421
448167;1;1;70;96;48;1; ;2;2;2;96;1; ;9;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;54;39;9242;92;1;05;05;822,344898349138
448177;1;4;70;24;48;1; ;1;1;2;24;1; ;2;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;3300000;1;98;98;6041;60;1;05;05;927,136786204035
448188;1;1;70;20;48;1; ;1;1;2;104;1; ;9;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;5211;52;1;05;05;804,625123166996
