DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;fex_c_2011
1723785;1;7;1;70;05;10;20;1; ;2;10;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;44;44;64;1;1;6421;05;732,804340450541
1723880;1;1;1;70;05;52;48;2; ;2;52;2; ;9;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;05;05;85;1;2;8511;05;848,028950428583
1723885;1;3;1;70;05;4;48;1; ;2;20;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;97;51;1;1;5125;05;1098,29765683856
1723890;1;2;1;70;05;24;24;1; ;2;204;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;32;50;1;2;5020;05;919,526923512097
1723891;1;1;1;70;05;10;48;5; ;2;10;5; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;05;948,621110863596
1723894;1;1;1;70;05;4;48;1; ;2;4;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;21;25;1;1;2529;05;1004,72517691224
1723896;1;3;1;70;05;120;48;1; ;2;120;1; ;6;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;06;45;52;1;2;5231;05;1363,7992295932
1723903;1;2;1;70;05;8;48;3; ;2;100;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;05;626,999960122397
1723916;1;1;1;70;05;5;48;1; ;2;5;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;1;700000;2;37;39;51;1;1;5141;05;830,189637400402
1723916;1;3;1;70;05;6;48;1; ;2;6;6; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;37;55;1;1;5529;05;830,189637400402
1723917;1;1;1;70;05;3;48;1; ;2;4;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;1;496900;2;45;33;52;1;1;5223;05;800,907490966543
1723917;1;4;1;70;05;16;48;1; ;2;16;1; ;8;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;80;19;1;2;1931;05;800,907490966543
1723929;1;2;1;70;05;8;40;1; ;2;2;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;50000;2;53;59;51;1;1;5135;05;805,109103356152
1723940;1;3;1;70;05;26;48;1; ;2;30;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;16;18;1;2;1810;05;872,945791407809
1723940;1;4;1;70;05;32;48;1; ;2;32;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;18;1;2;1810;05;872,945791407809
1723944;1;1;1;70;05;4;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;05;805,770693448861
1723958;1;2;1;70;08;150;48;1; ;2;150;1; ;6;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5211;08;575,132454677376
1723969;1;3;1;70;08;4;48;1; ;2;4;1; ;6;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;08;08;74;1;1;7414;08;526,123657209518
1723970;1;2;1;70;08;50;48;1; ;2;50;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;2;1810;08;510,983031115456
1723971;1;3;1;70;08;4;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;1; ;08;512,798972016928
1723974;1;2;1;70;08;4;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;1; ;08;488,314132720586
1723986;1;3;1;70;08;12;72;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;06; ; ;1;1; ;08;537,632401500636
1724007;1;2;1;70;08;8;60;1; ;2;8;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;34;34;60;1;1;6021;08;519,492706039567
1724008;1;2;1;70;08;6;48;1; ;2;12;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;40;39;65;1;1;6516;08;503,992642114659
1724008;1;4;1;70;08;20;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;37; ; ;1;2; ;08;503,992642114659
1724023;1;2;1;70;13;156;48;1; ;2;364;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;19;1;2;1921;13;390,309219039468
1724027;1;2;1;70;13;16;48;1; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5521;13;262,771825534055
1724030;1;3;1;70;13;20;48;1; ;2;20;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;95;45;1;2;4521;13;437,479088492824
1724035;2;1;2;70;13;4;48;1; ;2;1;1; ;8;5; ; ; ; ; ; ; ; ; ;1; ;1;180000;2;89;89;26;1;1;2691;13;377,878907485554
1724053;1;4;1;70;13;52;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;55; ; ;1;2; ;13;291,257325533669
1724054;1;3;1;70;13;52;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;13;370,562114210261
1724070;1;1;1;70;13;4;48;1; ;2;4;2; ;9;2; ; ; ; ; ; ; ;1; ; ; ;2; ;2;21;21;75;1;1;7512;13;340,258346958028
1724076;1;2;1;70;13;26;60;3; ;2;26;3; ;1;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;54;54;95;1;2;9500;13;254,880149755292
1724078;1;6;1;70;13;52;48;1; ;2;52;1; ;3;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;32;39;85;1;2;8513;13;351,30524085163
1724083;1;2;1;70;13;26;60;1; ;2;26;1; ;3;8; ; ; ; ; ; ; ;1; ; ; ;2; ;2;58;58;51;1;2;5141;13;373,339490073765
1724090;1;2;1;70;13;4;40;1; ;2;24;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;1;8042;13;320,339188355766
1724095;1;2;1;70;13;4;60;4; ;2;4;4; ;1;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4530;13;772,897066485766
1724096;1;2;1;70;13;2;48;1; ;2;2;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;85;1;1;8512;13;360,005451787234
1724220;1;2;1;70;17;24;48;1; ;2;24;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;44;64;1;2;6421;17;143,649514008942
1724563;1;5;1;70;23;4;20;1; ;2;45;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;37;85;1;1;8511;23;137,675968207703
1724670;1;3;1;70;23;12;40;1; ;2;40;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;55;55;1;1;5511;23;114,736127926575
1724673;1;3;1;70;23;2;40;1; ;2;2;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;45;45;52;1;1;5234;23;118,148032543255
1724675;1;4;1;70;23;20;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;43; ; ;1;2; ;23;80,6758575027661
1724684;1;1;1;70;23;8;40;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;41;52;1;1;5269;23;138,669692467652
1724687;1;3;1;70;23;4;20;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;12; ; ;1;1; ;23;150,97076195149
1724692;1;1;1;70;23;52;7;4; ;2;523;1; ;2;9;RECURSOS PROPIOS; ; ; ; ; ; ; ; ;1; ;2; ;2;13;99;50;1;2;5020;23;144,595380762387
1724694;1;2;1;70;23;10;40;2; ;2;32;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;1;8041;23;138,762139926618
1724694;1;4;1;70;23;12;44;1; ;2;52;1; ;9;9;RECURSOS PROPIOS; ; ; ; ; ; ; ; ;1; ;2; ;2;21;33;85;1;1;8512;23;138,762139926618
1724697;1;8;1;70;23;52;32;1; ;2;104;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;45;52;1;2;5211;23;143,9067579448
1724700;3;1;3;70;23;2;44;1; ;2;12;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;53;55;1;1;5529;23;113,113021100539
1724701;1;5;1;70;23;8;35;1; ;2;104;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;23;127,07669474988
1724703;1;2;1;70;23;32;48;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;2; ;23;128,302535513755
1724707;1;2;1;70;23;2;30;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;23;144,595380762387
1724708;1;3;1;70;23;32;44;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;2; ;23;133,073490542855
1725118;1;6;1;70;50;4;48;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;57;57;93;1;1;9302;50;204,491409136248
1725123;1;1;1;70;50;4;48;1; ;2;8;1; ;2;4; ; ; ; ; ;1; ; ; ; ; ;2; ;2;53;45;50;1;1;5040;50;169,734358461287
1725124;1;3;1;70;50;48;48;1; ;2;50;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;50;178,693490602445
