DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;AREA;ESC;DPTO;fex_c_2011
1723281;1;1;1;10;1;1;1;2;1971;38;1;2;1; ; ;1;1;55000;2;1;2; ;5;11;2;11;11;11;2530,58028008943
1723281;1;2;1;10;2;2;1;12;1975;33;2;2;1; ; ;1;1;35000;2;1;2; ;6;6;4;11;17;11;2530,58028008943
1723692;1;1;1;10;1;1;1;11;1941;67;1;3;1; ; ;1;2;700000;2;1;2; ;6;5;4;05;16;05;953,963442396734
1723692;1;2;1;10;2;2;1;3;1959;50;2;3;1; ; ;1;5; ;2;1;2; ;6;2;2;05;13;05;953,963442396734
1723693;1;1;1;10;1;1;1;7;1956;53;1;3;1; ; ;1;3;62300;2;1;2; ;6;3;3;05;14;05;817,493421395909
1723693;1;2;1;10;2;2;1;4;1961;48;2;3;1; ; ;1;5; ;2;1;2; ;6;1;2;05;12;05;817,493421395909
1723693;1;3;1;10;3;1;1;8;1985;23;3;6;1; ; ;1;5; ;1;1;1;2;6;3;2;05;14;05;817,493421395909
1723693;1;4;1;10;3;1;1;11;1988;20;3;6;1; ; ;1;5; ;2;1;1;2;6;3;2;05;14;05;817,493421395909
1723693;1;5;1;10;2;1;1;4;1992;17;3;6;1; ; ;1;5; ;2;1;2; ;5;11;2;05;11;05;817,493421395909
1723775;1;1;1;10;1;1;1;9;1967;41;1;2;1; ; ;1;1;86000;2;1;2; ;6;6;5;05;17;05;843,957474694832
1723775;1;2;1;10;2;2;1;4;1969;40;2;3;1; ; ;1;1;860000;2;1;2; ;6;5;4;05;16;05;843,957474694832
1723775;1;3;1;10;3;1;1;11;1990;18;3;6;1; ; ;1;5; ;2;1;1;2;6;0;2;05;11;05;843,957474694832
1723775;1;4;1;10;2;1;1;12;1993;15;3;6;1; ; ;1;5; ;2;1;1;2;4;9; ;05;9;05;843,957474694832
1723775;1;5;1;10;2;1;1;6;2005;4;3; ;1; ; ;1;5; ;2;2;1;1;2;0; ;05;0;05;843,957474694832
1723777;1;1;1;10;1;1;1;9;1977;31;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;05;5;05;896,257572624986
1723777;1;2;1;10;2;2;1;3;1974;35;2;2;1; ; ;3; ; ;1;1;2; ;4;8; ;05;8;05;896,257572624986
1723777;1;3;1;10;1;1;1;10;1994;14;3;6;1; ; ;3; ; ;1;1;1;1;4;8; ;05;8;05;896,257572624986
1723777;1;4;1;10;1;2;1;12;1995;13;3;6;1; ; ;3; ; ;1;1;1;1;4;7; ;05;7;05;896,257572624986
1723777;1;5;1;10;1;1;1;2;2003;6;3; ;1; ; ;3; ; ;2;1;1;1;3;0; ;05;0;05;896,257572624986
1723778;1;1;1;10;1;2;1;9;1928;80;1;6;1; ; ;2;2;240000;2;1;2; ;6;5;4;05;16;05;809,332996727835
1723778;1;2;1;10;2;2;1;10;1976;32;6;6;1; ; ;3; ; ;2;1;2; ;3;3; ;05;3;05;809,332996727835
1723779;1;1;1;10;1;2;1;8;1939;69;1;6;1; ; ;1;5; ;2;1;2; ;6;5;4;05;16;05;865,998400112622
1723780;1;1;1;10;1;1;1;11;1955;53;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ;05;5;05;1038,98672730476
1723780;1;2;1;10;2;2;1;10;1943;65;2;3;1; ; ;3; ; ;1;2;2; ;1;0; ;05;0;05;1038,98672730476
1723781;1;1;1;10;1;1;1;3;1966;43;1;2;1; ; ;1;4; ;2;1;2; ;4;8; ;05;8;05;1087,22662492826
1723781;1;2;1;10;2;2;1;8;1988;20;2;2;1; ; ;1;5; ;2;1;2; ;4;8; ;05;8;05;1087,22662492826
1723781;1;3;1;10;2;2;1;12;2008;0;3; ;1; ; ;1;5; ;2; ; ; ; ; ; ;05; ;05;1087,22662492826
1723782;1;1;1;10;1;1;1;2;1940;69;1;2;1; ; ;1;2;135000;2;1;2; ;3;2; ;05;2;05;948,621110863596
1723782;1;2;1;10;2;2;1;6;1931;78;2;2;1; ; ;1;5; ;2;1;2; ;3;3; ;05;3;05;948,621110863596
1723783;1;1;1;10;1;1;1;4;1964;45;1;6;1; ; ;1;3;125000;2;1;2; ;6;10;5;05;21;05;1025,38258307536
1723783;1;2;1;10;2;1;1;8;1990;18;5;6;1; ; ;1;3;62125;2;1;1;1;6;0;2;05;11;05;1025,38258307536
1723784;1;1;1;10;1;1;1;11;1941;67;1;3;1; ; ;1;2;371480;2;1;2; ;6;5;4;05;16;05;948,621110863596
1723784;1;2;1;10;2;2;1;8;1945;63;2;3;1; ; ;1;5; ;2;1;2; ;6;3;3;05;14;05;948,621110863596
1723785;1;1;1;10;1;2;1;12;1967;41;1;5;1; ; ;3; ; ;2;1;1;2;6;0;2;05;11;05;732,804340450541
