DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;AREA;fex_c_2011
1722174;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;197,642645990265
1722174;1;3;1;80;1;1;2;8; ;2; ;2; ; ;2; ;2;1;1;47;47;197,642645990265
1722174;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;197,642645990265
1722175;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;47;47;192,472969973114
1722175;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;192,472969973114
1722175;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;192,472969973114
1722176;1;1;1;80;1;1;4;7; ;2; ;2; ; ; ; ;4;2;1;47;47;109,160351747348
1722176;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;109,160351747348
1722176;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;109,160351747348
1722176;1;6;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;109,160351747348
1722177;1;5;1;80;1;1;1;3; ;2; ;2; ; ; ; ;9;2;1;47;47;143,936664907833
1722178;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;203,091514704092
1722178;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;203,091514704092
1722179;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;146,655278146319
1722179;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;146,655278146319
1722180;1;3;1;80;1;1;3;8; ;2; ;2; ; ; ; ;2;2;1;47;47;146,655278146319
1722181;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;47;47;109,20517659461
1722181;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;47;47;109,20517659461
1722181;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;109,20517659461
1722181;1;7;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;109,20517659461
1722182;1;1;1;80;1;1;4;4; ;3; ;2; ; ; ; ;10;2;1;47;47;79,5649478715546
1722182;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;8;2;1;47;47;79,5649478715546
1722182;1;3;1;80;1;1;2;1; ;2; ;2; ; ; ; ;4;2;1;47;47;79,5649478715546
1722182;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;79,5649478715546
1722182;1;7;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;79,5649478715546
1722184;1;1;1;80;1;2; ; ; ;3; ;2; ;2; ;.; ; ;1;47;47;123,33076207218
1722184;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;123,33076207218
1722184;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;123,33076207218
1722184;1;6;1;80;1;1;4;1; ;2; ;2; ; ; ; ;9;2;1;47;47;123,33076207218
1722184;1;8;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;123,33076207218
1722185;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;8;2;1;47;47;79,5649478715546
1722185;1;2;1;80;1;1;4;9;EDAD;2; ;2; ; ; ; ;8;2;1;47;47;79,5649478715546
1722186;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;47;47;216,524892601571
1722186;1;5;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;47;47;216,524892601571
1722186;1;8;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;216,524892601571
1722186;1;9;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;216,524892601571
1722186;1;11;1;80;1;1;1;1; ;2; ;2; ; ; ; ;9;2;1;47;47;216,524892601571
1722186;1;13;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;216,524892601571
1722188;1;1;1;80;1;1;3;1; ;2; ;2; ; ;1; ;1;1;1;47;47;156,47869300652
1722188;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;156,47869300652
1722188;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;156,47869300652
1722188;1;5;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;47;47;156,47869300652
1722189;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;47;47;110,310506730267
1722189;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;110,310506730267
1722189;1;4;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;47;47;110,310506730267
1722190;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;47;47;88,4054976350607
1722190;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;88,4054976350607
1722192;1;1;1;80;1;1;3;8; ;2; ;2; ; ; ; ;8;2;1;47;47;184,660427952378
1722192;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;184,660427952378
1722193;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;47;47;226,366660480292
1722195;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;184,150388345025
1722197;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;47;47;99,1900309807587
