DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5246960;1;2;1;80;17;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;4;17;154,12844875229
5246960;1;3;1;80;17;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;10;3;17;154,12844875229
5246961;1;1;1;80;17;1;8; ;1; ;1;8; ;3; ;2; ; ; ; ;3;1;10;2;17;217,907035562624
5246961;1;2;1;80;17;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;10;4;17;217,907035562624
5246961;1;6;1;80;17;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;2;17;217,907035562624
5246962;1;2;1;80;17;1;3; ;2; ; ;9; ;3; ;2; ; ; ; ;3;1;10;4;17;175,174789360373
5246962;1;3;1;80;17;1;8; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;10;4;17;175,174789360373
5246963;1;2;1;80;17;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;4;17;172,108606972431
5246969;1;3;1;80;50;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;50;201,793258435036
5246969;1;4;1;80;50;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;50;201,793258435036
5246969;1;5;1;80;50;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10; ;50;201,793258435036
5246969;1;6;1;80;50;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10; ;50;201,793258435036
5246974;1;2;1;80;23;2; ; ; ;2; ; ;.;2; ;2; ;2; ;700000;2;1;10; ;23;174,793541216436
5246974;2;3;2;80;23;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;10;2;23;174,793541216436
