DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6440;P6450;P6460;P6460S1;P6400;P6422;P6424;P6424S2;P6424S3;P6424S1;P6426;P6430S1;P6480;P6480S1;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585;P6585S2A1;P6585S3A1;P6585S4A1;P6585S3A2;P6585S2A2;P6585S1A2;P6585S2;P6585S3;P6585S1A1;P6585S4;P6585S1;P6580;P6580S1;P6580S2;P6630;P6630S3;P6630S4A1;P6630S3A1;P6630S2A1;P6630S1A1;P6630S4;P6630S2;P6630S1;P6640;P6642;P6642S2;P6642S1;P6765;P6765S1;P6772;P6750;P6760;P550;P6780;P6780S1;P6790;P6410;P6640S1;P6642S5;P6642S4;P6642S3;P6642S6;P9440;P6630S6;P6630S6A1;P6410S1;P6545S1;P6545;P6545S2;P6585S4A2;P6773S1;P6775;P6772S1;P388;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6835;P6835S1;P6835S2;P6836;P6836S1;P6836S2;P6837;P6837S1;P6837S2;P6870;P6880;P6880S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S8;P6980S7A1;P6990;P7020;P7026;P7028;P7028S1;P7040;P7045;P7050;P7050S1;P7070;P760;P9450;P6915S1;P6915;P6773;P7075;P7077;P390;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170;P7170S1;P7170S2;P7170S3;P7170S4;P7170S5;P7170S6;P7180;P7190;P7200;P7240;P7240S1;OFICIO;RAMA2D;OCI;P6430;P6420S1;RAMA4D;RAMA4DP8;RAMA2DP8;INGLABO;MES;DPTO;fex_c_2011
3103875;1;1;1;60;2;1;1; ; ;2;1; ;2;1;1;6; ;1; ;1100000;2; ; ;2; ;2; ;2; ;2; ; ;65500; ; ; ;2; ;1;2; ;2;2;2; ; ; ;2;3000000; ; ; ;1;2;2;2; ; ; ; ;.; ; ; ; ; ;.;11;4; ; ; ; ; ;2;2; ;EMPRESA PRIVADA-; ;2; ; ; ; ; ;5;60; ;.;0;1; ;2; ; ; ; ; ; ; ; ;3;4; ;1;1;1;4;1;1; ; ; ; ; ; ; ; ;1;1;3;5; ;2; ; ; ; ;1;1; ;1; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2;2;3;2;5; ;98;21;1;1;6042;2101;6042;60;1100000;12;05;975,75298084596
3103880;1;1;1;60;2;1;2;1; ;1;1; ;1;1;1;72; ;1; ;1083000;1;60000;2;2; ;2; ;2; ;2; ; ;67500; ; ; ;2; ;1;2; ;2;2;2; ; ; ;1; ;541500;1083000;1083000;2;1;1;1;1;17;7; ; ; ; ; ; ; ; ;12; ;8; ; ;8; ;2;2; ; ; ;2; ; ; ; ; ;5;48; ;.;48; ; ;1;7;17;2; ; ; ; ; ;9;5; ;1;1;1;6;1;1; ; ; ; ; ; ; ; ;1;1;60;4; ;2; ; ; ; ;0;1; ;1; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;1;3;3;2; ;62;75;1;2; ;7512; ; ;1083000;12;05;975,75298084596
3103881;1;1;1;60;2;1;2;1; ;1;1; ;1;1;1;180; ;5; ;1390000;2; ; ;2; ;2; ;2; ;2; ; ; ;18300; ;2; ; ;2;1; ;2;2;2; ; ; ;1; ;695000;1390000;1390000;2;1;1;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;5;48; ;.;16;1; ;1;7;17;2; ; ; ; ; ;9;7; ;1;2;1;21;1;1; ; ; ; ; ; ; ; ;1;1;1;1; ;2; ; ; ; ;0;1; ;1; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2;1;3;3;1; ;39;75;1;2; ;7512; ; ;1390000;12;05;998,993206181228
3103882;1;1;1;60;2;1;1; ; ;1;1; ;2;2;2;24; ;1; ;200000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;5;12;1; ;12; ; ;1;6;18;2; ; ; ; ; ;2;7; ;1;4;2;20;1; ;1; ; ; ; ; ; ; ;2;1;156;1; ;2; ; ; ; ;0;2; ;2; ; ; ; ;1;36;2;1;1;1;1;1;2;2;2;2;1;2;1;POR QUE AVECES LE TOCA DE NOCHE;2;1; ;2;2;2;3;3;2;2;2;3;3; ;75;17;1;1; ;1720; ; ;200000;12;05;1044,29075316566
3103882;1;3;1;60;2;1;2;2;12;1;1; ;2;1;1;60; ;1; ;605000;2; ; ;1;100000;2; ;2; ;2; ; ;67500; ; ; ;2; ;1;2; ;2;2;2; ; ; ;2; ; ; ;605000;2;2;1;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;5;48; ;.;0;3; ;2; ; ; ; ; ; ; ; ;9;7; ;1;1;1;9;1;1; ; ; ; ; ; ; ; ;1;1;15;1; ;2; ; ; ; ;8;1; ;1; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;6; ;70;24;1;1; ;2424; ; ;705000;12;05;1044,29075316566
3103882;1;4;1;60;2;1;2;1; ;1;1; ;2;1;1;96; ;1; ;700000;2; ; ;2; ;2; ;2; ;2; ; ;67500; ; ; ;2; ;1;2; ;2;2;2; ; ; ;2; ; ; ;700000;2;2;1;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;5;60; ;.;60; ; ;1;10;22;2; ; ; ; ; ;8;7; ;1;1;1;8;1;1; ; ; ; ; ; ; ; ;1;1;12;1; ;2; ; ; ; ;0;1; ;1; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;2;9; ;50;55;1;1; ;5529; ; ;700000;12;05;1044,29075316566
3103882;1;5;1;60;2;1;2;1; ;1;1; ;2;1;1;24; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;900000;1;10800000;3; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ;5;70; ;.;70; ; ;2; ; ; ; ; ; ; ; ;1;4; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;36;1; ;2; ; ; ; ;8;1; ;1; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;4;10;PENSION;98;60;1;4; ;6031; ; ;900000;12;05;1044,29075316566
3103888;1;1;1;60;2;1;2;1; ;1;1; ;1;1;1;36; ;1; ;800000;2; ; ;2; ;2; ;2; ;2; ; ;67800;34000; ;2;1; ;1;1; ;2;2;2; ; ; ;2; ; ;724000;724000;2;1;1;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;5;48; ;.;48; ; ;1;7;17;2; ; ; ; ; ;9;7; ;1;2;1;20;1;1; ; ; ; ; ; ; ; ;1;1;24;4; ;2; ; ; ; ;6;1; ;1; ; ; ; ;2; ; ; ;1;1;1;1;2;2;2;2;2;2;2; ;2;1; ;2;2;2;2;2;2;2;3;3;1; ;03;80;1;2; ;8046; ; ;800000;12;05;1236,93252930404
3103898;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2;50000;1;110000;3; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;5;42; ;.;42; ; ;1;10;17;2; ; ; ; ; ;1;6; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;1;8; ;2; ; ; ; ;2;2; ;5; ; ; ; ;2; ; ; ;1;1;1;1;1;1;2;1;2;2;2; ;2;1; ;2;2;4;4;2;2;2;1;4;3; ;45;52;1;4; ;5262; ; ;50000;12;05;1335,99055507539
3103898;1;3;1;60;2;1;2;2;4;1;1; ;2;1;1;12; ;1; ;783700;1;150000;1;2; ;2; ;2; ;2; ; ;66700;20000; ;2;1; ;1;1; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;1;1;20;18; ; ; ; ; ; ; ; ;12; ;15; ; ;15; ;2;2; ; ; ;2; ; ; ; ; ;5;58; ;.;58; ; ;1;8;20;2; ; ; ; ; ;7;4; ;1;1;1;10;1;1; ; ; ; ; ; ; ; ;1;1;24;1; ;2; ; ; ; ;0;1; ;1; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;1; ;98;18;1;1; ;1810; ; ;783700;12;05;1335,99055507539
