DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P744;P1884;P1807;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P6921;P7470;P7472;P7472S1;INI;MES;p7440;DPTO;fex_c_2011
5570683;1;1;1;80;2;1;40;908000;1;1;;2;;;9;;2;2;;2;;1;10;1.4;25;3040.1922348
5570683;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;25;3040.1922348
5570683;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;25;3040.1922348
5570696;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;50;692.9072404
5570696;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;50;692.9072404
5570697;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;50;793.16761042
5570697;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;50;793.16761042
5570697;1;4;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;50;793.16761042
5570705;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;76;997.45220875
5570713;1;1;1;80;2;2;;98;1;4;;2;;;4;;2;2;;1;80000;1;10;3;76;2329.0798067
5570714;1;1;1;80;2;1;48;98;1;9;CAMBIO DE DOMICILIO;1;;3;1;;2;2;;2;;1;10;4;76;4347.4525319
5570715;1;2;1;80;2;1;48;908526;1;9;RAZONES PERSONALES;2;;;1;;2;2;;2;;1;10;3;76;8641.2400847
5571197;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;25;2660.676836
5571201;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;25;3212.8605818
5571203;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;25;5094.6975833
5571205;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;25;3154.6106753
5571206;1;2;1;80;2;;;;1;5;;2;;;11;;3;3;;2;;1;10;4;25;3511.081364
5571209;1;2;1;80;2;2;;908526;1;3;;2;;;12;PANDEMIA;1;2;;2;;1;10;2;25;4628.2001204
5571209;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;25;4628.2001204
5571210;1;1;1;80;2;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;25;4494.7198034
5571213;1;2;1;80;2;2;;908526;1;2;;1;;1;2;;2;2;;2;;1;10;3;25;2795.7514761
5571214;1;1;1;80;2;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;25;2567.9667213
5571215;1;2;1;80;2;;;;1;8;;2;;;2;;2;2;;2;;1;10;1.3;25;8046.3249641
5571215;1;5;1;80;2;2;;500000;2;;;;2;;;.;2;2;;2;;1;10;;25;8046.3249641
5571216;1;1;1;80;2;;;;1;1;;2;;;1;;2;2;;2;;1;10;2;25;2567.9667213
5571217;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;25;4966.4728834
5571220;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;25;4954.4723527
5571223;1;1;1;80;2;;;;1;4;;2;;;8;;2;2;;2;;1;10;4;25;4494.7198034
