DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500S1;P7500S1A1;P7500S2;P7500S2A1;P7500S3;P7500S3A1;P7505;P7510S1;P7510S1A1;P7510S2;P7510S2A1;P7510S3;P7510S3A1;P750S1A1;P750S2A1;P750S1;P750S2;P750S3;P750S4;P1661S1;P1661S2;P1661S3;P1661S4;P1661S1A1;P1661S2A1;P1661S3A1;P1661S4A1;P1661S4A2;P750S3A1;P7510S5;P7510S5A1;P7510S6;P7510S6A1;P7510S7;P7510S7A1;AREA;CLASE;MES;DPTO;fex_c_2011
5570685;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;25;4621.1942807
5570685;1;2;1;95;1;2;;1;98;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;25;4621.1942807
5570686;1;1;1;95;1;2;;1;98;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;25;4621.1942807
5570686;1;2;1;95;1;2;;1;98;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;25;4621.1942807
5570688;1;1;1;95;2;;;;;;;1;1;98;2;;2;;;;;;;;;;;;;;;;;;2;;2;;2;;;1;10;25;4454.8759386
5570689;1;1;1;95;1;1;98;1;98;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;25;4621.1942807
5570689;1;2;1;95;1;2;;1;98;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;25;4621.1942807
5570694;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;44;831.79616115
5570694;1;2;1;95;2;;;;;;;1;2;;2;;1;1920000;;1920000;;1;;;;;;1;;;;INGRESO SOLIDARIO;1920000;;2;;2;;2;;;1;10;44;831.79616115
5570694;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;44;831.79616115
5570694;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;44;831.79616115
5570694;1;5;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;44;831.79616115
5570695;1;1;1;95;2;;;;;;;1;1;1200000;2;;1;921000;;921000;;1;;;;;1;;;;921000;;;;2;;2;;2;;;1;10;44;771.99877317
5570699;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;50;698.86725371
5570699;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;50;698.86725371
5570699;1;4;1;95;2;;;;;;;1;2;;2;;1;960000;;960000;;1;;;;;1;;;;960000;;;;2;;2;;2;;;1;10;50;698.86725371
5570700;1;1;1;95;2;;;;;;;1;1;1800000;2;;1;960000;;960000;;1;;;;;1;;;;960000;;;;2;;2;;2;;;1;10;50;681.95379755
5570700;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;50;681.95379755
5570701;1;1;1;95;2;;;;;;;1;2;;2;;1;900000;;900000;;1;;;1;;;;900000;;;;;;2;;2;;2;;;1;10;50;879.36092241
5570701;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;50;879.36092241
5570701;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;50;879.36092241
5570701;1;4;1;95;2;;;;;;;1;2;;2;;1;280000;;280000;;1;;;;;;1;;;;DEVOLUCION DEL IVA;280000;;2;;2;;2;;;1;10;50;879.36092241
5570702;1;1;1;95;2;;;;;;;1;2;;2;;1;1920000;;1920000;;1;;;;;;1;;;;INGRESO SOLIDARIO;1920000;;2;;2;;2;;;1;10;50;1086.4174281
5570702;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;50;1086.4174281
5570702;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;50;1086.4174281
5570704;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;50;1373.5515341
5570704;1;2;1;95;2;;;;;;;1;2;;2;;1;1920000;;1920000;;1;;;;;;1;;;;INGRESO SOLIDARIO;1920000;;2;;2;;2;;;1;10;50;1373.5515341
5570706;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;76;1481.8839234
5570706;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;76;1481.8839234
5570707;1;1;1;95;2;;;;;;;1;2;;2;;1;1600000;;1600000;;1;;;;;1;;;;1600000;;;;2;;2;;2;;;1;10;76;1234.1750988
5570707;1;2;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;120000;2;;;1;10;76;1234.1750988
5570708;1;1;1;95;2;;;;;;;1;2;;2;;1;1920000;;1920000;;1;;;;;;1;;;;INGRESO SOLIDARIO;1920000;;2;;2;;2;;;1;10;76;1028.2369235
5570709;1;1;1;95;2;;;;;;;1;1;98;2;;2;;;;;;;;;;;;;;;;;;2;;2;;2;;;1;10;76;937.47996539
5570709;1;2;1;95;1;2;;1;1200000;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;1300000;;1;10;76;937.47996539
5570710;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;76;1428.1979681
5570710;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;76;1428.1979681
5570717;1;1;1;95;1;2;;1;1600000;2;;1;2;;2;;1;1920000;;1920000;;1;;;;;;1;;;;AYUDAS DE INGRESOS SOLIDARIOS;1920000;;2;;2;;2;;;1;10;19;3726.0796666
5570717;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;19;3726.0796666
5570717;1;3;1;95;2;;;;;;;1;1;1200000;2;;1;1920000;;1920000;;1;;;;;;1;;;;AYUDAS DE INGRESOS SOLIDARIOS;1920000;;2;;2;;2;;;1;10;19;3726.0796666
5570717;1;5;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;19;3726.0796666
5570717;1;6;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;19;3726.0796666
5570717;1;7;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;19;3726.0796666
5570718;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1180.58449
5570718;1;2;1;95;1;2;;1;1817052;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;50000000;05;1;10;05;1180.58449
5570719;1;1;1;95;1;1;250000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1447.3861566
5570719;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1447.3861566
5570719;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1447.3861566
5570720;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1196.7236319
5570720;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1196.7236319
5570720;1;3;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;200000;2;;05;1;10;05;1196.7236319
5570720;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1196.7236319
5570720;1;5;1;95;2;;;;;;;1;1;200000;2;;2;;;;;;;;;;;;;;;;;;2;;2;;2;;05;1;10;05;1196.7236319
5570721;1;1;1;95;1;2;;1;98;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1170.4997021
5570721;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1170.4997021
5570721;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1170.4997021
5570722;1;1;1;95;1;2;;1;908526;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;908526;05;1;10;05;955.07688357
5570722;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;955.07688357
5570723;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;985.02206633
5570723;1;2;1;95;1;1;1000000;2;;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;200000;2;;05;1;10;05;985.02206633
5570723;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;985.02206633
5570725;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1208.3706552
5570725;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1208.3706552
5570726;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1764.2670476
5570726;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1764.2670476
5570727;1;1;1;95;1;2;;1;908000;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1255.7978116
5570727;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1255.7978116
5570727;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1255.7978116
5570727;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1255.7978116
5570728;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1224.0375677
5570728;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1224.0375677
5570728;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1224.0375677
5570728;1;5;1;95;1;2;;1;908000;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1224.0375677
5570729;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1208.3706552
5570729;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1208.3706552
5570730;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1283.7387847
5570730;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1283.7387847
5570730;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1283.7387847
5570731;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1212.4207996
5570731;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1212.4207996
5570731;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1212.4207996
5570731;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1212.4207996
5570732;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1196.2816577
5570733;1;1;1;95;1;2;;1;908000;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1030.4450131
5570733;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1030.4450131
5570733;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1030.4450131
5570734;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1212.4207996
5570734;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1212.4207996
5570734;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1212.4207996
5570734;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1212.4207996
5570735;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1597.5256335
5570735;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1597.5256335
5570736;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1060.3901959
5570736;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1060.3901959
5570736;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1060.3901959
5570736;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1060.3901959
5570737;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;987.06800115
5570737;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;987.06800115
5570737;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;987.06800115
5570738;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;627.67791867
5570738;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;627.67791867
5570738;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;627.67791867
5570738;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;627.67791867
5570738;1;5;1;95;1;2;;1;908526;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;908526;05;1;10;05;627.67791867
5570739;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1125.5604548
5570739;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1125.5604548
5570739;1;3;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;109023;2;;05;1;10;05;1125.5604548
5570739;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1125.5604548
5570739;1;5;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;2000000;05;1;10;05;1125.5604548
5570740;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1180.58449
5570740;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1180.58449
5570741;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1196.2816577
5570742;1;1;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;1000000;05;1;10;05;1375.1120693
5570742;1;2;1;95;1;1;800000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1375.1120693
5570743;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1267.4448348
5570744;1;1;1;95;1;2;;1;916000;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;1855000;05;1;10;05;1180.58449
5570744;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1180.58449
5570745;1;1;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;110000;2;;05;1;10;05;1133.5993078
5570745;1;2;1;95;1;1;813000;1;1500000;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;1500000;05;1;10;05;1133.5993078
5570745;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1133.5993078
5570745;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1133.5993078
5570746;1;1;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;8132000;05;1;10;05;1192.6734875
5570746;1;2;1;95;1;2;;1;1500000;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;2300000;05;1;10;05;1192.6734875
5570746;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1192.6734875
5570747;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1137.207478
5570747;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1137.207478
5570748;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1192.6734875
5570748;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1192.6734875
5570748;1;3;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;98;2;;05;1;10;05;1192.6734875
5570749;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1346.7083008
5570749;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1346.7083008
5570749;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1346.7083008
5570749;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1346.7083008
5570749;1;5;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1346.7083008
5570750;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1243.7088141
5570750;1;2;1;95;1;2;;1;908000;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1243.7088141
5570750;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1243.7088141
5570751;1;1;1;95;1;2;;1;875000;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1422.5392256
5570751;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1422.5392256
5570751;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1422.5392256
5570751;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1422.5392256
5570752;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1121.5103103
5570752;1;2;1;95;1;2;;1;908000;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1121.5103103
5570752;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1121.5103103
5570753;1;1;1;95;1;2;;1;908526;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;908526;05;1;10;05;1192.6734875
5570753;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1192.6734875
5570753;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1192.6734875
5570754;1;1;1;95;1;1;700000;1;908526;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1258.5536113
5570754;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1258.5536113
5570754;1;3;1;95;1;2;;1;2022000;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1258.5536113
5570754;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1258.5536113
5570754;1;5;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1258.5536113
5570754;1;6;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1258.5536113
5570754;1;7;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1258.5536113
5570754;1;8;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1258.5536113
5570755;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1111.2707145
5570755;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1111.2707145
5570755;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1111.2707145
5570755;1;4;1;95;2;;;;;;;1;1;500000;2;;2;;;;;;;;;;;;;;;;;;2;;2;;2;;05;1;10;05;1111.2707145
5570755;1;5;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1111.2707145
5570756;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1764.2670476
5570756;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1764.2670476
5570757;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;1;10;05;1196.2816577
5570759;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;1;10;13;431.27918096
5570759;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;1;10;13;431.27918096
5570759;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;1;10;13;431.27918096
5570759;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;1;10;13;431.27918096
5570761;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;1;10;17;211.91051043
5570761;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;1;10;17;211.91051043
5570762;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;1;10;17;202.44495819
5570763;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;1;10;17;224.64824648
5570763;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;1;10;17;224.64824648
5570763;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;1;10;17;224.64824648
5570763;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;1;10;17;224.64824648
5570764;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;1;10;17;225.64153838
5570764;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;1;10;17;225.64153838
5570764;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;1;10;17;225.64153838
5570764;1;5;1;95;1;2;;1;908526;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;1;10;17;225.64153838
5570765;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;1;10;17;238.05719046
5570765;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;1;10;17;238.05719046
5570767;1;1;1;95;1;2;;1;98;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;1;10;19;135.23391215
5570767;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;1;10;19;135.23391215
5570768;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;1;10;20;174.37350978
5570768;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;1;10;20;174.37350978
5570769;1;1;1;95;2;;;;;;;1;2;;2;;1;960000;;960000;;1;;;;;1;;;;960000;;;;2;;2;;2;;20;1;10;20;169.52454682
5570770;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;1;10;20;230.72654095
5570770;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;1;10;20;230.72654095
5570770;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;1;10;20;230.72654095
5570771;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;1;10;20;121.58303868
5570771;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;1;10;20;121.58303868
5570771;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;1;10;20;121.58303868
5570772;1;1;1;95;2;;;;;;;1;2;;2;;1;1920000;;1920000;;1;;;;;;1;;;;INGRESO SOLIDARIO;1920000;;2;;2;;2;;20;1;10;20;109.27589843
5570772;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;1;10;20;109.27589843
5570772;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;1;10;20;109.27589843
5570772;1;5;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;1;10;20;109.27589843
5570772;1;6;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;1;10;20;109.27589843
5570773;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;1;10;20;253.60223478
5570774;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;1;10;20;223.75438961
5570774;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;1;10;20;223.75438961
5570774;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;1;10;20;223.75438961
5570775;1;1;1;95;2;;;;;;;1;2;;2;;1;1920000;;1920000;;1;;;;;;1;;;;INGRESO SOLIDARIO;1920000;;2;;2;;2;;20;1;10;20;187.1414769
5570775;1;2;1;95;2;;;;;;;1;2;;2;;1;1920000;;1920000;;1;;;;;;1;;;;INGRESO SOLIDARIO;1920000;;2;;2;;2;;20;1;10;20;187.1414769
