DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P1806;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P1519;P1883;P7420;P7420S7A1;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7422;P7422S1;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5571196;1;3;1;70;2;4;54;900000;8;;2;6;8;;4;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;1;10;0113;25;2551.2406394
5571201;1;4;1;70;2;48;60;500000;3;;2;48;8;;3;2;3;;2;;;;;;;;;;;1;2;;01;54;62;1;2;10;0111;25;3212.8605818
5571221;1;1;1;70;2;24;48;908526;3;;2;75;1;;3;2;1;;2;;;;;;;;;;;1;2;;56;54;53;1;2;10;5611;25;3251.7838459
5571221;1;3;1;70;2;8;24;908526;3;;2;44;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;1;10;9700;25;3251.7838459
5571227;1;7;1;70;2;4;48;908526;4;;2;4;8;;3;2;1;;2;;;;;;;;;;;1;1;320000;01;62;62;1;1;10;0113;25;6554.6635683
5571465;1;4;1;70;2;3;48;900000;4;;2;3;4;;1;2;1;;2;;;;;;;;;;;1;1;600000;01;62;61;1;1;10;0161;54;880.07261606
5571468;1;1;1;70;2;104;40;98;1;;2;208;1;;9;2;1;;2;;;;;;;;;;;1;2;;61;32;38;1;2;10;6190;76;997.45220875
5571476;1;1;1;70;2;25;48;500000;4;;2;26;4;;1;2;7;;2;;;;;;;;;;;1;1;70000;56;53;53;1;2;10;5611;76;997.45220875
5571502;1;6;1;70;2;24;48;908526;1;;2;32;1;;4;2;1;;2;;;;;;;;;;;1;1;60000;41;58;95;1;2;10;4111;76;2329.0798067
5571518;1;3;1;70;2;8;40;900000;8;;2;8;8;;4;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;1;10;0141;76;2329.0798067
5571519;1;2;1;70;2;8;72;1440000;1;;2;2;4;;1;2;9;SE DESPLAZARIA AL MUNICIPIO DONDE TIENE EPSS;2;;;;;;;;;;;1;1;80000;81;55;55;1;1;10;8121;76;9782.1351883
5571527;1;2;1;70;2;8;48;908526;8;;2;8;8;;3;2;1;;2;;;;;;;;;;;1;1;100000;01;62;62;1;1;10;0141;76;2374.8011008
5571534;1;3;1;70;2;76;48;98;8;;2;78;1;;4;2;4;;2;;;;;;;;;;;1;2;;10;62;62;1;2;10;1072;76;2329.0798067
