Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3866264;1;3;1;70;2;12;48;8; ;2;12;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;1;0116;11;68;1857,3322517368
3871073;1;2;1;70;2;1;40;4; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0111;11;63;1132,93367043872
3871081;1;1;1;70;2;104;63;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;24000;2;53;57;93;1;2;9302;11;63;788,953140604173
3871082;1;7;1;70;2;3;50;4; ;2;3;4; ;1;5; ; ; ; ; ; ; ; ; ;1; ;1;15000;2;61;61;01;1;1;0111;11;63;881,437246725811
3871125;1;2;1;70;2;20;50;8; ;2;20;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;61;01;1;2;0111;11;63;482,072468452562
3871404;1;1;1;70;2;8;50;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0111;11;63;283,233417609681
3872307;1;3;1;70;2;8;48;1; ;2;12;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;87;87;28;1;1;2811;11;13;3579,58397620927
3872327;1;4;1;70;2;24;48;1; ;2;24;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;99;50;1;2;5020;11;13;2610,48376691285
3872385;1;5;1;70;2;16;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;11;13;1426,07400211396
3872391;1;1;1;70;2;24;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;2; ;11;13;571,413996450182
3872395;1;1;1;70;2;20;48;1; ;2;20;1; ;8;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;93;93;52;1;2;5272;11;13;1061,50890750021
3873002;1;4;1;70;2;28;48;1; ;2;52;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;41;52;1;2;5233;11;63;576,85784089415
3873003;1;2;1;70;2;258;48;1; ;2;300;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;34;45;52;1;2;5225;11;63;538,96258526174
3875382;1;1;1;70;2;4;40;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;80000;2;61;61;01;1;1;0140;11;52;2179,71537832565
3875390;1;3;1;70;2;52;24;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;37; ; ;1;2; ;11;52;1422,36877305896
