Directorio;Secuencia_p;Orden;Area;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Ini;Dpto;Fex_c_2011
345128;2;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;835,440372650066
345129;2;1;05;80;1;4;3; ;2; ; ; ; ; ;1;05;874,783043653897
345129;2;2;05;80;1;4;4; ;3; ; ; ; ; ;1;05;874,783043653897
345132;2;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;779,597281010408
345132;2;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;779,597281010408
345132;2;4;05;80;1;3;1; ;2; ; ; ; ; ;1;05;779,597281010408
345133;2;1;05;80;1;4;2; ;3; ; ; ; ; ;1;05;874,783043653897
345134;2;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;862,425372934865
345135;2;2;05;80;1;2;6; ;2; ; ; ; ; ;1;05;1067,749551457
345135;3;1;05;80;1;1;1; ;2; ; ; ; ; ;1;05;1067,749551457
345139;2;1;05;80;1;4;3; ;3; ; ; ; ; ;1;05;857,876762464818
345145;2;1;05;80;1;4;3; ;2; ; ; ; ; ;1;05;668,929495169099
345145;2;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;668,929495169099
345145;2;3;05;80;1;4;3; ;2; ; ; ; ; ;1;05;668,929495169099
345145;2;8;05;80;2; ; ; ; ; ; ; ; ; ;1;05;668,929495169099
345146;2;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;1051,79168798459
345149;2;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;848,828380892789
345149;2;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;848,828380892789
345150;2;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;733,769292425438
345154;2;2;05;80;1;4;6; ;2; ; ; ; ; ;1;05;862,901213209461
345154;2;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;862,901213209461
345155;2;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;961,054020487734
345156;2;1;05;80;1;4;0; ;2; ; ; ; ; ;1;05;687,89130255868
345158;2;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;831,468117778028
345158;2;5;05;80;1;4;2; ;2; ; ; ; ; ;1;05;831,468117778028
345159;2;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;964,572293434089
345160;2;2;05;80;1;3;7; ;2; ; ; ; ; ;1;05;885,337603024213
345160;2;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;885,337603024213
345163;2;1;05;80;1;4;5; ;2; ; ; ; ; ;1;05;966,45053335103
345164;2;2;05;80;1;1;7; ;2; ; ; ; ; ;1;05;742,240156485734
345171;2;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;960,578180213138
345172;2;2;05;80;1;4;3; ;2; ; ; ; ; ;1;05;1089,71010099716
345172;2;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;1089,71010099716
345173;2;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;926,320307057457
