Directorio;Secuencia_p;Orden;Area;Regis;P7495;P7500;P7500s1;P7500s2;P7500s3a1;P7500s2a1;P7500s1a1;P7500s3;P7505;P7510s3;P7510s4;P7510s6;P7510s2a1;P7510s4a1;P7510s6a1;P7510s5a1;P7510s3a1;P7510s1a1;P7510s5;P7510s1;P7510s2;Dpto;Fex_c_2011
345149;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;848,828380892789
345150;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;733,769292425438
345150;2;2;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;960000;2;1;2;05;733,769292425438
345154;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;862,901213209461
345154;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;862,901213209461
345154;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;862,901213209461
345155;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;961,054020487734
345155;2;2;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;45000; ; ; ;2;2;2;05;961,054020487734
345155;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;961,054020487734
345156;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;687,89130255868
345156;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;687,89130255868
345156;2;3;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;52000; ; ; ;2;2;2;05;687,89130255868
345156;2;4;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;4800000;2;1;2;05;687,89130255868
345156;2;6;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;687,89130255868
345157;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1056,23978313122
345158;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;831,468117778028
345158;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;831,468117778028
345158;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;831,468117778028
345158;2;5;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;831,468117778028
345159;2;1;05;95;1; ;2;1; ;450000; ;2;1;2;2;2;98; ; ; ; ; ;2;2;1;05;964,572293434089
345159;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;964,572293434089
345160;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;885,337603024213
345160;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;885,337603024213
345160;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;885,337603024213
345160;2;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;885,337603024213
345161;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;78000; ; ; ;2;2;2;05;934,062228964132
345161;2;2;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;60000; ; ; ;2;2;2;05;934,062228964132
