DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;DPTO;fex_c_2011
4372903;1;2;1;80;2;1;3;3; ;2; ; ;9; ;2; ;2; ; ; ;737700;2;1;63;1798,67106461086
4372904;1;1;1;80;2;1;4;3; ;2; ; ;8; ;2; ;2; ; ; ;737700;2;1;63;2067,54403933728
4372906;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;63;2222,87187788496
4372907;1;1;1;80;2;1;1;7; ;1; ;1;6; ;2; ;1;640000; ; ;440000;2;1;63;1798,67106461086
4372907;1;2;1;80;2;1;1;7; ;1; ;1;9; ;2; ;2; ; ; ;738000;2;1;63;1798,67106461086
4372908;1;1;1;80;2;1;2;3; ;2; ; ;9; ;2; ;2; ; ; ;737700;2;1;63;2317,98246150172
4372908;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;63;2317,98246150172
4372909;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;63;2282,36435027731
4372910;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;63;3196,98337410549
4372910;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;63;3196,98337410549
4372912;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;63;2047,76604298177
4372912;1;7;1;80;2;1;2;3; ;1; ;1;11; ;2; ;2; ; ; ;98;2;1;63;2047,76604298177
4372912;1;8;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;63;2047,76604298177
4374021;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;66;4738,85825956706
4374021;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;66;4738,85825956706
4374021;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;66;4738,85825956706
4374027;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;98;2;1;66;2751,33672098328
4374028;1;2;1;80;2;1;2;1; ;2; ; ;1; ;2; ;2; ;1;50;737717;2;1;66;4015,23609646188
4374028;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;300000;2;1;66;4015,23609646188
4374028;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;66;4015,23609646188
4374028;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;66;4015,23609646188
4374029;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;2; ;734717;2;1;66;1975,44900381307
4374030;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;737717;2;1;66;3190,05668295816
4374030;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737717;2;1;66;3190,05668295816
4374030;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737717;2;1;66;3190,05668295816
4374033;1;1;1;80;2;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ;750000;2;1;66;2812,10112065811
4374033;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;737717;2;1;66;2812,10112065811
4374033;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737717;2;1;66;2812,10112065811
4374034;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;98;2;1;66;1992,22016645852
4374034;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;66;1992,22016645852
4374035;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;66;5227,9923965847
4374035;1;5;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;66;5227,9923965847
4374035;1;7;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;66;5227,9923965847
4374036;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;66;3491,79330304285
4374037;1;2;1;80;2;1;1;3; ;2; ; ;9; ;2; ;2; ;2; ;737717;2;1;66;4673,71152657115
4374037;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;737717;2;1;66;4673,71152657115
4374039;1;2;1;80;2;1;1;8; ;2; ; ;1; ;2; ;2; ; ; ;737717;2;1;66;3954,47169678705
4374039;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737717;2;1;66;3954,47169678705
4374039;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;66;3954,47169678705
4374040;1;1;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ;2; ;737717;2;1;66;5438,12654040004
4374042;1;1;1;80;2;1;3;7; ;2; ; ;9; ;2; ;2; ;1;20;350000;2;1;66;2431,27736624634
4374042;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;66;2431,27736624634
4374042;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;66;2431,27736624634
4374045;1;1;1;80;2;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ;98;2;1;66;3527,22443815349
4377254;1;1;1;80;2;1;2;8; ;2; ; ;8; ;3; ;2; ; ; ;99;3;1;25;2368,18436553759
4377254;1;2;1;80;2;1;4;3; ;2; ; ;8; ;2; ;2; ; ; ;99;2;1;25;2368,18436553759
4377277;1;1;1;80;2;1;4;5; ;2; ; ;4; ;3; ;2; ; ; ;99;3;1;25;3441,49301436684
4377277;1;3;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;2; ;99;2;1;25;3441,49301436684
4377278;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;25;7303,15159998456
4377278;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;25;7303,15159998456
4377279;1;1;1;80;2;1;4;4; ;2; ; ;12;POR DEMANDA CON EMPRESA;9; ;2; ;2; ;737717;2;1;25;3947,14339269608
4377284;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;25;6678,3964642516
4377284;1;5;1;80;2;1;1;2; ;2; ; ;2; ;2; ;2; ; ; ;99;2;1;25;6678,3964642516
4377285;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;48;737717;2;1;25;4389,27884512699
4377286;1;4;1;80;2;1;1;2; ;2; ; ;2; ;2; ;2; ;2; ;800000;2;1;25;5674,93178773357
4377295;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;25;2995,51610286542
4377302;1;3;1;80;2;2; ; ; ; ;1;1;2; ;2; ;2; ; ; ;737717;2;1;25;4495,90344890371
4377302;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;737717; ;1;25;4495,90344890371
4377302;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;737717; ;1;25;4495,90344890371
4377304;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;2; ;98; ;1;25;4388,78377983423
4377304;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;25;4388,78377983423
4377349;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;76;5173,30442753829
4377349;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;76;5173,30442753829
4377349;1;6;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;76;5173,30442753829
4377349;1;7;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;76;5173,30442753829
4377349;1;8;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;76;5173,30442753829
4377350;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;700000;2;1;76;4347,06016731308
4377350;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;800000;2;1;76;4347,06016731308
4377352;1;2;1;80;2;1;2;4; ;2; ; ;4; ;2; ;2; ;2; ;200000;2;1;76;1878,71237675365
4377353;1;2;1;80;2;1;1;2; ;2; ; ;9; ; ; ;2; ; ; ;900000; ;1;76;4182,57283519692
4377369;1;2;1;80;2;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ;99;2;1;76;4589,13880134875
4377374;1;2;1;80;2;1;2;6; ;2; ; ;2; ;2; ;2; ; ; ;737717;2;1;76;4523,20888683926
4377375;1;2;1;80;2;1;4;7; ;2; ; ;9; ;2; ;2; ;2; ;400000;2;1;76;2056,51563040264
4377375;1;3;1;80;2;1;1;2; ;2; ; ;2; ;2; ;2; ; ; ;98;2;1;76;2056,51563040264
4377376;1;1;1;80;2;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ;99;2;1;76;4324,51034011235
4377376;1;4;1;80;2;1;1;2; ;2; ; ;2; ; ; ;2; ; ; ;480000; ;1;76;4324,51034011235
4377376;1;5;1;80;2;1;1;2; ;2; ; ;2; ; ; ;2; ; ; ;100000; ;1;76;4324,51034011235
4377376;1;9;1;80;2;1;1;8; ;2; ; ;1; ;2; ;1;500000;1;40;400000;2;1;76;4324,51034011235
4377377;1;1;1;80;2;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;76;1878,71237675365
4377377;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;76;1878,71237675365
4377378;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;737717;2;1;76;3453,46002274049
4377378;1;3;1;80;2;1;1;9;REGULARMENTE ES TRABAJADOR FAMILIAR SIN REMUNERACION  PERO LA SEMANA PASADA NO FUE;2; ; ;1; ;2; ;2; ; ; ;500000;2;1;76;3453,46002274049
4377378;1;4;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ;99;2;1;76;3453,46002274049
4377380;1;1;1;80;2;1;4;8; ;2; ; ;9; ;2; ;2; ; ; ;99;2;1;76;4191,09570399662
4377382;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;20;400000;2;1;76;4106,98108403726
4377383;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;76;6699,68217278408
4377384;1;1;1;80;2;1;4;5; ;2; ; ;8; ;3; ;2; ; ; ;1000000;3;1;76;2895,46850834254
